Setup title,N-18-Id-Vg
Application test name,Id-Vg
Test date,3/23/2017
Test time,11:49:26
Device ID,
Vgate,Idrain,Isubs,Vsource,Vdrain,Vsubs,IdrainPerWg,IsubsPerWg,gm,gmPerWg
0,4.07E-12,1.02E-09,0,0.01,0,4.07E-13,1.02E-10,-1.283E-10,-1.283E-11
0.01,2.787E-12,1.57E-09,0,0.01,0,2.787E-13,1.57E-10,-5.58E-11,-5.58E-12
0.02,2.954E-12,-1.7E-10,0,0.01,0,2.954E-13,-1.7E-11,4.15E-12,4.14999999999999E-13
0.03,2.87E-12,4.7E-10,0,0.01,0,2.87E-13,4.7E-11,3.08E-11,3.08E-12
0.04,3.57E-12,1.14E-09,0,0.01,0,3.57E-13,1.14E-10,7.75E-11,7.75E-12
0.05,4.42E-12,2E-10,0,0.01,0,4.42E-13,2E-11,5.5E-11,5.5E-12
0.06,4.67E-12,-2E-11,0,0.01,0,4.67E-13,-2E-12,7.6E-11,7.6E-12
0.07,5.94E-12,7.7E-10,0,0.01,0,5.94E-13,7.7E-11,1.685E-10,1.685E-11
0.08,8.04E-12,7E-10,0,0.01,0,8.04E-13,7E-11,2.21E-10,2.21E-11
0.09,1.036E-11,8.1E-10,0,0.01,0,1.036E-12,8.1E-11,2.9E-10,2.9E-11
0.1,1.384E-11,9.5E-10,0,0.01,0,1.384E-12,9.5E-11,3.89E-10,3.89E-11
0.11,1.814E-11,8.4E-10,0,0.01,0,1.814E-12,8.4E-11,5.8E-10,5.8E-11
0.12,2.544E-11,2.27E-09,0,0.01,0,2.544E-12,2.27E-10,7.765E-10,7.765E-11
0.13,3.367E-11,8.1E-10,0,0.01,0,3.367E-12,8.1E-11,1.0285E-09,1.0285E-10
0.14,4.601E-11,2.18E-09,0,0.01,0,4.601E-12,2.18E-10,1.425E-09,1.425E-10
0.15,6.217E-11,3.57E-09,0,0.01,0,6.217E-12,3.57E-10,1.809E-09,1.809E-10
0.16,8.219E-11,6.4E-10,0,0.01,0,8.219E-12,6.4E-11,2.405E-09,2.405E-10
0.17,1.1027E-10,1.2E-09,0,0.01,0,1.1027E-11,1.2E-10,3.3E-09,3.3E-10
0.18,1.4819E-10,1.28E-09,0,0.01,0,1.4819E-11,1.28E-10,4.28E-09,4.28E-10
0.19,1.9587E-10,4.2E-10,0,0.01,0,1.9587E-11,4.2E-11,5.443E-09,5.443E-10
0.2,2.5705E-10,-7E-11,0,0.01,0,2.5705E-11,-7E-12,6.84299999999999E-09,6.84299999999999E-10
