Setup title,"N-18 Id-Vg (fast)"
Classic test name,"I/V Sweep"
Test date,3/23/2017
Test time,14:43:10
Device ID,16
Vgate,Idrain,Isubs,Vsource,Vdrain,Vsubs
0,1.4069E-09,-7.151E-07,0,1.8,0
0.01,2.6E-12,5.35E-08,0,1.8,0
0.02,1.3315E-09,-1.0302E-06,0,1.8,0
0.03,1.8697E-09,-4.97E-08,0,1.8,0
0.04,4.109E-10,4.882E-08,0,1.8,0
0.05,2.0493E-09,8.8972E-07,0,1.8,0
0.06,1.0705E-09,-1.12798E-06,0,1.8,0
0.07,2.049E-09,2.079E-07,0,1.8,0
0.08,2.8768E-09,2.1118E-07,0,1.8,0
0.09,3.644E-09,2.159E-07,0,1.8,0
0.1,5.1749E-09,1.8428E-07,0,1.8,0
0.11,8.4914E-09,7.4736E-07,0,1.8,0
0.12,9.7083E-09,-8.7668E-07,0,1.8,0
0.13,1.50774E-08,1.10876E-06,0,1.8,0
0.14,1.8528E-08,-7.6324E-07,0,1.8,0
0.15,2.53686E-08,1.6668E-07,0,1.8,0
0.16,3.633E-08,7.8222E-07,0,1.8,0
0.17,4.94758E-08,-2.51E-07,0,1.8,0
0.18,6.51324E-08,-7.6308E-07,0,1.8,0
0.19,8.84478E-08,4.1324E-07,0,1.8,0
0.2,1.224E-07,-1.10754E-06,0,1.8,0
0.21,1.6216E-07,-1.03534E-06,0,1.8,0
0.22,2.1892E-07,-8.566E-08,0,1.8,0
0.23,2.9702E-07,7.7584E-07,0,1.8,0
0.24,3.9556E-07,-1.13426E-06,0,1.8,0
0.25,5.3028E-07,-9.7372E-07,0,1.8,0
0.26,6.9598E-07,-1.01498E-06,0,1.8,0
0.27,9.2482E-07,-1.13598E-06,0,1.8,0
0.28,1.2177E-06,-1.9618E-07,0,1.8,0
0.29,1.5944E-06,7.5944E-07,0,1.8,0
0.3,2.0701E-06,-1.08942E-06,0,1.8,0
0.31,2.7034E-06,1.08688E-06,0,1.8,0
0.32,3.4811E-06,-4.98E-09,0,1.8,0
0.33,4.4842E-06,-7.7986E-07,0,1.8,0
0.34,5.7451E-06,-5.424E-07,0,1.8,0
0.35,7.3223E-06,4.044E-08,0,1.8,0
0.36,9.3368E-06,8.7078E-07,0,1.8,0
0.37,1.1664E-05,-7.2504E-07,0,1.8,0
0.38,1.4704E-05,1.1208E-06,0,1.8,0
0.39,1.8076E-05,-1.06476E-06,0,1.8,0
0.4,2.2502E-05,2.318E-08,0,1.8,0
0.41,2.7556E-05,-1.988E-08,0,1.8,0
0.42,3.3576E-05,4.086E-08,0,1.8,0
0.43,4.0382E-05,-7.594E-08,0,1.8,0
0.44,4.8516E-05,7.7058E-07,0,1.8,0
0.45,5.7628E-05,-3.224E-08,0,1.8,0
0.46,6.814E-05,8.3408E-07,0,1.8,0
0.47,7.9618E-05,1.362E-08,0,1.8,0
0.48,9.3174E-05,1.08066E-06,0,1.8,0
0.49,0.000107664,-1.07342E-06,0,1.8,0
0.5,0.00012376,-1.11974E-06,0,1.8,0
0.51,0.00014136,4.3942E-07,0,1.8,0
0.52,0.00016082,6.2826E-07,0,1.8,0
0.53,0.00018234,-1.2752E-07,0,1.8,0
0.54,0.0002041,-4.94E-08,0,1.8,0
0.55,0.00022812,-7.275E-07,0,1.8,0
0.56,0.00025426,-9.49E-08,0,1.8,0
0.57,0.00028208,-1.1274E-06,0,1.8,0
0.58,0.00031134,-5.85E-08,0,1.8,0
0.59,0.00034266,-1.1087E-06,0,1.8,0
0.6,0.00037558,-6.86E-08,0,1.8,0
0.61,0.00041054,6.5002E-07,0,1.8,0
0.62,0.00044668,-7.95E-08,0,1.8,0
0.63,0.0004852,6.4784E-07,0,1.8,0
0.64,0.0005248,-8.94E-08,0,1.8,0
0.65,0.00056676,5.079E-07,0,1.8,0
0.66,0.00060982,-1.493E-07,0,1.8,0
0.67,0.00065478,-9.59E-08,0,1.8,0
0.68,0.00070298,7.0166E-07,0,1.8,0
0.69,0.00074992,-1.02E-07,0,1.8,0
0.7,0.00080044,5.0358E-07,0,1.8,0
0.71,0.00085172,-3.95E-08,0,1.8,0
0.72,0.00090642,7.4336E-07,0,1.8,0
0.73,0.00095942,-1.5596E-07,0,1.8,0
0.74,0.001016,-1.645E-07,0,1.8,0
0.75,0.001074,-1.0122E-07,0,1.8,0
0.76,0.0011336,-1.0484E-07,0,1.8,0
0.77,0.0011948,2.8188E-07,0,1.8,0
0.78,0.0012576,6.5368E-07,0,1.8,0
0.79,0.0013206,-7.46E-08,0,1.8,0
0.8,0.0013872,6.8426E-07,0,1.8,0
0.81,0.0014526,-7.77E-08,0,1.8,0
0.82,0.0015202,6.0486E-07,0,1.8,0
0.83,0.0015888,-7.649E-07,0,1.8,0
0.84,0.001661,-1.582E-07,0,1.8,0
0.85,0.0017312,-1.2298E-07,0,1.8,0
0.86,0.001807,-1.501E-07,0,1.8,0
0.87,0.0018786,-9.612E-08,0,1.8,0
0.88,0.0019542,3.1372E-07,0,1.8,0
0.89,0.0020308,-1.068E-07,0,1.8,0
0.9,0.0021086,6.1968E-07,0,1.8,0
0.91,0.0021874,-1.026E-07,0,1.8,0
0.92,0.0022674,6.2598E-07,0,1.8,0
0.93,0.0023474,-9.77E-08,0,1.8,0
0.94,0.0024296,3.4254E-07,0,1.8,0
0.95,0.0025126,-7.97E-08,0,1.8,0
0.96,0.002597,4.9882E-07,0,1.8,0
0.97,0.0026814,-8.76E-07,0,1.8,0
0.98,0.0027676,-1.8264E-07,0,1.8,0
0.99,0.0028536,-8.608E-08,0,1.8,0
1,0.0029402,-8.31E-08,0,1.8,0
1.01,0.0030288,-1.1803E-06,0,1.8,0
1.02,0.0031174,-7.65E-08,0,1.8,0
1.03,0.0032076,-1.203E-06,0,1.8,0
1.04,0.003298,-6.59E-08,0,1.8,0
1.05,0.0033904,6.751E-07,0,1.8,0
1.06,0.0034818,-8.648E-07,0,1.8,0
1.07,0.003576,-1.5594E-07,0,1.8,0
1.08,0.0036684,-4.55E-08,0,1.8,0
1.09,0.0037622,6.4494E-07,0,1.8,0
1.1,0.0038572,-5.2E-08,0,1.8,0
1.11,0.003952,-6.2352E-07,0,1.8,0
1.12,0.0040514,1.02854E-06,0,1.8,0
1.13,0.0041454,-1.1418E-06,0,1.8,0
1.14,0.0042452,-7.6854E-07,0,1.8,0
1.15,0.004339,2.0332E-07,0,1.8,0
1.16,0.0044374,1.00496E-06,0,1.8,0
1.17,0.004537,-1.0943E-06,0,1.8,0
1.18,0.0046328,-1.0674E-07,0,1.8,0
1.19,0.0047356,4.428E-08,0,1.8,0
1.2,0.0048364,7.014E-07,0,1.8,0
1.21,0.004935,-7.09E-08,0,1.8,0
1.22,0.0050374,-3.114E-08,0,1.8,0
1.23,0.0051388,-2.0574E-07,0,1.8,0
1.24,0.0052426,7.3576E-07,0,1.8,0
1.25,0.0053394,5.1934E-07,0,1.8,0
1.26,0.0054492,-7.3402E-07,0,1.8,0
1.27,0.0055456,7.0538E-07,0,1.8,0
1.28,0.0056528,-8.3612E-07,0,1.8,0
1.29,0.005756,-1.11076E-06,0,1.8,0
1.3,0.0058592,9.9592E-07,0,1.8,0
1.31,0.00596,-9.9074E-07,0,1.8,0
1.32,0.0060706,-8.0988E-07,0,1.8,0
1.33,0.006171,-1.10646E-06,0,1.8,0
1.34,0.006278,-1.502E-07,0,1.8,0
1.35,0.0063838,7.2264E-07,0,1.8,0
1.36,0.0064882,-1.08632E-06,0,1.8,0
1.37,0.0065918,5.014E-08,0,1.8,0
1.38,0.0067028,-4.966E-08,0,1.8,0
1.39,0.0068066,2.174E-08,0,1.8,0
1.4,0.006913,-4.55E-08,0,1.8,0
1.41,0.0070178,3.626E-08,0,1.8,0
1.42,0.0071294,-4.252E-08,0,1.8,0
1.43,0.0072318,-1.12508E-06,0,1.8,0
1.44,0.0073418,-8.0588E-07,0,1.8,0
1.45,0.0074476,-1.07736E-06,0,1.8,0
1.46,0.0075542,1.0225E-06,0,1.8,0
1.47,0.007659,-8.8474E-07,0,1.8,0
1.48,0.0077734,-6.001E-07,0,1.8,0
1.49,0.007874,6.3512E-07,0,1.8,0
1.5,0.0079896,-7.3762E-07,0,1.8,0
1.51,0.0080908,7.7488E-07,0,1.8,0
1.52,0.008201,-1.112E-07,0,1.8,0
1.53,0.008311,7.6256E-07,0,1.8,0
1.54,0.0084178,1.8306E-07,0,1.8,0
1.55,0.0085266,1.05252E-06,0,1.8,0
1.56,0.0086364,-1.01644E-06,0,1.8,0
1.57,0.0087426,1.08722E-06,0,1.8,0
1.58,0.0088488,-8.2828E-07,0,1.8,0
1.59,0.0089644,-6.1976E-07,0,1.8,0
1.6,0.009066,6.5078E-07,0,1.8,0
