Setup title,N-18-Id-Vd
Application test name,Id-Vd
Test date,3/23/2017
Test time,15:21:09
Device ID,20
Vdrain,Idrain,Vgate,Vsource,Vsubs,IdrainPerWg
0,-1.8471E-06,0.6,0,-0.3,-5.27742857142857E-08
0.01,0.00010012,0.6,0,-0.3,2.86057142857143E-06
0.02,0.00020061,0.6,0,-0.3,5.73171428571428E-06
0.03,0.00029594,0.6,0,-0.3,8.45542857142857E-06
0.04,0.00039226,0.6,0,-0.3,1.12074285714286E-05
0.05,0.00048457,0.6,0,-0.3,1.38448571428571E-05
0.06,0.00057453,0.6,0,-0.3,1.64151428571429E-05
0.07,0.00066151,0.6,0,-0.3,1.89002857142857E-05
0.08,0.00074377,0.6,0,-0.3,2.12505714285714E-05
0.09,0.00082648,0.6,0,-0.3,2.36137142857143E-05
0.1,0.00090531,0.6,0,-0.3,2.5866E-05
0.11,0.00097879,0.6,0,-0.3,2.79654285714286E-05
0.12,0.00105486,0.6,0,-0.3,3.01388571428571E-05
0.13,0.00112503,0.6,0,-0.3,3.21437142857143E-05
0.14,0.0011933,0.6,0,-0.3,3.40942857142857E-05
0.15,0.0012578,0.6,0,-0.3,3.59371428571429E-05
0.16,0.0013192,0.6,0,-0.3,3.76914285714286E-05
0.17,0.0013777,0.6,0,-0.3,3.93628571428571E-05
0.18,0.0014346,0.6,0,-0.3,4.09885714285714E-05
0.19,0.0014883,0.6,0,-0.3,4.25228571428571E-05
0.2,0.0015397,0.6,0,-0.3,4.39914285714286E-05
0.21,0.001587,0.6,0,-0.3,4.53428571428571E-05
0.22,0.0016319,0.6,0,-0.3,4.66257142857143E-05
0.23,0.0016746,0.6,0,-0.3,4.78457142857143E-05
0.24,0.0017146,0.6,0,-0.3,4.89885714285714E-05
0.25,0.0017522,0.6,0,-0.3,5.00628571428571E-05
0.26,0.0017867,0.6,0,-0.3,5.10485714285714E-05
0.27,0.0018195,0.6,0,-0.3,5.19857142857143E-05
0.28,0.0018501,0.6,0,-0.3,5.286E-05
0.29,0.0018783,0.6,0,-0.3,5.36657142857143E-05
0.3,0.0019041,0.6,0,-0.3,5.44028571428571E-05
0.31,0.001928,0.6,0,-0.3,5.50857142857143E-05
0.32,0.0019506,0.6,0,-0.3,5.57314285714286E-05
0.33,0.0019716,0.6,0,-0.3,5.63314285714286E-05
0.34,0.0019909,0.6,0,-0.3,5.68828571428571E-05
0.35,0.0020086,0.6,0,-0.3,5.73885714285714E-05
0.36,0.002025,0.6,0,-0.3,5.78571428571428E-05
0.37,0.0020407,0.6,0,-0.3,5.83057142857143E-05
0.38,0.0020553,0.6,0,-0.3,5.87228571428571E-05
0.39,0.0020688,0.6,0,-0.3,5.91085714285714E-05
0.4,0.0020814,0.6,0,-0.3,5.94685714285714E-05
0.41,0.0020933,0.6,0,-0.3,5.98085714285714E-05
0.42,0.0021049,0.6,0,-0.3,6.014E-05
0.43,0.0021158,0.6,0,-0.3,6.04514285714286E-05
0.44,0.0021262,0.6,0,-0.3,6.07485714285714E-05
0.45,0.0021362,0.6,0,-0.3,6.10342857142857E-05
0.46,0.0021456,0.6,0,-0.3,6.13028571428571E-05
0.47,0.0021553,0.6,0,-0.3,6.158E-05
0.48,0.0021641,0.6,0,-0.3,6.18314285714286E-05
0.49,0.0021726,0.6,0,-0.3,6.20742857142857E-05
0.5,0.0021814,0.6,0,-0.3,6.23257142857143E-05
0.51,0.002189,0.6,0,-0.3,6.25428571428571E-05
0.52,0.0021973,0.6,0,-0.3,6.278E-05
0.53,0.002205,0.6,0,-0.3,6.3E-05
0.54,0.0022127,0.6,0,-0.3,6.322E-05
0.55,0.0022201,0.6,0,-0.3,6.34314285714286E-05
0.56,0.0022278,0.6,0,-0.3,6.36514285714286E-05
0.57,0.0022348,0.6,0,-0.3,6.38514285714286E-05
0.58,0.0022421,0.6,0,-0.3,6.406E-05
0.59,0.0022488,0.6,0,-0.3,6.42514285714286E-05
0.6,0.0022562,0.6,0,-0.3,6.44628571428571E-05
0.61,0.0022627,0.6,0,-0.3,6.46485714285714E-05
0.62,0.0022695,0.6,0,-0.3,6.48428571428571E-05
0.63,0.0022758,0.6,0,-0.3,6.50228571428571E-05
0.64,0.0022827,0.6,0,-0.3,6.522E-05
0.65,0.0022891,0.6,0,-0.3,6.54028571428571E-05
0.66,0.0022955,0.6,0,-0.3,6.55857142857143E-05
0.67,0.0023018,0.6,0,-0.3,6.57657142857143E-05
0.68,0.0023076,0.6,0,-0.3,6.59314285714286E-05
0.69,0.002314,0.6,0,-0.3,6.61142857142857E-05
0.7,0.0023202,0.6,0,-0.3,6.62914285714286E-05
0.71,0.0023266,0.6,0,-0.3,6.64742857142857E-05
0.72,0.0023322,0.6,0,-0.3,6.66342857142857E-05
0.73,0.002338,0.6,0,-0.3,6.68E-05
0.74,0.0023441,0.6,0,-0.3,6.69742857142857E-05
0.75,0.0023501,0.6,0,-0.3,6.71457142857143E-05
0.76,0.0023557,0.6,0,-0.3,6.73057142857143E-05
0.77,0.0023617,0.6,0,-0.3,6.74771428571429E-05
0.78,0.0023669,0.6,0,-0.3,6.76257142857143E-05
0.79,0.0023729,0.6,0,-0.3,6.77971428571428E-05
0.8,0.0023784,0.6,0,-0.3,6.79542857142857E-05
0.81,0.0023839,0.6,0,-0.3,6.81114285714286E-05
0.82,0.0023894,0.6,0,-0.3,6.82685714285714E-05
0.83,0.0023946,0.6,0,-0.3,6.84171428571428E-05
0.84,0.0024003,0.6,0,-0.3,6.858E-05
0.85,0.0024055,0.6,0,-0.3,6.87285714285714E-05
0.86,0.0024107,0.6,0,-0.3,6.88771428571428E-05
0.87,0.0024157,0.6,0,-0.3,6.902E-05
0.88,0.002421,0.6,0,-0.3,6.91714285714286E-05
0.89,0.0024265,0.6,0,-0.3,6.93285714285714E-05
0.9,0.0024316,0.6,0,-0.3,6.94742857142857E-05
0.91,0.0024365,0.6,0,-0.3,6.96142857142857E-05
0.92,0.0024416,0.6,0,-0.3,6.976E-05
0.93,0.0024467,0.6,0,-0.3,6.99057142857143E-05
0.94,0.0024517,0.6,0,-0.3,7.00485714285714E-05
