Setup title,P-18-Id-Vd
Application test name,Id-Vd
Test date,3/27/2017
Test time,15:04:14
Device ID,
Vdrain,Idrain,Vgate,Vsource,Vsubs,IdrainPerWg
0,-2.6383E-08,-0.6,0,0,-7.538E-10
-0.01,-5.7384E-06,-0.6,0,0,-1.63954285714286E-07
-0.02,-1.09061E-05,-0.6,0,0,-3.11602857142857E-07
-0.03,-1.5568E-05,-0.6,0,0,-4.448E-07
-0.04,-1.971E-05,-0.6,0,0,-5.63142857142857E-07
-0.05,-2.3374E-05,-0.6,0,0,-6.67828571428571E-07
-0.06,-2.6552E-05,-0.6,0,0,-7.58628571428571E-07
-0.07,-2.9336E-05,-0.6,0,0,-8.38171428571429E-07
-0.08,-3.1716E-05,-0.6,0,0,-9.06171428571428E-07
-0.09,-3.3743E-05,-0.6,0,0,-9.64085714285714E-07
-0.1,-3.545E-05,-0.6,0,0,-1.01285714285714E-06
-0.11,-3.687E-05,-0.6,0,0,-1.05342857142857E-06
-0.12,-3.8051E-05,-0.6,0,0,-1.08717142857143E-06
-0.13,-3.9038E-05,-0.6,0,0,-1.11537142857143E-06
-0.14,-3.9837E-05,-0.6,0,0,-1.1382E-06
-0.15,-4.0505E-05,-0.6,0,0,-1.15728571428571E-06
-0.16,-4.1031E-05,-0.6,0,0,-1.17231428571429E-06
-0.17,-4.1478E-05,-0.6,0,0,-1.18508571428571E-06
-0.18,-4.1872E-05,-0.6,0,0,-1.19634285714286E-06
-0.19,-4.2171E-05,-0.6,0,0,-1.20488571428571E-06
-0.2,-4.2458E-05,-0.6,0,0,-1.21308571428571E-06
-0.21,-4.269E-05,-0.6,0,0,-1.21971428571429E-06
-0.22,-4.2903E-05,-0.6,0,0,-1.2258E-06
-0.23,-4.3084E-05,-0.6,0,0,-1.23097142857143E-06
-0.24,-4.3248E-05,-0.6,0,0,-1.23565714285714E-06
-0.25,-4.341E-05,-0.6,0,0,-1.24028571428571E-06
-0.26,-4.3544E-05,-0.6,0,0,-1.24411428571429E-06
-0.27,-4.3681E-05,-0.6,0,0,-1.24802857142857E-06
-0.28,-4.3794E-05,-0.6,0,0,-1.25125714285714E-06
-0.29,-4.3911E-05,-0.6,0,0,-1.2546E-06
-0.3,-4.402E-05,-0.6,0,0,-1.25771428571429E-06
-0.31,-4.4135E-05,-0.6,0,0,-1.261E-06
-0.32,-4.4236E-05,-0.6,0,0,-1.26388571428571E-06
-0.33,-4.4333E-05,-0.6,0,0,-1.26665714285714E-06
-0.34,-4.4427E-05,-0.6,0,0,-1.26934285714286E-06
-0.35,-4.4525E-05,-0.6,0,0,-1.27214285714286E-06
-0.36,-4.4616E-05,-0.6,0,0,-1.27474285714286E-06
-0.37,-4.4692E-05,-0.6,0,0,-1.27691428571429E-06
-0.38,-4.4767E-05,-0.6,0,0,-1.27905714285714E-06
-0.39,-4.4865E-05,-0.6,0,0,-1.28185714285714E-06
-0.4,-4.4946E-05,-0.6,0,0,-1.28417142857143E-06
-0.41,-4.5023E-05,-0.6,0,0,-1.28637142857143E-06
-0.42,-4.5089E-05,-0.6,0,0,-1.28825714285714E-06
-0.43,-4.5178E-05,-0.6,0,0,-1.2908E-06
-0.44,-4.5245E-05,-0.6,0,0,-1.29271428571429E-06
-0.45,-4.5329E-05,-0.6,0,0,-1.29511428571429E-06
-0.46,-4.5391E-05,-0.6,0,0,-1.29688571428571E-06
-0.47,-4.5481E-05,-0.6,0,0,-1.29945714285714E-06
-0.48,-4.5533E-05,-0.6,0,0,-1.30094285714286E-06
-0.49,-4.5608E-05,-0.6,0,0,-1.30308571428571E-06
-0.5,-4.5662E-05,-0.6,0,0,-1.30462857142857E-06
-0.51,-4.5741E-05,-0.6,0,0,-1.30688571428571E-06
-0.52,-4.5803E-05,-0.6,0,0,-1.30865714285714E-06
-0.53,-4.5874E-05,-0.6,0,0,-1.31068571428571E-06
-0.54,-4.5941E-05,-0.6,0,0,-1.3126E-06
-0.55,-4.5985E-05,-0.6,0,0,-1.31385714285714E-06
-0.56,-4.605E-05,-0.6,0,0,-1.31571428571429E-06
-0.57,-4.6115E-05,-0.6,0,0,-1.31757142857143E-06
-0.58,-4.6177E-05,-0.6,0,0,-1.31934285714286E-06
-0.59,-4.6233E-05,-0.6,0,0,-1.32094285714286E-06
-0.6,-4.6283E-05,-0.6,0,0,-1.32237142857143E-06
-0.61,-4.6349E-05,-0.6,0,0,-1.32425714285714E-06
-0.62,-4.641E-05,-0.6,0,0,-1.326E-06
-0.63,-4.6481E-05,-0.6,0,0,-1.32802857142857E-06
-0.64,-4.6518E-05,-0.6,0,0,-1.32908571428571E-06
-0.65,-4.6579E-05,-0.6,0,0,-1.33082857142857E-06
-0.66,-4.6618E-05,-0.6,0,0,-1.33194285714286E-06
-0.67,-4.669E-05,-0.6,0,0,-1.334E-06
-0.68,-4.6733E-05,-0.6,0,0,-1.33522857142857E-06
-0.69,-4.6782E-05,-0.6,0,0,-1.33662857142857E-06
-0.7,-4.6852E-05,-0.6,0,0,-1.33862857142857E-06
-0.71,-4.6904E-05,-0.6,0,0,-1.34011428571429E-06
-0.72,-4.6952E-05,-0.6,0,0,-1.34148571428571E-06
-0.73,-4.7003E-05,-0.6,0,0,-1.34294285714286E-06
-0.74,-4.7044E-05,-0.6,0,0,-1.34411428571429E-06
-0.75,-4.71E-05,-0.6,0,0,-1.34571428571429E-06
