Setup title,P-18-Id-Vd
Application test name,Id-Vd
Test date,3/28/2017
Test time,13:48:38
Device ID,13
Vdrain,Idrain,Vgate,Vsource,Vsubs,IdrainPerWg
0,1.4979E-07,-0.6,0,0.1,4.27971428571428E-09
-0.01,-4.2548E-06,-0.6,0,0.1,-1.21565714285714E-07
-0.02,-8.2278E-06,-0.6,0,0.1,-2.3508E-07
-0.03,-1.1737E-05,-0.6,0,0.1,-3.35342857142857E-07
-0.04,-1.4809E-05,-0.6,0,0.1,-4.23114285714286E-07
-0.05,-1.7452E-05,-0.6,0,0.1,-4.98628571428571E-07
-0.06,-1.973E-05,-0.6,0,0.1,-5.63714285714286E-07
-0.07,-2.1645E-05,-0.6,0,0.1,-6.18428571428571E-07
-0.08,-2.3236E-05,-0.6,0,0.1,-6.63885714285714E-07
-0.09,-2.4583E-05,-0.6,0,0.1,-7.02371428571428E-07
-0.1,-2.5712E-05,-0.6,0,0.1,-7.34628571428571E-07
-0.11,-2.6617E-05,-0.6,0,0.1,-7.60485714285714E-07
-0.12,-2.7332E-05,-0.6,0,0.1,-7.80914285714286E-07
-0.13,-2.7936E-05,-0.6,0,0.1,-7.98171428571428E-07
-0.14,-2.843E-05,-0.6,0,0.1,-8.12285714285714E-07
-0.15,-2.8835E-05,-0.6,0,0.1,-8.23857142857143E-07
-0.16,-2.9181E-05,-0.6,0,0.1,-8.33742857142857E-07
-0.17,-2.9421E-05,-0.6,0,0.1,-8.406E-07
-0.18,-2.9656E-05,-0.6,0,0.1,-8.47314285714286E-07
-0.19,-2.9845E-05,-0.6,0,0.1,-8.52714285714286E-07
-0.2,-3.0031E-05,-0.6,0,0.1,-8.58028571428571E-07
-0.21,-3.0162E-05,-0.6,0,0.1,-8.61771428571429E-07
-0.22,-3.0288E-05,-0.6,0,0.1,-8.65371428571429E-07
-0.23,-3.0395E-05,-0.6,0,0.1,-8.68428571428571E-07
-0.24,-3.0519E-05,-0.6,0,0.1,-8.71971428571429E-07
-0.25,-3.063E-05,-0.6,0,0.1,-8.75142857142857E-07
-0.26,-3.0709E-05,-0.6,0,0.1,-8.774E-07
-0.27,-3.0789E-05,-0.6,0,0.1,-8.79685714285714E-07
-0.28,-3.0871E-05,-0.6,0,0.1,-8.82028571428571E-07
-0.29,-3.0951E-05,-0.6,0,0.1,-8.84314285714286E-07
-0.3,-3.1046E-05,-0.6,0,0.1,-8.87028571428571E-07
-0.31,-3.1088E-05,-0.6,0,0.1,-8.88228571428571E-07
-0.32,-3.1159E-05,-0.6,0,0.1,-8.90257142857143E-07
-0.33,-3.1234E-05,-0.6,0,0.1,-8.924E-07
-0.34,-3.1286E-05,-0.6,0,0.1,-8.93885714285714E-07
-0.35,-3.1362E-05,-0.6,0,0.1,-8.96057142857143E-07
-0.36,-3.1402E-05,-0.6,0,0.1,-8.972E-07
-0.37,-3.1462E-05,-0.6,0,0.1,-8.98914285714286E-07
-0.38,-3.1541E-05,-0.6,0,0.1,-9.01171428571429E-07
-0.39,-3.1585E-05,-0.6,0,0.1,-9.02428571428571E-07
-0.4,-3.1647E-05,-0.6,0,0.1,-9.042E-07
-0.41,-3.1703E-05,-0.6,0,0.1,-9.058E-07
-0.42,-3.1744E-05,-0.6,0,0.1,-9.06971428571428E-07
-0.43,-3.1804E-05,-0.6,0,0.1,-9.08685714285714E-07
-0.44,-3.1864E-05,-0.6,0,0.1,-9.104E-07
-0.45,-3.1909E-05,-0.6,0,0.1,-9.11685714285714E-07
-0.46,-3.1933E-05,-0.6,0,0.1,-9.12371428571428E-07
-0.47,-3.2004E-05,-0.6,0,0.1,-9.144E-07
-0.48,-3.2039E-05,-0.6,0,0.1,-9.154E-07
-0.49,-3.2074E-05,-0.6,0,0.1,-9.164E-07
-0.5,-3.2159E-05,-0.6,0,0.1,-9.18828571428571E-07
-0.51,-3.2186E-05,-0.6,0,0.1,-9.196E-07
-0.52,-3.2223E-05,-0.6,0,0.1,-9.20657142857143E-07
-0.53,-3.2284E-05,-0.6,0,0.1,-9.224E-07
-0.54,-3.2343E-05,-0.6,0,0.1,-9.24085714285714E-07
-0.55,-3.2354E-05,-0.6,0,0.1,-9.244E-07
-0.56,-3.2403E-05,-0.6,0,0.1,-9.258E-07
-0.57,-3.2468E-05,-0.6,0,0.1,-9.27657142857143E-07
-0.58,-3.2513E-05,-0.6,0,0.1,-9.28942857142857E-07
-0.59,-3.2531E-05,-0.6,0,0.1,-9.29457142857143E-07
-0.6,-3.2558E-05,-0.6,0,0.1,-9.30228571428571E-07
-0.61,-3.2607E-05,-0.6,0,0.1,-9.31628571428571E-07
-0.62,-3.2642E-05,-0.6,0,0.1,-9.32628571428571E-07
-0.63,-3.2668E-05,-0.6,0,0.1,-9.33371428571428E-07
-0.64,-3.2716E-05,-0.6,0,0.1,-9.34742857142857E-07
-0.65,-3.2764E-05,-0.6,0,0.1,-9.36114285714285E-07
-0.66,-3.2805E-05,-0.6,0,0.1,-9.37285714285714E-07
-0.67,-3.2861E-05,-0.6,0,0.1,-9.38885714285714E-07
-0.68,-3.2867E-05,-0.6,0,0.1,-9.39057142857143E-07
-0.69,-3.2894E-05,-0.6,0,0.1,-9.39828571428571E-07
-0.7,-3.2968E-05,-0.6,0,0.1,-9.41942857142857E-07
-0.71,-3.2999E-05,-0.6,0,0.1,-9.42828571428571E-07
-0.72,-3.3026E-05,-0.6,0,0.1,-9.436E-07
-0.73,-3.3058E-05,-0.6,0,0.1,-9.44514285714286E-07
-0.74,-3.3085E-05,-0.6,0,0.1,-9.45285714285714E-07
-0.75,-3.3137E-05,-0.6,0,0.1,-9.46771428571428E-07
-0.76,-3.3185E-05,-0.6,0,0.1,-9.48142857142857E-07
