Setup title,P-18-Id-Vd
Application test name,Id-Vd
Test date,3/28/2017
Test time,13:48:04
Device ID,13
Vdrain,Idrain,Vgate,Vsource,Vsubs,IdrainPerWg
0,1.6869E-07,-0.6,0,0,4.81971428571429E-09
-0.01,-5.4956E-06,-0.6,0,0,-1.57017142857143E-07
-0.02,-1.06513E-05,-0.6,0,0,-3.04322857142857E-07
-0.03,-1.5298E-05,-0.6,0,0,-4.37085714285714E-07
-0.04,-1.9438E-05,-0.6,0,0,-5.55371428571428E-07
-0.05,-2.3091E-05,-0.6,0,0,-6.59742857142857E-07
-0.06,-2.6266E-05,-0.6,0,0,-7.50457142857143E-07
-0.07,-2.9037E-05,-0.6,0,0,-8.29628571428571E-07
-0.08,-3.1429E-05,-0.6,0,0,-8.97971428571428E-07
-0.09,-3.3472E-05,-0.6,0,0,-9.56342857142857E-07
-0.1,-3.5195E-05,-0.6,0,0,-1.00557142857143E-06
-0.11,-3.6604E-05,-0.6,0,0,-1.04582857142857E-06
-0.12,-3.7792E-05,-0.6,0,0,-1.07977142857143E-06
-0.13,-3.8782E-05,-0.6,0,0,-1.10805714285714E-06
-0.14,-3.9643E-05,-0.6,0,0,-1.13265714285714E-06
-0.15,-4.0266E-05,-0.6,0,0,-1.15045714285714E-06
-0.16,-4.0811E-05,-0.6,0,0,-1.16602857142857E-06
-0.17,-4.1271E-05,-0.6,0,0,-1.17917142857143E-06
-0.18,-4.1661E-05,-0.6,0,0,-1.19031428571429E-06
-0.19,-4.1985E-05,-0.6,0,0,-1.19957142857143E-06
-0.2,-4.225E-05,-0.6,0,0,-1.20714285714286E-06
-0.21,-4.2483E-05,-0.6,0,0,-1.2138E-06
-0.22,-4.2683E-05,-0.6,0,0,-1.21951428571429E-06
-0.23,-4.2897E-05,-0.6,0,0,-1.22562857142857E-06
-0.24,-4.3054E-05,-0.6,0,0,-1.23011428571429E-06
-0.25,-4.3186E-05,-0.6,0,0,-1.23388571428571E-06
-0.26,-4.3327E-05,-0.6,0,0,-1.23791428571429E-06
-0.27,-4.3475E-05,-0.6,0,0,-1.24214285714286E-06
-0.28,-4.3594E-05,-0.6,0,0,-1.24554285714286E-06
-0.29,-4.3687E-05,-0.6,0,0,-1.2482E-06
-0.3,-4.3784E-05,-0.6,0,0,-1.25097142857143E-06
-0.31,-4.3903E-05,-0.6,0,0,-1.25437142857143E-06
-0.32,-4.4007E-05,-0.6,0,0,-1.25734285714286E-06
-0.33,-4.4092E-05,-0.6,0,0,-1.25977142857143E-06
-0.34,-4.4173E-05,-0.6,0,0,-1.26208571428571E-06
-0.35,-4.4281E-05,-0.6,0,0,-1.26517142857143E-06
-0.36,-4.4345E-05,-0.6,0,0,-1.267E-06
-0.37,-4.4444E-05,-0.6,0,0,-1.26982857142857E-06
-0.38,-4.4508E-05,-0.6,0,0,-1.27165714285714E-06
-0.39,-4.4587E-05,-0.6,0,0,-1.27391428571429E-06
-0.4,-4.4681E-05,-0.6,0,0,-1.2766E-06
-0.41,-4.4766E-05,-0.6,0,0,-1.27902857142857E-06
-0.42,-4.4812E-05,-0.6,0,0,-1.28034285714286E-06
-0.43,-4.4888E-05,-0.6,0,0,-1.28251428571429E-06
-0.44,-4.4946E-05,-0.6,0,0,-1.28417142857143E-06
-0.45,-4.5021E-05,-0.6,0,0,-1.28631428571429E-06
-0.46,-4.5104E-05,-0.6,0,0,-1.28868571428571E-06
-0.47,-4.5161E-05,-0.6,0,0,-1.29031428571429E-06
-0.48,-4.5231E-05,-0.6,0,0,-1.29231428571429E-06
-0.49,-4.5294E-05,-0.6,0,0,-1.29411428571429E-06
-0.5,-4.5375E-05,-0.6,0,0,-1.29642857142857E-06
-0.51,-4.5428E-05,-0.6,0,0,-1.29794285714286E-06
-0.52,-4.5459E-05,-0.6,0,0,-1.29882857142857E-06
-0.53,-4.5535E-05,-0.6,0,0,-1.301E-06
-0.54,-4.5603E-05,-0.6,0,0,-1.30294285714286E-06
-0.55,-4.5675E-05,-0.6,0,0,-1.305E-06
-0.56,-4.5714E-05,-0.6,0,0,-1.30611428571429E-06
-0.57,-4.5776E-05,-0.6,0,0,-1.30788571428571E-06
-0.58,-4.5837E-05,-0.6,0,0,-1.30962857142857E-06
-0.59,-4.5906E-05,-0.6,0,0,-1.3116E-06
-0.6,-4.5939E-05,-0.6,0,0,-1.31254285714286E-06
-0.61,-4.601E-05,-0.6,0,0,-1.31457142857143E-06
-0.62,-4.605E-05,-0.6,0,0,-1.31571428571429E-06
-0.63,-4.6092E-05,-0.6,0,0,-1.31691428571429E-06
-0.64,-4.6167E-05,-0.6,0,0,-1.31905714285714E-06
-0.65,-4.619E-05,-0.6,0,0,-1.31971428571429E-06
-0.66,-4.6261E-05,-0.6,0,0,-1.32174285714286E-06
-0.67,-4.6325E-05,-0.6,0,0,-1.32357142857143E-06
-0.68,-4.6378E-05,-0.6,0,0,-1.32508571428571E-06
-0.69,-4.6412E-05,-0.6,0,0,-1.32605714285714E-06
-0.7,-4.6465E-05,-0.6,0,0,-1.32757142857143E-06
-0.71,-4.6507E-05,-0.6,0,0,-1.32877142857143E-06
-0.72,-4.6567E-05,-0.6,0,0,-1.33048571428571E-06
-0.73,-4.6594E-05,-0.6,0,0,-1.33125714285714E-06
-0.74,-4.6628E-05,-0.6,0,0,-1.33222857142857E-06
-0.75,-4.6678E-05,-0.6,0,0,-1.33365714285714E-06
-0.76,-4.6756E-05,-0.6,0,0,-1.33588571428571E-06
-0.77,-4.6804E-05,-0.6,0,0,-1.33725714285714E-06
-0.78,-4.683E-05,-0.6,0,0,-1.338E-06
-0.79,-4.6872E-05,-0.6,0,0,-1.3392E-06
-0.8,-4.6937E-05,-0.6,0,0,-1.34105714285714E-06
-0.81,-4.699E-05,-0.6,0,0,-1.34257142857143E-06
-0.82,-4.7016E-05,-0.6,0,0,-1.34331428571429E-06
