Setup title,"P-18 Id-Vg (fast)"
Classic test name,"I/V Sweep"
Test date,3/28/2017
Test time,13:51:41
Device ID,13
Vgate,Idrain,Isubs,Vsource,Vdrain,Vsubs
0,-8.173E-10,-1.3385E-09,0,-0.05,0
-0.01,-2.701E-10,-6.739E-10,0,-0.05,0
-0.02,8.648E-10,7.779E-10,0,-0.05,0
-0.03,-1.2713E-09,-1.6693E-09,0,-0.05,0
-0.04,1.2251E-09,1.4336E-09,0,-0.05,0
-0.05,-1.2029E-09,-1.9561E-09,0,-0.05,0
-0.06,1.0527E-09,1.8502E-09,0,-0.05,0
-0.07,-1.2848E-09,-1.7206E-09,0,-0.05,0
-0.08,1.0175E-09,1.8812E-09,0,-0.05,0
-0.09,-1.2699E-09,-1.521E-09,0,-0.05,0
-0.1,9.272E-10,1.877E-09,0,-0.05,0
-0.11,-1.3754E-09,-1.541E-09,0,-0.05,0
-0.12,-1.7387E-09,1.851E-09,0,-0.05,0
-0.13,-1.7444E-09,1.8787E-09,0,-0.05,0
-0.14,-1.9559E-09,1.8774E-09,0,-0.05,0
-0.15,-1.9715E-09,1.8689E-09,0,-0.05,0
-0.16,-2.3128E-09,1.8416E-09,0,-0.05,0
-0.17,-2.7536E-09,1.8434E-09,0,-0.05,0
-0.18,-3.2059E-09,1.8733E-09,0,-0.05,0
-0.19,-1.507E-09,1.874E-09,0,-0.05,0
-0.2,-4.6679E-09,-1.6945E-09,0,-0.05,0
-0.21,-3.5017E-09,1.8673E-09,0,-0.05,0
-0.22,-7.4535E-09,-1.5261E-09,0,-0.05,0
-0.23,-7.2774E-09,1.8476E-09,0,-0.05,0
-0.24,-1.08174E-08,-1.8594E-09,0,-0.05,0
-0.25,-1.62782E-08,-1.5305E-09,0,-0.05,0
-0.26,-2.04158E-08,1.2359E-09,0,-0.05,0
-0.27,-2.54278E-08,-7.838E-10,0,-0.05,0
-0.28,-3.74136E-08,-1.6527E-09,0,-0.05,0
-0.29,-4.83972E-08,1.1145E-09,0,-0.05,0
-0.3,-6.23454E-08,-6.31E-10,0,-0.05,0
-0.31,-8.5955E-08,-1.8197E-09,0,-0.05,0
-0.32,-1.1432E-07,1.0042E-09,0,-0.05,0
-0.33,-1.493E-07,7.536E-10,0,-0.05,0
-0.34,-1.995E-07,-2.0541E-09,0,-0.05,0
-0.35,-2.5844E-07,1.7167E-09,0,-0.05,0
-0.36,-3.4682E-07,-1.5182E-09,0,-0.05,0
-0.37,-4.4236E-07,1.8722E-09,0,-0.05,0
-0.38,-5.8552E-07,-1.5651E-09,0,-0.05,0
-0.39,-7.4264E-07,1.8513E-09,0,-0.05,0
-0.4,-9.6606E-07,-1.6473E-09,0,-0.05,0
-0.41,-1.2176E-06,-1.4523E-09,0,-0.05,0
-0.42,-1.5361E-06,1.7073E-09,0,-0.05,0
-0.43,-1.9355E-06,-1.5378E-09,0,-0.05,0
-0.44,-2.3861E-06,1.8466E-09,0,-0.05,0
-0.45,-2.9581E-06,-1.531E-09,0,-0.05,0
-0.46,-3.5825E-06,1.8075E-09,0,-0.05,0
-0.47,-4.3496E-06,-1.5274E-09,0,-0.05,0
-0.48,-5.1731E-06,1.8429E-09,0,-0.05,0
-0.49,-6.1415E-06,-1.5184E-09,0,-0.05,0
-0.5,-7.1914E-06,1.8521E-09,0,-0.05,0
-0.51,-8.3817E-06,-2.0355E-09,0,-0.05,0
-0.52,-9.6434E-06,1.8684E-09,0,-0.05,0
-0.53,-1.10564E-05,-1.7634E-09,0,-0.05,0
-0.54,-1.2514E-05,-9.521E-10,0,-0.05,0
-0.55,-1.4084E-05,-9.788E-10,0,-0.05,0
-0.56,-1.5752E-05,1.6861E-09,0,-0.05,0
-0.57,-1.7524E-05,-1.5824E-09,0,-0.05,0
-0.58,-1.9306E-05,1.8716E-09,0,-0.05,0
-0.59,-2.1232E-05,-1.648E-09,0,-0.05,0
-0.6,-2.3096E-05,1.8701E-09,0,-0.05,0
-0.61,-2.5152E-05,-1.8978E-09,0,-0.05,0
-0.62,-2.7102E-05,1.8834E-09,0,-0.05,0
-0.63,-2.9222E-05,-1.7132E-09,0,-0.05,0
-0.64,-3.132E-05,1.8087E-09,0,-0.05,0
-0.65,-3.3468E-05,-1.7872E-09,0,-0.05,0
-0.66,-3.5558E-05,1.8494E-09,0,-0.05,0
-0.67,-3.7834E-05,-1.7129E-09,0,-0.05,0
-0.68,-3.9994E-05,1.7856E-09,0,-0.05,0
-0.69,-4.2228E-05,-1.6058E-09,0,-0.05,0
-0.7,-4.4324E-05,1.858E-09,0,-0.05,0
-0.71,-4.6612E-05,-1.5237E-09,0,-0.05,0
-0.72,-4.8798E-05,1.8475E-09,0,-0.05,0
-0.73,-5.1118E-05,-1.5164E-09,0,-0.05,0
-0.74,-5.3244E-05,1.857E-09,0,-0.05,0
-0.75,-5.5502E-05,-1.9021E-09,0,-0.05,0
-0.76,-5.7686E-05,1.8492E-09,0,-0.05,0
-0.77,-5.9932E-05,-1.5284E-09,0,-0.05,0
-0.78,-6.2074E-05,1.8289E-09,0,-0.05,0
-0.79,-6.4304E-05,-1.5238E-09,0,-0.05,0
-0.8,-6.6476E-05,1.8824E-09,0,-0.05,0
-0.81,-6.8708E-05,-1.9898E-09,0,-0.05,0
-0.82,-7.0838E-05,1.8738E-09,0,-0.05,0
-0.83,-7.3016E-05,-1.5718E-09,0,-0.05,0
-0.84,-7.5164E-05,1.8423E-09,0,-0.05,0
-0.85,-7.7364E-05,-1.717E-09,0,-0.05,0
-0.86,-7.9482E-05,1.8528E-09,0,-0.05,0
-0.87,-8.1654E-05,-1.666E-09,0,-0.05,0
-0.88,-8.3696E-05,1.8724E-09,0,-0.05,0
-0.89,-8.5858E-05,-1.6839E-09,0,-0.05,0
-0.9,-8.7908E-05,1.8084E-09,0,-0.05,0
-0.91,-9.0032E-05,-1.8171E-09,0,-0.05,0
-0.92,-9.2078E-05,1.8798E-09,0,-0.05,0
-0.93,-9.4166E-05,-1.7887E-09,0,-0.05,0
-0.94,-9.6116E-05,1.8764E-09,0,-0.05,0
-0.95,-9.8212E-05,-1.6644E-09,0,-0.05,0
-0.96,-0.00010022,1.8124E-09,0,-0.05,0
-0.97,-0.000102228,-1.6549E-09,0,-0.05,0
-0.98,-0.0001042,1.7907E-09,0,-0.05,0
-0.99,-0.000106238,-1.9108E-09,0,-0.05,0
-1,-0.00010817,1.8147E-09,0,-0.05,0
-1.01,-0.000110146,-1.7249E-09,0,-0.05,0
-1.02,-0.000112082,1.8732E-09,0,-0.05,0
-1.03,-0.000113996,-1.5232E-09,0,-0.05,0
-1.04,-0.00011578,-2.1046E-09,0,-0.05,0
-1.05,-0.00011764,1.8833E-09,0,-0.05,0
-1.06,-0.00011958,-1.5262E-09,0,-0.05,0
-1.07,-0.00012146,1.879E-09,0,-0.05,0
-1.08,-0.0001233,-1.5747E-09,0,-0.05,0
-1.09,-0.00012514,1.8503E-09,0,-0.05,0
-1.1,-0.00012704,-1.671E-09,0,-0.05,0
-1.11,-0.00012882,1.8114E-09,0,-0.05,0
-1.12,-0.00013064,-1.5321E-09,0,-0.05,0
-1.13,-0.00013244,1.7922E-09,0,-0.05,0
-1.14,-0.00013424,-1.5242E-09,0,-0.05,0
-1.15,-0.000136,1.8195E-09,0,-0.05,0
-1.16,-0.00013776,-1.5241E-09,0,-0.05,0
-1.17,-0.00013958,1.8532E-09,0,-0.05,0
-1.18,-0.00014134,-1.523E-09,0,-0.05,0
-1.19,-0.00014304,1.6378E-09,0,-0.05,0
-1.2,-0.00014478,-1.6273E-09,0,-0.05,0
-1.21,-0.00014646,1.8819E-09,0,-0.05,0
-1.22,-0.00014812,-1.6146E-09,0,-0.05,0
-1.23,-0.0001498,1.8307E-09,0,-0.05,0
-1.24,-0.0001515,-1.591E-09,0,-0.05,0
-1.25,-0.0001532,1.8359E-09,0,-0.05,0
-1.26,-0.0001548,-1.5302E-09,0,-0.05,0
-1.27,-0.00015644,1.8655E-09,0,-0.05,0
-1.28,-0.00015804,-1.5215E-09,0,-0.05,0
-1.29,-0.00015964,1.8375E-09,0,-0.05,0
