Setup title,N-18-Id-Vd
Application test name,Id-Vd
Test date,3/28/2017
Test time,14:06:42
Device ID,16
Vdrain,Idrain,Vgate,Vsource,Vsubs,IdrainPerWg
0,-2.7598E-07,0.6,0,0,-7.88514285714286E-09
0.01,2.9635E-05,0.6,0,0,8.46714285714286E-07
0.02,5.7781E-05,0.6,0,0,1.65088571428571E-06
0.03,8.4038E-05,0.6,0,0,2.40108571428571E-06
0.04,0.000108251,0.6,0,0,3.09288571428571E-06
0.05,0.00013059,0.6,0,0,3.73114285714286E-06
0.06,0.00015073,0.6,0,0,4.30657142857143E-06
0.07,0.0001693,0.6,0,0,4.83714285714286E-06
0.08,0.00018584,0.6,0,0,5.30971428571429E-06
0.09,0.00020098,0.6,0,0,5.74228571428571E-06
0.1,0.00021413,0.6,0,0,6.118E-06
0.11,0.00022622,0.6,0,0,6.46342857142857E-06
0.12,0.00023666,0.6,0,0,6.76171428571429E-06
0.13,0.0002459,0.6,0,0,7.02571428571429E-06
0.14,0.00025419,0.6,0,0,7.26257142857143E-06
0.15,0.00026112,0.6,0,0,7.46057142857143E-06
0.16,0.00026744,0.6,0,0,7.64114285714286E-06
0.17,0.00027279,0.6,0,0,7.794E-06
0.18,0.00027774,0.6,0,0,7.93542857142857E-06
0.19,0.00028151,0.6,0,0,8.04314285714286E-06
0.2,0.00028492,0.6,0,0,8.14057142857143E-06
0.21,0.00028812,0.6,0,0,8.232E-06
0.22,0.0002909,0.6,0,0,8.31142857142857E-06
0.23,0.00029331,0.6,0,0,8.38028571428571E-06
0.24,0.00029543,0.6,0,0,8.44085714285714E-06
0.25,0.00029739,0.6,0,0,8.49685714285714E-06
0.26,0.00029903,0.6,0,0,8.54371428571429E-06
0.27,0.00030062,0.6,0,0,8.58914285714286E-06
0.28,0.00030204,0.6,0,0,8.62971428571428E-06
0.29,0.00030333,0.6,0,0,8.66657142857143E-06
0.3,0.00030465,0.6,0,0,8.70428571428571E-06
0.31,0.00030579,0.6,0,0,8.73685714285714E-06
0.32,0.00030684,0.6,0,0,8.76685714285714E-06
0.33,0.00030788,0.6,0,0,8.79657142857143E-06
0.34,0.00030881,0.6,0,0,8.82314285714286E-06
0.35,0.00030979,0.6,0,0,8.85114285714286E-06
0.36,0.00031073,0.6,0,0,8.878E-06
0.37,0.00031167,0.6,0,0,8.90485714285714E-06
0.38,0.00031238,0.6,0,0,8.92514285714286E-06
0.39,0.00031331,0.6,0,0,8.95171428571429E-06
0.4,0.00031407,0.6,0,0,8.97342857142857E-06
0.41,0.00031492,0.6,0,0,8.99771428571428E-06
0.42,0.00031569,0.6,0,0,9.01971428571429E-06
0.43,0.00031645,0.6,0,0,9.04142857142857E-06
0.44,0.00031717,0.6,0,0,9.062E-06
0.45,0.00031784,0.6,0,0,9.08114285714286E-06
0.46,0.00031859,0.6,0,0,9.10257142857143E-06
0.47,0.00031928,0.6,0,0,9.12228571428571E-06
0.48,0.00031995,0.6,0,0,9.14142857142857E-06
0.49,0.00032064,0.6,0,0,9.16114285714286E-06
0.5,0.00032129,0.6,0,0,9.17971428571428E-06
0.51,0.00032196,0.6,0,0,9.19885714285714E-06
0.52,0.00032264,0.6,0,0,9.21828571428571E-06
0.53,0.00032325,0.6,0,0,9.23571428571428E-06
0.54,0.00032387,0.6,0,0,9.25342857142857E-06
0.55,0.00032446,0.6,0,0,9.27028571428571E-06
0.56,0.00032511,0.6,0,0,9.28885714285714E-06
0.57,0.00032569,0.6,0,0,9.30542857142857E-06
0.58,0.00032632,0.6,0,0,9.32342857142857E-06
0.59,0.00032694,0.6,0,0,9.34114285714286E-06
0.6,0.00032753,0.6,0,0,9.358E-06
0.61,0.00032807,0.6,0,0,9.37342857142857E-06
0.62,0.00032871,0.6,0,0,9.39171428571428E-06
0.63,0.00032935,0.6,0,0,9.41E-06
0.64,0.00032985,0.6,0,0,9.42428571428571E-06
0.65,0.00033042,0.6,0,0,9.44057142857143E-06
0.66,0.00033097,0.6,0,0,9.45628571428571E-06
0.67,0.0003315,0.6,0,0,9.47142857142857E-06
