Setup title,P-18-Id-Vg
Application test name,Id-Vg
Test date,3/23/2017
Test time,12:26:46
Device ID,
Vgate,Idrain,Isubs,Vsource,Vdrain,Vsubs,IdrainPerWg,IsubsPerWg,gm,gmPerWg
0,-1.47E-11,-1.2294E-09,0,-0.05,0,-1.47E-12,-1.2294E-10,-8.87E-10,-8.87E-11
-0.01,-5.83E-12,-1.2559E-09,0,-0.05,0,-5.83E-13,-1.2559E-10,-5.06E-10,-5.06E-11
-0.02,-4.58E-12,-1.1076E-09,0,-0.05,0,-4.58E-13,-1.1076E-10,-1.24E-10,-1.24E-11
-0.03,-3.35E-12,-1.2325E-09,0,-0.05,0,-3.35E-13,-1.2325E-10,-3.1E-11,-3.1E-12
-0.04,-3.96E-12,-9.2084E-10,0,-0.05,0,-3.96E-13,-9.2084E-11,1.5E-11,1.5E-12
-0.05,-3.65E-12,-1.01643E-09,0,-0.05,0,-3.65E-13,-1.01643E-10,-6.25E-11,-6.25E-12
-0.06,-2.71E-12,-1.3245E-09,0,-0.05,0,-2.71E-13,-1.3245E-10,-2.2E-11,-2.2E-12
-0.07,-3.21E-12,-1.0622E-09,0,-0.05,0,-3.21E-13,-1.0622E-10,-5.00000000000008E-13,-4.99999999999998E-14
-0.08,-2.7E-12,-1.0948E-09,0,-0.05,0,-2.7E-13,-1.0948E-10,-1.7E-11,-1.7E-12
-0.09,-2.87E-12,-1.3165E-09,0,-0.05,0,-2.87E-13,-1.3165E-10,-4.99999999999988E-13,-4.99999999999998E-14
-0.1,-2.69E-12,-1.155E-09,0,-0.05,0,-2.69E-13,-1.155E-10,1.99999999999999E-12,1.99999999999999E-13
-0.11,-2.91E-12,-1.1351E-09,0,-0.05,0,-2.91E-13,-1.1351E-10,8E-12,7.99999999999999E-13
-0.12,-2.85E-12,-1.2048E-09,0,-0.05,0,-2.85E-13,-1.2048E-10,2.1E-11,2.1E-12
-0.13,-3.33E-12,-1.1776E-09,0,-0.05,0,-3.33E-13,-1.1776E-10,1.75E-11,1.75E-12
-0.14,-3.2E-12,-1.3708E-09,0,-0.05,0,-3.2E-13,-1.3708E-10,-1.15E-11,-1.15E-12
-0.15,-3.1E-12,-1.3066E-09,0,-0.05,0,-3.1E-13,-1.3066E-10,1.75E-11,1.75E-12
-0.16,-3.55E-12,-1.1913E-09,0,-0.05,0,-3.55E-13,-1.1913E-10,9.04999999999999E-11,9.04999999999999E-12
-0.17,-4.91E-12,-1.1224E-09,0,-0.05,0,-4.91E-13,-1.1224E-10,1.005E-10,1.005E-11
-0.18,-5.56E-12,-1.3182E-09,0,-0.05,0,-5.56E-13,-1.3182E-10,7.50000000000001E-11,7.50000000000001E-12
-0.19,-6.41E-12,-1.1691E-09,0,-0.05,0,-6.41E-13,-1.1691E-10,1.505E-10,1.505E-11
-0.2,-8.57E-12,-1.3727E-09,0,-0.05,0,-8.57E-13,-1.3727E-10,2.38E-10,2.38E-11
-0.21,-1.117E-11,-1.0629E-09,0,-0.05,0,-1.117E-12,-1.0629E-10,2.835E-10,2.835E-11
-0.22,-1.424E-11,-1.0172E-09,0,-0.05,0,-1.424E-12,-1.0172E-10,3.85E-10,3.85E-11
-0.23,-1.887E-11,-1.1733E-09,0,-0.05,0,-1.887E-12,-1.1733E-10,5.495E-10,5.49499999999999E-11
-0.24,-2.523E-11,-1.2636E-09,0,-0.05,0,-2.523E-12,-1.2636E-10,7.15500000000001E-10,7.15500000000001E-11
-0.25,-3.318E-11,-1.1631E-09,0,-0.05,0,-3.318E-12,-1.1631E-10,1.0215E-09,1.0215E-10
-0.26,-4.566E-11,-1.0279E-09,0,-0.05,0,-4.566E-12,-1.0279E-10,1.3375E-09,1.3375E-10
-0.27,-5.993E-11,-1.2885E-09,0,-0.05,0,-5.993E-12,-1.2885E-10,1.78E-09,1.78E-10
-0.28,-8.126E-11,-1.2131E-09,0,-0.05,0,-8.126E-12,-1.2131E-10,2.4495E-09,2.4495E-10
-0.29,-1.0892E-10,-1.248E-09,0,-0.05,0,-1.0892E-11,-1.248E-10,3.22500000000001E-09,3.225E-10
-0.3,-1.4576E-10,-1.2269E-09,0,-0.05,0,-1.4576E-11,-1.2269E-10,4.22100000000001E-09,4.22100000000001E-10
-0.31,-1.9334E-10,-1.18E-09,0,-0.05,0,-1.9334E-11,-1.18E-10,5.431E-09,5.431E-10
-0.32,-2.5438E-10,-1.2318E-09,0,-0.05,0,-2.5438E-11,-1.2318E-10,7.02349999999999E-09,7.02349999999999E-10
-0.33,-3.3381E-10,-1.2057E-09,0,-0.05,0,-3.3381E-11,-1.2057E-10,8.95649999999999E-09,8.95649999999999E-10
-0.34,-4.3351E-10,-1.1155E-09,0,-0.05,0,-4.3351E-11,-1.1155E-10,1.12135E-08,1.12135E-09
-0.35,-5.5808E-10,-8.9581E-10,0,-0.05,0,-5.5808E-11,-8.9581E-11,1.3844E-08,1.3844E-09
-0.36,-7.1039E-10,-1.1865E-09,0,-0.05,0,-7.1039E-11,-1.1865E-10,1.63415E-08,1.63415E-09
-0.37,-8.8491E-10,-1.2924E-09,0,-0.05,0,-8.8491E-11,-1.2924E-10,2.02045E-08,2.02045E-09
-0.38,-1.11448E-09,-1.129E-09,0,-0.05,0,-1.11448E-10,-1.129E-10,2.4363E-08,2.4363E-09
-0.39,-1.37217E-09,-1.1114E-09,0,-0.05,0,-1.37217E-10,-1.1114E-10,2.7785E-08,2.7785E-09
-0.4,-1.67018E-09,-1.2168E-09,0,-0.05,0,-1.67018E-10,-1.2168E-10,3.0919E-08,3.0919E-09
-0.41,-1.99055E-09,-1.1906E-09,0,-0.05,0,-1.99055E-10,-1.1906E-10,3.60345E-08,3.60345E-09
-0.42,-2.39087E-09,-1.3117E-09,0,-0.05,0,-2.39087E-10,-1.3117E-10,4.09940000000001E-08,4.09940000000001E-09
-0.43,-2.81043E-09,-1.193E-09,0,-0.05,0,-2.81043E-10,-1.193E-10,4.28630000000001E-08,4.28630000000001E-09
-0.44,-3.24813E-09,-1.1303E-09,0,-0.05,0,-3.24813E-10,-1.1303E-10,4.83344999999999E-08,4.83344999999999E-09
-0.45,-3.77712E-09,-1.2517E-09,0,-0.05,0,-3.77712E-10,-1.2517E-10,5.34849999999999E-08,5.34849999999999E-09
-0.46,-4.31783E-09,-9.879E-10,0,-0.05,0,-4.31783E-10,-9.879E-11,5.42735E-08,5.42735E-09
-0.47,-4.86259E-09,-1.2136E-09,0,-0.05,0,-4.86259E-10,-1.2136E-10,5.94485E-08,5.94485E-09
-0.48,-5.5068E-09,-1.1983E-09,0,-0.05,0,-5.5068E-10,-1.1983E-10,6.40064999999999E-08,6.40064999999999E-09
