Setup title,N-18-Id-Vg
Application test name,Id-Vg
Test date,3/16/2017
Test time,11:50:05
Device ID,
Vgate,Idrain,Isubs,Vsource,Vdrain,Vsubs,IdrainPerWg,IsubsPerWg,gm,gmPerWg
0,1.569E-11,7E-11,0,0.05,0,1.569E-12,7E-12,-6.45E-10,-6.45E-11
0.01,9.24E-12,-1.78E-10,0,0.05,0,9.24E-13,-1.78E-11,-4.25E-10,-4.25E-11
0.02,7.19E-12,7.6E-11,0,0.05,0,7.19E-13,7.6E-12,-1.375E-10,-1.375E-11
0.03,6.49E-12,3.5E-11,0,0.05,0,6.49E-13,3.5E-12,-6.05E-11,-6.05E-12
0.04,5.98E-12,-2.31E-10,0,0.05,0,5.98E-13,-2.31E-11,-3.6E-11,-3.6E-12
0.05,5.77E-12,1.1E-11,0,0.05,0,5.77E-13,1.1E-12,8.50000000000001E-12,8.50000000000001E-13
0.06,6.15E-12,4.6E-11,0,0.05,0,6.15E-13,4.6E-12,1.95E-11,1.95E-12
0.07,6.16E-12,-2.33E-10,0,0.05,0,6.16E-13,-2.33E-11,3.99999999999998E-12,3.99999999999998E-13
0.08,6.23E-12,5.5E-11,0,0.05,0,6.23E-13,5.5E-12,5.1E-11,5.1E-12
0.09,7.18E-12,2.7E-11,0,0.05,0,7.18E-13,2.7E-12,5.25E-11,5.25E-12
0.1,7.28E-12,-6.4E-11,0,0.05,0,7.28E-13,-6.4E-12,5.45E-11,5.45E-12
0.11,8.27E-12,4.6E-11,0,0.05,0,8.27E-13,4.6E-12,8.85E-11,8.85E-12
0.12,9.05E-12,1.235E-09,0,0.05,0,9.05E-13,1.235E-10,1.135E-10,1.135E-11
0.13,1.054E-11,6.56E-10,0,0.05,0,1.054E-12,6.56E-11,2.32E-10,2.32E-11
0.14,1.369E-11,-6.41E-10,0,0.05,0,1.369E-12,-6.41E-11,3.09E-10,3.09E-11
0.15,1.672E-11,1.107E-09,0,0.05,0,1.672E-12,1.107E-10,2.675E-10,2.675E-11
0.16,1.904E-11,7.92E-10,0,0.05,0,1.904E-12,7.92E-11,4.135E-10,4.135E-11
0.17,2.499E-11,-7.52E-10,0,0.05,0,2.499E-12,-7.52E-11,6.035E-10,6.035E-11
0.18,3.111E-11,1.062E-09,0,0.05,0,3.111E-12,1.062E-10,6.83E-10,6.83E-11
0.19,3.865E-11,1.361E-09,0,0.05,0,3.865E-12,1.361E-10,9.07E-10,9.07E-11
0.2,4.925E-11,5.59E-10,0,0.05,0,4.925E-12,5.59E-11,1.301E-09,1.301E-10
0.21,6.467E-11,9.41E-10,0,0.05,0,6.467E-12,9.41E-11,1.6545E-09,1.6545E-10
0.22,8.234E-11,1.319E-09,0,0.05,0,8.234E-12,1.319E-10,2.1245E-09,2.1245E-10
0.23,1.0716E-10,1.679E-09,0,0.05,0,1.0716E-11,1.679E-10,2.8635E-09,2.8635E-10
0.24,1.3961E-10,8.06E-10,0,0.05,0,1.3961E-11,8.06E-11,3.7575E-09,3.7575E-10
0.25,1.8231E-10,1.239E-09,0,0.05,0,1.8231E-11,1.239E-10,4.9295E-09,4.9295E-10
0.26,2.382E-10,3.15E-10,0,0.05,0,2.382E-11,3.15E-11,6.53199999999999E-09,6.53199999999999E-10
0.27,3.1295E-10,7.6E-10,0,0.05,0,3.1295E-11,7.6E-11,8.73749999999999E-09,8.73749999999999E-10
0.28,4.1295E-10,-2.9E-11,0,0.05,0,4.1295E-11,-2.9E-12,1.095E-08,1.095E-09
0.29,5.3195E-10,7.58E-10,0,0.05,0,5.3195E-11,7.58E-11,1.47115E-08,1.47115E-09
0.3,7.0718E-10,-4.9E-11,0,0.05,0,7.0718E-11,-4.9E-12,1.93775E-08,1.93775E-09
0.31,9.195E-10,1.644E-09,0,0.05,0,9.195E-11,1.644E-10,2.5956E-08,2.5956E-09
