Setup title,P-18-Id-Vg
Application test name,Id-Vg
Test date,3/20/2017
Test time,16:25:35
Device ID,
Vgate,Idrain,Isubs,Vsource,Vdrain,Vsubs,IdrainPerWg,IsubsPerWg,gm,gmPerWg
0,-1.419E-11,-1.005E-11,0,-0.01,0,-1.419E-12,-1.005E-12,1.13E-10,1.13E-11
-0.01,-1.532E-11,3.85E-12,0,-0.01,0,-1.532E-12,3.85E-13,1.93E-10,1.93E-11
-0.02,-1.805E-11,-4.1E-13,0,-0.01,0,-1.805E-12,-4.1E-14,3.2E-10,3.2E-11
-0.03,-2.172E-11,5.38E-12,0,-0.01,0,-2.172E-12,5.38E-13,4.38E-10,4.38E-11
-0.04,-2.681E-11,4.58E-12,0,-0.01,0,-2.681E-12,4.58E-13,6.19E-10,6.19E-11
-0.05,-3.41E-11,-9.66E-12,0,-0.01,0,-3.41E-12,-9.66E-13,8.395E-10,8.39499999999999E-11
-0.06,-4.36E-11,-4.3E-12,0,-0.01,0,-4.36E-12,-4.3E-13,1.1475E-09,1.1475E-10
-0.07,-5.705E-11,-6.8E-13,0,-0.01,0,-5.705E-12,-6.8E-14,1.4555E-09,1.4555E-10
-0.08,-7.271E-11,4.46E-12,0,-0.01,0,-7.271E-12,4.46E-13,2.0265E-09,2.0265E-10
-0.09,-9.758E-11,2.297E-11,0,-0.01,0,-9.758E-12,2.297E-12,2.8905E-09,2.8905E-10
-0.1,-1.3052E-10,-1.262E-11,0,-0.01,0,-1.3052E-11,-1.262E-12,3.654E-09,3.654E-10
-0.11,-1.7066E-10,1E-12,0,-0.01,0,-1.7066E-11,1E-13,4.584E-09,4.584E-10
-0.12,-2.222E-10,2.38E-12,0,-0.01,0,-2.222E-11,2.38E-13,6.9255E-09,6.9255E-10
-0.13,-3.0917E-10,-1.97E-12,0,-0.01,0,-3.0917E-11,-1.97E-13,9.4585E-09,9.4585E-10
