Setup title,"N-18 Id-Vg (fast)"
Classic test name,"I/V Sweep"
Test date,3/29/2017
Test time,13:40:10
Device ID,
Vgate,Idrain,Isubs,Vsource,Vdrain,Vsubs
0,1.2226E-09,-3.164E-08,0,0.05,0
0.01,-1.0972E-09,-2.4808E-07,0,0.05,0
0.02,5.003E-10,3.35E-08,0,0.05,0
0.03,2.157E-10,-2.806E-08,0,0.05,0
0.04,-8.966E-10,2.796E-08,0,0.05,0
0.05,1.1609E-09,4.3108E-07,0,0.05,0
0.06,-8.831E-10,-3.7354E-07,0,0.05,0
0.07,7.49E-11,2.69E-08,0,0.05,0
0.08,1.369E-09,-3.646E-07,0,0.05,0
0.09,1.5052E-09,-1.2884E-07,0,0.05,0
0.1,1.5679E-09,-1.0132E-07,0,0.05,0
0.11,-1.234E-10,2.54E-08,0,0.05,0
0.12,2.1893E-09,3.432E-07,0,0.05,0
0.13,2.1415E-09,-3.3182E-07,0,0.05,0
0.14,1.1361E-09,2.522E-08,0,0.05,0
0.15,2.3962E-09,2.102E-08,0,0.05,0
0.16,4.7575E-09,-2.996E-08,0,0.05,0
0.17,4.1712E-09,-2.775E-07,0,0.05,0
0.18,7.5474E-09,3.422E-08,0,0.05,0
0.19,1.08656E-08,-8.058E-08,0,0.05,0
0.2,1.17496E-08,-3.697E-07,0,0.05,0
0.21,1.82346E-08,2.9042E-07,0,0.05,0
0.22,2.20902E-08,-9.59E-08,0,0.05,0
0.23,2.8271E-08,2.604E-08,0,0.05,0
0.24,3.9657E-08,4.0814E-07,0,0.05,0
0.25,4.85764E-08,-2.9632E-07,0,0.05,0
0.26,6.44784E-08,8.732E-08,0,0.05,0
0.27,8.25096E-08,-4.08E-08,0,0.05,0
0.28,1.019E-07,9.6E-09,0,0.05,0
0.29,1.3006E-07,-2.624E-08,0,0.05,0
0.3,1.5972E-07,2.984E-08,0,0.05,0
0.31,1.972E-07,-3.628E-08,0,0.05,0
0.32,2.4018E-07,3.486E-08,0,0.05,0
0.33,2.8778E-07,-6.744E-08,0,0.05,0
0.34,3.4616E-07,2.6168E-07,0,0.05,0
0.35,4.0694E-07,3.05E-07,0,0.05,0
0.36,4.7788E-07,-3.528E-08,0,0.05,0
0.37,5.5274E-07,1.684E-08,0,0.05,0
0.38,6.3584E-07,-2.99E-08,0,0.05,0
0.39,7.2796E-07,3.37E-08,0,0.05,0
0.4,8.2038E-07,-6.846E-08,0,0.05,0
0.41,9.2262E-07,2.9394E-07,0,0.05,0
0.42,1.0305E-06,2.8748E-07,0,0.05,0
0.43,1.1389E-06,-3.1638E-07,0,0.05,0
0.44,1.2553E-06,2.172E-08,0,0.05,0
0.45,1.3752E-06,3.101E-07,0,0.05,0
0.46,1.4981E-06,6.384E-08,0,0.05,0
0.47,1.6206E-06,-2.1526E-07,0,0.05,0
0.48,1.7515E-06,3.4864E-07,0,0.05,0
0.49,1.879E-06,1.8928E-07,0,0.05,0
0.5,2.0116E-06,-8.818E-08,0,0.05,0
