Setup title,P-18-Id-Vd
Application test name,Id-Vd
Test date,3/29/2017
Test time,14:07:19
Device ID,
Vdrain,Idrain,Vgate,Vsource,Vsubs,IdrainPerWg
0,3.3013E-09,-0.6,0,0.4,9.43228571428571E-11
-0.01,-4.0377E-08,-0.6,0,0.4,-1.15362857142857E-09
-0.02,-8.1541E-08,-0.6,0,0.4,-2.32974285714286E-09
-0.03,-1.1526E-07,-0.6,0,0.4,-3.29314285714286E-09
-0.04,-1.421E-07,-0.6,0,0.4,-4.06E-09
-0.05,-1.6699E-07,-0.6,0,0.4,-4.77114285714286E-09
-0.06,-1.9041E-07,-0.6,0,0.4,-5.44028571428571E-09
-0.07,-2.0762E-07,-0.6,0,0.4,-5.932E-09
-0.08,-2.1956E-07,-0.6,0,0.4,-6.27314285714286E-09
-0.09,-2.3163E-07,-0.6,0,0.4,-6.618E-09
-0.1,-2.4569E-07,-0.6,0,0.4,-7.01971428571428E-09
-0.11,-2.5376E-07,-0.6,0,0.4,-7.25028571428571E-09
-0.12,-2.5982E-07,-0.6,0,0.4,-7.42342857142857E-09
-0.13,-2.6738E-07,-0.6,0,0.4,-7.63942857142857E-09
-0.14,-2.745E-07,-0.6,0,0.4,-7.84285714285714E-09
-0.15,-2.7611E-07,-0.6,0,0.4,-7.88885714285714E-09
-0.16,-2.8234E-07,-0.6,0,0.4,-8.06685714285714E-09
-0.17,-2.8895E-07,-0.6,0,0.4,-8.25571428571428E-09
-0.18,-2.9233E-07,-0.6,0,0.4,-8.35228571428571E-09
-0.19,-2.934E-07,-0.6,0,0.4,-8.38285714285714E-09
-0.2,-2.9721E-07,-0.6,0,0.4,-8.49171428571428E-09
-0.21,-3.02E-07,-0.6,0,0.4,-8.62857142857143E-09
-0.22,-3.0373E-07,-0.6,0,0.4,-8.678E-09
-0.23,-3.0568E-07,-0.6,0,0.4,-8.73371428571428E-09
-0.24,-3.1147E-07,-0.6,0,0.4,-8.89914285714285E-09
-0.25,-3.1302E-07,-0.6,0,0.4,-8.94342857142857E-09
-0.26,-3.1268E-07,-0.6,0,0.4,-8.93371428571428E-09
-0.27,-3.1566E-07,-0.6,0,0.4,-9.01885714285714E-09
-0.28,-3.2098E-07,-0.6,0,0.4,-9.17085714285714E-09
-0.29,-3.2333E-07,-0.6,0,0.4,-9.238E-09
-0.3,-3.2208E-07,-0.6,0,0.4,-9.20228571428571E-09
-0.31,-3.2496E-07,-0.6,0,0.4,-9.28457142857143E-09
-0.32,-3.3026E-07,-0.6,0,0.4,-9.436E-09
-0.33,-3.3156E-07,-0.6,0,0.4,-9.47314285714286E-09
-0.34,-3.3238E-07,-0.6,0,0.4,-9.49657142857143E-09
-0.35,-3.3446E-07,-0.6,0,0.4,-9.556E-09
-0.36,-3.3867E-07,-0.6,0,0.4,-9.67628571428571E-09
-0.37,-3.3764E-07,-0.6,0,0.4,-9.64685714285714E-09
-0.38,-3.4061E-07,-0.6,0,0.4,-9.73171428571428E-09
-0.39,-3.4516E-07,-0.6,0,0.4,-9.86171428571428E-09
-0.4,-3.4756E-07,-0.6,0,0.4,-9.93028571428571E-09
-0.41,-3.4729E-07,-0.6,0,0.4,-9.92257142857143E-09
-0.42,-3.496E-07,-0.6,0,0.4,-9.98857142857143E-09
-0.43,-3.5312E-07,-0.6,0,0.4,-1.00891428571429E-08
-0.44,-3.5208E-07,-0.6,0,0.4,-1.00594285714286E-08
-0.45,-3.5514E-07,-0.6,0,0.4,-1.01468571428571E-08
-0.46,-3.6049E-07,-0.6,0,0.4,-1.02997142857143E-08
-0.47,-3.617E-07,-0.6,0,0.4,-1.03342857142857E-08
-0.48,-3.6032E-07,-0.6,0,0.4,-1.02948571428571E-08
-0.49,-3.6371E-07,-0.6,0,0.4,-1.03917142857143E-08
-0.5,-3.682E-07,-0.6,0,0.4,-1.052E-08
-0.51,-3.7066E-07,-0.6,0,0.4,-1.05902857142857E-08
-0.52,-3.6878E-07,-0.6,0,0.4,-1.05365714285714E-08
-0.53,-3.7147E-07,-0.6,0,0.4,-1.06134285714286E-08
-0.54,-3.7571E-07,-0.6,0,0.4,-1.07345714285714E-08
-0.55,-3.7444E-07,-0.6,0,0.4,-1.06982857142857E-08
-0.56,-3.7878E-07,-0.6,0,0.4,-1.08222857142857E-08
-0.57,-3.8275E-07,-0.6,0,0.4,-1.09357142857143E-08
-0.58,-3.8381E-07,-0.6,0,0.4,-1.0966E-08
-0.59,-3.8323E-07,-0.6,0,0.4,-1.09494285714286E-08
-0.6,-3.8488E-07,-0.6,0,0.4,-1.09965714285714E-08
-0.61,-3.8996E-07,-0.6,0,0.4,-1.11417142857143E-08
-0.62,-3.915E-07,-0.6,0,0.4,-1.11857142857143E-08
-0.63,-3.9122E-07,-0.6,0,0.4,-1.11777142857143E-08
-0.64,-3.934E-07,-0.6,0,0.4,-1.124E-08
-0.65,-3.9722E-07,-0.6,0,0.4,-1.13491428571429E-08
