Setup title,N-18-Id-Vd
Application test name,Id-Vd
Test date,3/29/2017
Test time,14:38:01
Device ID,
Vdrain,Idrain,Vgate,Vsource,Vsubs,IdrainPerWg
0,-1.9814E-06,0.6,0,0,-5.66114285714286E-08
0.01,5.0104E-05,0.6,0,0,1.43154285714286E-06
0.02,9.6909E-05,0.6,0,0,2.76882857142857E-06
0.03,0.00013958,0.6,0,0,3.988E-06
0.04,0.00017731,0.6,0,0,5.066E-06
0.05,0.00021146,0.6,0,0,6.04171428571429E-06
0.06,0.0002418,0.6,0,0,6.90857142857143E-06
0.07,0.00026812,0.6,0,0,7.66057142857143E-06
0.08,0.00029189,0.6,0,0,8.33971428571429E-06
0.09,0.00031376,0.6,0,0,8.96457142857143E-06
0.1,0.00033155,0.6,0,0,9.47285714285714E-06
0.11,0.00034835,0.6,0,0,9.95285714285714E-06
0.12,0.00036357,0.6,0,0,1.03877142857143E-05
0.13,0.00037617,0.6,0,0,1.07477142857143E-05
0.14,0.00038807,0.6,0,0,1.10877142857143E-05
0.15,0.00039892,0.6,0,0,1.13977142857143E-05
0.16,0.00040806,0.6,0,0,1.16588571428571E-05
0.17,0.00041695,0.6,0,0,1.19128571428571E-05
0.18,0.00042461,0.6,0,0,1.21317142857143E-05
0.19,0.0004319,0.6,0,0,1.234E-05
0.2,0.00043877,0.6,0,0,1.25362857142857E-05
0.21,0.00044515,0.6,0,0,1.27185714285714E-05
0.22,0.0004509,0.6,0,0,1.28828571428571E-05
0.23,0.00045648,0.6,0,0,1.30422857142857E-05
0.24,0.0004615,0.6,0,0,1.31857142857143E-05
0.25,0.00046649,0.6,0,0,1.33282857142857E-05
0.26,0.00047108,0.6,0,0,1.34594285714286E-05
0.27,0.00047586,0.6,0,0,1.3596E-05
0.28,0.00048036,0.6,0,0,1.37245714285714E-05
0.29,0.00048478,0.6,0,0,1.38508571428571E-05
0.3,0.00048881,0.6,0,0,1.3966E-05
0.31,0.00049315,0.6,0,0,1.409E-05
0.32,0.00049714,0.6,0,0,1.4204E-05
0.33,0.0005011,0.6,0,0,1.43171428571429E-05
0.34,0.00050482,0.6,0,0,1.44234285714286E-05
0.35,0.00050873,0.6,0,0,1.45351428571429E-05
0.36,0.00051247,0.6,0,0,1.4642E-05
0.37,0.0005162,0.6,0,0,1.47485714285714E-05
0.38,0.00051988,0.6,0,0,1.48537142857143E-05
0.39,0.00052344,0.6,0,0,1.49554285714286E-05
0.4,0.00052701,0.6,0,0,1.50574285714286E-05
0.41,0.00053081,0.6,0,0,1.5166E-05
0.42,0.00053411,0.6,0,0,1.52602857142857E-05
0.43,0.00053764,0.6,0,0,1.53611428571429E-05
0.44,0.00054087,0.6,0,0,1.54534285714286E-05
0.45,0.00054437,0.6,0,0,1.55534285714286E-05
0.46,0.00054784,0.6,0,0,1.56525714285714E-05
0.47,0.0005514,0.6,0,0,1.57542857142857E-05
0.48,0.00055477,0.6,0,0,1.58505714285714E-05
0.49,0.00055829,0.6,0,0,1.59511428571429E-05
0.5,0.00056199,0.6,0,0,1.60568571428571E-05
0.51,0.00056492,0.6,0,0,1.61405714285714E-05
0.52,0.00056819,0.6,0,0,1.6234E-05
0.53,0.0005714,0.6,0,0,1.63257142857143E-05
0.54,0.00057493,0.6,0,0,1.64265714285714E-05
0.55,0.00057816,0.6,0,0,1.65188571428571E-05
0.56,0.00058186,0.6,0,0,1.66245714285714E-05
0.57,0.00058481,0.6,0,0,1.67088571428571E-05
0.58,0.00058803,0.6,0,0,1.68008571428571E-05
0.59,0.00059139,0.6,0,0,1.68968571428571E-05
0.6,0.00059461,0.6,0,0,1.69888571428571E-05
0.61,0.00059775,0.6,0,0,1.70785714285714E-05
0.62,0.00060092,0.6,0,0,1.71691428571429E-05
0.63,0.00060467,0.6,0,0,1.72762857142857E-05
0.64,0.00060768,0.6,0,0,1.73622857142857E-05
0.65,0.00061113,0.6,0,0,1.74608571428571E-05
0.66,0.00061438,0.6,0,0,1.75537142857143E-05
0.67,0.00061738,0.6,0,0,1.76394285714286E-05
0.68,0.00062103,0.6,0,0,1.77437142857143E-05
