Setup title,"P-18 Id-Vg (fast)"
Classic test name,"I/V Sweep"
Test date,3/29/2017
Test time,15:19:45
Device ID,
Vgate,Idrain,Isubs,Vsource,Vdrain,Vsubs
0,-7.547E-10,3.21E-10,0,-0.05,0
-0.01,1.1144E-09,1.5747E-09,0,-0.05,0
-0.02,-1.1913E-09,-5.6514E-09,0,-0.05,0
-0.03,1.0653E-09,2.1617E-09,0,-0.05,0
-0.04,-1.1926E-09,-5.089E-09,0,-0.05,0
-0.05,1.0232E-09,2.2128E-09,0,-0.05,0
-0.06,-1.183E-09,-5.0181E-09,0,-0.05,0
-0.07,9.086E-10,1.9102E-09,0,-0.05,0
-0.08,-1.2551E-09,-4.6259E-09,0,-0.05,0
-0.09,6.094E-10,2.0974E-09,0,-0.05,0
-0.1,-1.3601E-09,-4.8234E-09,0,-0.05,0
-0.11,-1.5137E-09,2.0472E-09,0,-0.05,0
-0.12,8.31E-10,-6.384E-10,0,-0.05,0
-0.13,-1.7615E-09,6.144E-10,0,-0.05,0
-0.14,-1.8598E-09,2.2151E-09,0,-0.05,0
-0.15,-1.9399E-09,2.1803E-09,0,-0.05,0
-0.16,-3.424E-10,-6.917E-10,0,-0.05,0
-0.17,-2.5298E-09,1.274E-09,0,-0.05,0
-0.18,-1.0578E-09,-5.428E-10,0,-0.05,0
-0.19,-2.4394E-09,1.2799E-09,0,-0.05,0
-0.2,-3.903E-09,-1.6239E-09,0,-0.05,0
-0.21,-4.1649E-09,1.5525E-09,0,-0.05,0
-0.22,-7.281E-09,-3.8847E-09,0,-0.05,0
-0.23,-7.0895E-09,1.8762E-09,0,-0.05,0
-0.24,-9.5796E-09,-1.3106E-09,0,-0.05,0
-0.25,-1.60154E-08,1.2024E-09,0,-0.05,0
-0.26,-1.87818E-08,2.2677E-09,0,-0.05,0
-0.27,-2.56956E-08,-4.7078E-09,0,-0.05,0
-0.28,-3.64676E-08,1.2746E-09,0,-0.05,0
-0.29,-4.5841E-08,2.216E-09,0,-0.05,0
-0.3,-6.21882E-08,-4.4021E-09,0,-0.05,0
-0.31,-8.35958E-08,1.3406E-09,0,-0.05,0
-0.32,-1.088334E-07,-5.96E-10,0,-0.05,0
-0.33,-1.4594E-07,1.8602E-09,0,-0.05,0
-0.34,-1.9308E-07,-4.4393E-09,0,-0.05,0
-0.35,-2.528E-07,2.2708E-09,0,-0.05,0
-0.36,-3.3504E-07,6.802E-10,0,-0.05,0
-0.37,-4.3298E-07,-7.042E-10,0,-0.05,0
-0.38,-5.6098E-07,1.6232E-09,0,-0.05,0
-0.39,-7.3518E-07,-4.853E-09,0,-0.05,0
-0.4,-9.3524E-07,2.2119E-09,0,-0.05,0
-0.41,-1.1911E-06,2.2421E-09,0,-0.05,0
-0.42,-1.5124E-06,-2.863E-10,0,-0.05,0
-0.43,-1.8938E-06,2.2092E-09,0,-0.05,0
-0.44,-2.323E-06,1.334E-10,0,-0.05,0
-0.45,-2.8777E-06,-5.656E-10,0,-0.05,0
-0.46,-3.4991E-06,1.2751E-09,0,-0.05,0
-0.47,-4.2302E-06,-3.6716E-09,0,-0.05,0
-0.48,-5.0698E-06,2.1559E-09,0,-0.05,0
-0.49,-5.9962E-06,-4.5746E-09,0,-0.05,0
-0.5,-7.0328E-06,2.2645E-09,0,-0.05,0
-0.51,-8.1105E-06,-2.86E-10,0,-0.05,0
-0.52,-9.3992E-06,-4.297E-10,0,-0.05,0
-0.53,-1.0717E-05,1.3678E-09,0,-0.05,0
-0.54,-1.2174E-05,4.164E-10,0,-0.05,0
-0.55,-1.3698E-05,1.29E-11,0,-0.05,0
-0.56,-1.533E-05,-4.877E-10,0,-0.05,0
