Setup title,N-18-Id-Vg
Application test name,Id-Vg
Test date,3/2/2017
Test time,15:19:25
Device ID,
Vgate,Idrain,Isubs,Vsource,Vdrain,Vsubs,IdrainPerWg,IsubsPerWg,gm,gmPerWg
0,-3.4117E-10,-7.85E-12,0,-1.8,0,-3.4117E-11,-7.85E-13,-1.0446E-08,-1.0446E-09
-0.01,-2.3671E-10,-1.086E-11,0,-1.8,0,-2.3671E-11,-1.086E-12,-6.1885E-09,-6.1885E-10
-0.02,-2.174E-10,-1.454E-11,0,-1.8,0,-2.174E-11,-1.454E-12,-1.185E-09,-1.185E-10
-0.03,-2.1301E-10,-2.702E-11,0,-1.8,0,-2.1301E-11,-2.702E-12,1.37500000000001E-10,1.375E-11
-0.04,-2.2015E-10,-1.563E-11,0,-1.8,0,-2.2015E-11,-1.563E-12,1.335E-09,1.335E-10
-0.05,-2.3971E-10,-1.007E-11,0,-1.8,0,-2.3971E-11,-1.007E-12,2.387E-09,2.387E-10
-0.06,-2.6789E-10,-9.27E-12,0,-1.8,0,-2.6789E-11,-9.27E-13,3.5995E-09,3.5995E-10
-0.07,-3.117E-10,-2.02E-11,0,-1.8,0,-3.117E-11,-2.02E-12,5.4365E-09,5.4365E-10
-0.08,-3.7662E-10,-1.336E-11,0,-1.8,0,-3.7662E-11,-1.336E-12,7.4E-09,7.39999999999999E-10
-0.09,-4.597E-10,4.41E-12,0,-1.8,0,-4.597E-11,4.41E-13,9.721E-09,9.721E-10
-0.1,-5.7104E-10,-6.44E-12,0,-1.8,0,-5.7104E-11,-6.44E-13,1.2929E-08,1.2929E-09
-0.11,-7.1828E-10,5.62E-12,0,-1.8,0,-7.1828E-11,5.62E-13,1.6832E-08,1.6832E-09
-0.12,-9.0768E-10,-1.234E-11,0,-1.8,0,-9.0768E-11,-1.234E-12,2.3336E-08,2.3336E-09
-0.13,-1.185E-09,-7.11E-12,0,-1.8,0,-1.185E-10,-7.11E-13,3.00005E-08,3.00005E-09
-0.14,-1.50769E-09,-4.63E-12,0,-1.8,0,-1.50769E-10,-4.63E-13,3.84875E-08,3.84875E-09
-0.15,-1.95475E-09,-5.47E-12,0,-1.8,0,-1.95475E-10,-5.47E-13,5.2252E-08,5.2252E-09
-0.16,-2.55273E-09,-1.441E-11,0,-1.8,0,-2.55273E-10,-1.441E-12,7.08394999999999E-08,7.08394999999999E-09
-0.17,-3.37154E-09,-2.067E-11,0,-1.8,0,-3.37154E-10,-2.067E-12,9.16749999999999E-08,9.16749999999999E-09
-0.18,-4.38623E-09,-1.06E-11,0,-1.8,0,-4.38623E-10,-1.06E-12,1.19685E-07,1.19685E-08
-0.19,-5.76524E-09,-1.11E-11,0,-1.8,0,-5.76524E-10,-1.11E-12,1.610415E-07,1.610415E-08
-0.2,-7.60706E-09,-1.47E-12,0,-1.8,0,-7.60706E-10,-1.47E-13,2.104155E-07,2.104155E-08
-0.21,-9.97355E-09,-3.469E-11,0,-1.8,0,-9.97355E-10,-3.469E-12,2.83067E-07,2.83067E-08
-0.22,-1.32684E-08,-1.183E-11,0,-1.8,0,-1.32684E-09,-1.183E-12,3.693075E-07,3.693075E-08
-0.23,-1.73597E-08,-8.1E-13,0,-1.8,0,-1.73597E-09,-8.1E-14,4.7894E-07,4.78939999999999E-08
-0.24,-2.28472E-08,-1.733E-11,0,-1.8,0,-2.28472E-09,-1.733E-12,6.42575E-07,6.42575E-08
-0.25,-3.02112E-08,-1.131E-11,0,-1.8,0,-3.02112E-09,-1.131E-12,8.37105E-07,8.37105E-08
-0.26,-3.95893E-08,-8.4E-13,0,-1.8,0,-3.95893E-09,-8.4E-14,1.077255E-06,1.077255E-07
-0.27,-5.17563E-08,-1.256E-11,0,-1.8,0,-5.17563E-09,-1.256E-12,1.403E-06,1.403E-07
-0.28,-6.76493E-08,6.43E-12,0,-1.8,0,-6.76493E-09,6.43E-13,1.86723E-06,1.86723E-07
-0.29,-8.91009E-08,-1.565E-11,0,-1.8,0,-8.91009E-09,-1.565E-12,2.44453500000001E-06,2.44453500000001E-07
-0.3,-1.1654E-07,1.11E-12,0,-1.8,0,-1.1654E-08,1.11E-13,3.13735500000001E-06,3.13735500000001E-07
-0.31,-1.51848E-07,8.63E-12,0,-1.8,0,-1.51848E-08,8.63E-13,4.07835E-06,4.07834999999999E-07
-0.32,-1.98107E-07,1.024E-11,0,-1.8,0,-1.98107E-08,1.024E-12,5.29249999999999E-06,5.29249999999999E-07
-0.33,-2.57698E-07,-5.94E-12,0,-1.8,0,-2.57698E-08,-5.94E-13,6.7172E-06,6.71719999999999E-07
-0.34,-3.32451E-07,8.1E-13,0,-1.8,0,-3.32451E-08,8.1E-14,8.52479999999999E-06,8.52479999999999E-07
-0.35,-4.28194E-07,1.335E-11,0,-1.8,0,-4.28194E-08,1.335E-12,1.096945E-05,1.096945E-06
-0.36,-5.5184E-07,2.44E-11,0,-1.8,0,-5.5184E-08,2.44E-12,1.401995E-05,1.401995E-06
-0.37,-7.08593E-07,4.229E-11,0,-1.8,0,-7.08593E-08,4.229E-12,1.785735E-05,1.785735E-06
-0.38,-9.08987E-07,4.471E-11,0,-1.8,0,-9.08987E-08,4.471E-12,2.249935E-05,2.249935E-06
-0.39,-1.15858E-06,5.831E-11,0,-1.8,0,-1.15858E-07,5.831E-12,2.800765E-05,2.800765E-06
-0.4,-1.46914E-06,6.365E-11,0,-1.8,0,-1.46914E-07,6.365E-12,3.48555E-05,3.48555E-06
-0.41,-1.85569E-06,8.155E-11,0,-1.8,0,-1.85569E-07,8.155E-12,4.26455E-05,4.26455E-06
-0.42,-2.32205E-06,9.37E-11,0,-1.8,0,-2.32205E-07,9.37E-12,5.20980000000001E-05,5.20980000000001E-06
-0.43,-2.89765E-06,1.3079E-10,0,-1.8,0,-2.89765E-07,1.3079E-11,6.24545000000001E-05,6.24545000000001E-06
-0.44,-3.57114E-06,1.4919E-10,0,-1.8,0,-3.57114E-07,1.4919E-11,7.53449999999999E-05,7.53449999999999E-06
-0.45,-4.40455E-06,1.7412E-10,0,-1.8,0,-4.40455E-07,1.7412E-11,9.02834999999999E-05,9.02834999999999E-06
-0.46,-5.37681E-06,2.1815E-10,0,-1.8,0,-5.37681E-07,2.1815E-11,0.00010609,1.0609E-05
-0.47,-6.52635E-06,2.3714E-10,0,-1.8,0,-6.52635E-07,2.3714E-11,0.0001253535,1.253535E-05
-0.48,-7.88388E-06,2.7771E-10,0,-1.8,0,-7.88388E-07,2.7771E-11,0.0001457535,1.457535E-05
-0.49,-9.44142E-06,3.2272E-10,0,-1.8,0,-9.44142E-07,3.2272E-11,0.000167735,1.67735E-05
-0.5,-1.123858E-05,3.6503E-10,0,-1.8,0,-1.123858E-06,3.6503E-11,0.000191449,1.91449E-05
-0.51,-1.32704E-05,3.947E-10,0,-1.8,0,-1.32704E-06,3.947E-11,0.000217296,2.17296E-05
-0.52,-1.55845E-05,4.5629E-10,0,-1.8,0,-1.55845E-06,4.5629E-11,0.00024632,2.4632E-05
-0.53,-1.81968E-05,5.1071E-10,0,-1.8,0,-1.81968E-06,5.1071E-11,0.000274575,2.74575E-05
-0.54,-2.1076E-05,5.4903E-10,0,-1.8,0,-2.1076E-06,5.4903E-11,0.000304335,3.04335E-05
-0.55,-2.42835E-05,5.8128E-10,0,-1.8,0,-2.42835E-06,5.8128E-11,0.00033441,3.3441E-05
-0.56,-2.77642E-05,6.4525E-10,0,-1.8,0,-2.77642E-06,6.4525E-11,0.0003652,3.652E-05
-0.57,-3.15875E-05,7.0564E-10,0,-1.8,0,-3.15875E-06,7.0564E-11,0.000399975,3.99975E-05
-0.58,-3.57637E-05,7.545E-10,0,-1.8,0,-3.57637E-06,7.545E-11,0.0004345,4.345E-05
-0.59,-4.02775E-05,7.9089E-10,0,-1.8,0,-4.02775E-06,7.9089E-11,0.000469070000000002,4.69070000000002E-05
-0.6,-4.51451E-05,8.3908E-10,0,-1.8,0,-4.51451E-06,8.3908E-11,0.000502900000000002,5.02900000000002E-05
-0.61,-5.03355E-05,8.9987E-10,0,-1.8,0,-5.03355E-06,8.9987E-11,0.000538065,5.38065E-05
-0.62,-5.59064E-05,9.5826E-10,0,-1.8,0,-5.59064E-06,9.5826E-11,0.000569405,5.69405E-05
-0.63,-6.17236E-05,9.7705E-10,0,-1.8,0,-6.17236E-06,9.7705E-11,0.000601955,6.01955E-05
-0.64,-6.79455E-05,1.01934E-09,0,-1.8,0,-6.79455E-06,1.01934E-10,0.00063571,6.35709999999999E-05
-0.65,-7.44378E-05,1.07264E-09,0,-1.8,0,-7.44378E-06,1.07264E-10,0.000670019999999999,6.70019999999999E-05
-0.66,-8.13459E-05,1.12144E-09,0,-1.8,0,-8.13459E-06,1.12144E-10,0.000702309999999999,7.02309999999999E-05
-0.67,-8.8484E-05,1.15223E-09,0,-1.8,0,-8.8484E-06,1.15223E-10,0.000734589999999999,7.34589999999999E-05
-0.68,-9.60377E-05,1.17452E-09,0,-1.8,0,-9.60377E-06,1.17452E-10,0.000765499999999999,7.65499999999998E-05
-0.69,-0.000103794,1.19716E-09,0,-1.8,0,-1.03794E-05,1.19716E-10,0.0007972,7.97199999999999E-05
-0.7,-0.0001119817,1.22452E-09,0,-1.8,0,-1.119817E-05,1.22452E-10,0.000826049999999999,8.2605E-05
-0.71,-0.000120315,1.263E-09,0,-1.8,0,-1.20315E-05,1.263E-10,0.000853215,8.53215E-05
-0.72,-0.000129046,1.26152E-09,0,-1.8,0,-1.29046E-05,1.26152E-10,0.000885050000000004,8.85050000000004E-05
-0.73,-0.000138016,1.26531E-09,0,-1.8,0,-1.38016E-05,1.26531E-10,0.000907700000000004,9.07700000000003E-05
-0.74,-0.0001472,1.28298E-09,0,-1.8,0,-1.472E-05,1.28298E-10,0.000936749999999999,9.36749999999999E-05
-0.75,-0.000156751,1.30422E-09,0,-1.8,0,-1.56751E-05,1.30422E-10,0.00096615,9.6615E-05
-0.76,-0.000166523,1.31127E-09,0,-1.8,0,-1.66523E-05,1.31127E-10,0.000993549999999999,9.93549999999999E-05
-0.77,-0.000176622,1.31625E-09,0,-1.8,0,-1.76622E-05,1.31625E-10,0.00101905,0.000101905
-0.78,-0.000186904,1.31459E-09,0,-1.8,0,-1.86904E-05,1.31459E-10,0.00104155,0.000104155
-0.79,-0.000197453,1.32511E-09,0,-1.8,0,-1.97453E-05,1.32511E-10,0.00106605,0.000106605
-0.8,-0.000208225,1.31539E-09,0,-1.8,0,-2.08225E-05,1.31539E-10,0.00108665,0.000108665
-0.81,-0.000219186,1.32199E-09,0,-1.8,0,-2.19186E-05,1.32199E-10,0.0011092,0.00011092
