Setup title,N-18-Id-Vd
Application test name,Id-Vd
Test date,3/2/2017
Test time,17:05:48
Device ID,
Vdrain,Idrain,Vgate,Vsource,Vsubs,IdrainPerWg
0,-1.17422E-07,0.6,0,-0.3,-3.35491428571429E-09
0.01,2.1015E-05,0.6,0,-0.3,6.00428571428571E-07
0.02,4.0203E-05,0.6,0,-0.3,1.14865714285714E-06
0.03,5.7733E-05,0.6,0,-0.3,1.64951428571429E-06
0.04,7.3392E-05,0.6,0,-0.3,2.09691428571429E-06
0.05,8.7578E-05,0.6,0,-0.3,2.50222857142857E-06
0.06,0.000100106,0.6,0,-0.3,2.86017142857143E-06
0.07,0.000111287,0.6,0,-0.3,3.17962857142857E-06
0.08,0.00012104,0.6,0,-0.3,3.45828571428571E-06
0.09,0.00012967,0.6,0,-0.3,3.70485714285714E-06
0.1,0.000137,0.6,0,-0.3,3.91428571428571E-06
0.11,0.00014343,0.6,0,-0.3,4.098E-06
0.12,0.00014883,0.6,0,-0.3,4.25228571428571E-06
0.13,0.00015364,0.6,0,-0.3,4.38971428571428E-06
0.14,0.00015769,0.6,0,-0.3,4.50542857142857E-06
0.15,0.0001611,0.6,0,-0.3,4.60285714285714E-06
0.16,0.00016395,0.6,0,-0.3,4.68428571428571E-06
0.17,0.00016651,0.6,0,-0.3,4.75742857142857E-06
0.18,0.00016859,0.6,0,-0.3,4.81685714285714E-06
0.19,0.0001705,0.6,0,-0.3,4.87142857142857E-06
0.2,0.00017215,0.6,0,-0.3,4.91857142857143E-06
0.21,0.00017357,0.6,0,-0.3,4.95914285714286E-06
0.22,0.00017482,0.6,0,-0.3,4.99485714285714E-06
0.23,0.00017591,0.6,0,-0.3,5.026E-06
0.24,0.00017691,0.6,0,-0.3,5.05457142857143E-06
0.25,0.00017791,0.6,0,-0.3,5.08314285714286E-06
0.26,0.00017881,0.6,0,-0.3,5.10885714285714E-06
0.27,0.00017951,0.6,0,-0.3,5.12885714285714E-06
0.28,0.00018028,0.6,0,-0.3,5.15085714285714E-06
0.29,0.00018104,0.6,0,-0.3,5.17257142857143E-06
0.3,0.00018175,0.6,0,-0.3,5.19285714285714E-06
0.31,0.00018236,0.6,0,-0.3,5.21028571428571E-06
0.32,0.00018289,0.6,0,-0.3,5.22542857142857E-06
0.33,0.00018355,0.6,0,-0.3,5.24428571428571E-06
0.34,0.00018408,0.6,0,-0.3,5.25942857142857E-06
0.35,0.00018463,0.6,0,-0.3,5.27514285714286E-06
0.36,0.00018518,0.6,0,-0.3,5.29085714285714E-06
0.37,0.00018558,0.6,0,-0.3,5.30228571428571E-06
0.38,0.0001861,0.6,0,-0.3,5.31714285714286E-06
0.39,0.00018662,0.6,0,-0.3,5.332E-06
0.4,0.00018716,0.6,0,-0.3,5.34742857142857E-06
0.41,0.00018762,0.6,0,-0.3,5.36057142857143E-06
0.42,0.00018801,0.6,0,-0.3,5.37171428571429E-06
0.43,0.00018851,0.6,0,-0.3,5.386E-06
0.44,0.00018897,0.6,0,-0.3,5.39914285714286E-06
0.45,0.00018947,0.6,0,-0.3,5.41342857142857E-06
0.46,0.00018987,0.6,0,-0.3,5.42485714285714E-06
0.47,0.00019026,0.6,0,-0.3,5.436E-06
0.48,0.00019069,0.6,0,-0.3,5.44828571428571E-06
0.49,0.00019114,0.6,0,-0.3,5.46114285714286E-06
0.5,0.00019161,0.6,0,-0.3,5.47457142857143E-06
0.51,0.00019192,0.6,0,-0.3,5.48342857142857E-06
0.52,0.0001923,0.6,0,-0.3,5.49428571428571E-06
0.53,0.00019275,0.6,0,-0.3,5.50714285714286E-06
0.54,0.00019319,0.6,0,-0.3,5.51971428571429E-06
0.55,0.00019362,0.6,0,-0.3,5.532E-06
0.56,0.0001939,0.6,0,-0.3,5.54E-06
0.57,0.00019428,0.6,0,-0.3,5.55085714285714E-06
0.58,0.00019467,0.6,0,-0.3,5.562E-06
0.59,0.00019503,0.6,0,-0.3,5.57228571428571E-06
0.6,0.00019549,0.6,0,-0.3,5.58542857142857E-06
0.61,0.0001958,0.6,0,-0.3,5.59428571428571E-06
0.62,0.00019607,0.6,0,-0.3,5.602E-06
0.63,0.00019642,0.6,0,-0.3,5.612E-06
0.64,0.00019684,0.6,0,-0.3,5.624E-06
0.65,0.00019719,0.6,0,-0.3,5.634E-06
0.66,0.0001975,0.6,0,-0.3,5.64285714285714E-06
0.67,0.00019784,0.6,0,-0.3,5.65257142857143E-06
0.68,0.0001982,0.6,0,-0.3,5.66285714285714E-06
0.69,0.00019862,0.6,0,-0.3,5.67485714285714E-06
0.7,0.00019885,0.6,0,-0.3,5.68142857142857E-06
0.71,0.00019925,0.6,0,-0.3,5.69285714285714E-06
0.72,0.0001995,0.6,0,-0.3,5.7E-06
0.73,0.00019984,0.6,0,-0.3,5.70971428571428E-06
0.74,0.00020025,0.6,0,-0.3,5.72142857142857E-06
0.75,0.00020054,0.6,0,-0.3,5.72971428571429E-06
0.76,0.00020085,0.6,0,-0.3,5.73857142857143E-06
0.77,0.00020111,0.6,0,-0.3,5.746E-06
0.78,0.00020139,0.6,0,-0.3,5.754E-06
0.79,0.00020179,0.6,0,-0.3,5.76542857142857E-06
0.8,0.0002021,0.6,0,-0.3,5.77428571428571E-06
0.81,0.00020242,0.6,0,-0.3,5.78342857142857E-06
0.82,0.00020264,0.6,0,-0.3,5.78971428571429E-06
0.83,0.00020294,0.6,0,-0.3,5.79828571428571E-06
0.84,0.00020323,0.6,0,-0.3,5.80657142857143E-06
0.85,0.00020354,0.6,0,-0.3,5.81542857142857E-06
0.86,0.0002039,0.6,0,-0.3,5.82571428571429E-06
0.87,0.00020414,0.6,0,-0.3,5.83257142857143E-06
0.88,0.00020445,0.6,0,-0.3,5.84142857142857E-06
0.89,0.00020471,0.6,0,-0.3,5.84885714285714E-06
0.9,0.00020496,0.6,0,-0.3,5.856E-06
0.91,0.00020527,0.6,0,-0.3,5.86485714285714E-06
0.92,0.00020551,0.6,0,-0.3,5.87171428571428E-06
0.93,0.00020581,0.6,0,-0.3,5.88028571428571E-06
0.94,0.0002061,0.6,0,-0.3,5.88857142857143E-06
0.95,0.00020644,0.6,0,-0.3,5.89828571428571E-06
0.96,0.00020669,0.6,0,-0.3,5.90542857142857E-06
0.97,0.00020696,0.6,0,-0.3,5.91314285714286E-06
0.98,0.00020718,0.6,0,-0.3,5.91942857142857E-06
0.99,0.00020748,0.6,0,-0.3,5.928E-06
1,0.00020775,0.6,0,-0.3,5.93571428571428E-06
1.01,0.000208,0.6,0,-0.3,5.94285714285714E-06
1.02,0.00020835,0.6,0,-0.3,5.95285714285714E-06
1.03,0.00020856,0.6,0,-0.3,5.95885714285714E-06
1.04,0.00020876,0.6,0,-0.3,5.96457142857143E-06
1.05,0.00020908,0.6,0,-0.3,5.97371428571429E-06
1.06,0.00020942,0.6,0,-0.3,5.98342857142857E-06
1.07,0.00020962,0.6,0,-0.3,5.98914285714286E-06
1.08,0.00020981,0.6,0,-0.3,5.99457142857143E-06
1.09,0.00020999,0.6,0,-0.3,5.99971428571428E-06
1.1,0.00021035,0.6,0,-0.3,6.01E-06
1.11,0.00021056,0.6,0,-0.3,6.016E-06
1.12,0.00021086,0.6,0,-0.3,6.02457142857143E-06
1.13,0.0002111,0.6,0,-0.3,6.03142857142857E-06
1.14,0.00021138,0.6,0,-0.3,6.03942857142857E-06
1.15,0.00021168,0.6,0,-0.3,6.048E-06
1.16,0.00021185,0.6,0,-0.3,6.05285714285714E-06
1.17,0.00021201,0.6,0,-0.3,6.05742857142857E-06
1.18,0.00021227,0.6,0,-0.3,6.06485714285714E-06
1.19,0.00021254,0.6,0,-0.3,6.07257142857143E-06
1.2,0.00021279,0.6,0,-0.3,6.07971428571428E-06
1.21,0.00021305,0.6,0,-0.3,6.08714285714286E-06
1.22,0.00021317,0.6,0,-0.3,6.09057142857143E-06
1.23,0.00021345,0.6,0,-0.3,6.09857142857143E-06
1.24,0.00021367,0.6,0,-0.3,6.10485714285714E-06
1.25,0.00021396,0.6,0,-0.3,6.11314285714286E-06
1.26,0.00021422,0.6,0,-0.3,6.12057142857143E-06
1.27,0.00021434,0.6,0,-0.3,6.124E-06
1.28,0.00021453,0.6,0,-0.3,6.12942857142857E-06
1.29,0.00021481,0.6,0,-0.3,6.13742857142857E-06
1.3,0.0002151,0.6,0,-0.3,6.14571428571429E-06
1.31,0.00021526,0.6,0,-0.3,6.15028571428571E-06
1.32,0.00021546,0.6,0,-0.3,6.156E-06
1.33,0.00021575,0.6,0,-0.3,6.16428571428571E-06
1.34,0.00021602,0.6,0,-0.3,6.172E-06
1.35,0.00021626,0.6,0,-0.3,6.17885714285714E-06
1.36,0.00021636,0.6,0,-0.3,6.18171428571429E-06
1.37,0.00021655,0.6,0,-0.3,6.18714285714286E-06
1.38,0.00021681,0.6,0,-0.3,6.19457142857143E-06
1.39,0.00021709,0.6,0,-0.3,6.20257142857143E-06
1.4,0.00021727,0.6,0,-0.3,6.20771428571429E-06
1.41,0.00021739,0.6,0,-0.3,6.21114285714286E-06
1.42,0.00021765,0.6,0,-0.3,6.21857142857143E-06
1.43,0.00021792,0.6,0,-0.3,6.22628571428571E-06
1.44,0.00021816,0.6,0,-0.3,6.23314285714286E-06
1.45,0.00021828,0.6,0,-0.3,6.23657142857143E-06
1.46,0.00021846,0.6,0,-0.3,6.24171428571429E-06
1.47,0.00021865,0.6,0,-0.3,6.24714285714286E-06
1.48,0.00021885,0.6,0,-0.3,6.25285714285714E-06
1.49,0.00021921,0.6,0,-0.3,6.26314285714286E-06
1.5,0.00021932,0.6,0,-0.3,6.26628571428571E-06
1.51,0.00021942,0.6,0,-0.3,6.26914285714286E-06
1.52,0.00021965,0.6,0,-0.3,6.27571428571429E-06
1.53,0.00021991,0.6,0,-0.3,6.28314285714286E-06
1.54,0.00022015,0.6,0,-0.3,6.29E-06
1.55,0.0002203,0.6,0,-0.3,6.29428571428571E-06
1.56,0.00022044,0.6,0,-0.3,6.29828571428571E-06
1.57,0.00022068,0.6,0,-0.3,6.30514285714286E-06
1.58,0.00022086,0.6,0,-0.3,6.31028571428571E-06
1.59,0.00022116,0.6,0,-0.3,6.31885714285714E-06
1.6,0.00022131,0.6,0,-0.3,6.32314285714286E-06
1.61,0.00022144,0.6,0,-0.3,6.32685714285714E-06
1.62,0.00022163,0.6,0,-0.3,6.33228571428571E-06
1.63,0.00022195,0.6,0,-0.3,6.34142857142857E-06
1.64,0.00022207,0.6,0,-0.3,6.34485714285714E-06
1.65,0.00022222,0.6,0,-0.3,6.34914285714286E-06
1.66,0.00022241,0.6,0,-0.3,6.35457142857143E-06
1.67,0.0002226,0.6,0,-0.3,6.36E-06
1.68,0.00022288,0.6,0,-0.3,6.368E-06
1.69,0.00022303,0.6,0,-0.3,6.37228571428571E-06
1.7,0.00022317,0.6,0,-0.3,6.37628571428571E-06
1.71,0.00022333,0.6,0,-0.3,6.38085714285714E-06
1.72,0.00022354,0.6,0,-0.3,6.38685714285714E-06
1.73,0.00022385,0.6,0,-0.3,6.39571428571429E-06
1.74,0.0002239,0.6,0,-0.3,6.39714285714286E-06
1.75,0.00022417,0.6,0,-0.3,6.40485714285714E-06
1.76,0.00022429,0.6,0,-0.3,6.40828571428571E-06
1.77,0.00022447,0.6,0,-0.3,6.41342857142857E-06
1.78,0.00022465,0.6,0,-0.3,6.41857142857143E-06
1.79,0.0002249,0.6,0,-0.3,6.42571428571429E-06
1.8,0.00022498,0.6,0,-0.3,6.428E-06
0,-1.17421E-07,0.9,0,-0.3,-3.35488571428571E-09
0.01,7.5304E-05,0.9,0,-0.3,2.15154285714286E-06
0.02,0.00014914,0.9,0,-0.3,4.26114285714286E-06
0.03,0.00022087,0.9,0,-0.3,6.31057142857143E-06
0.04,0.00028992,0.9,0,-0.3,8.28342857142857E-06
0.05,0.00035725,0.9,0,-0.3,1.02071428571429E-05
0.06,0.00042181,0.9,0,-0.3,1.20517142857143E-05
0.07,0.0004846,0.9,0,-0.3,1.38457142857143E-05
0.08,0.00054471,0.9,0,-0.3,1.55631428571429E-05
0.09,0.00060296,0.9,0,-0.3,1.72274285714286E-05
0.1,0.00065843,0.9,0,-0.3,1.88122857142857E-05
0.11,0.00071226,0.9,0,-0.3,2.03502857142857E-05
0.12,0.00076348,0.9,0,-0.3,2.18137142857143E-05
0.13,0.00081267,0.9,0,-0.3,2.32191428571429E-05
0.14,0.00085926,0.9,0,-0.3,2.45502857142857E-05
0.15,0.00090365,0.9,0,-0.3,2.58185714285714E-05
0.16,0.00094632,0.9,0,-0.3,2.70377142857143E-05
0.17,0.0009864,0.9,0,-0.3,2.81828571428571E-05
0.18,0.00102465,0.9,0,-0.3,2.92757142857143E-05
0.19,0.00106016,0.9,0,-0.3,3.02902857142857E-05
0.2,0.00109424,0.9,0,-0.3,3.1264E-05
0.21,0.00112623,0.9,0,-0.3,3.2178E-05
0.22,0.0011562,0.9,0,-0.3,3.30342857142857E-05
0.23,0.0011841,0.9,0,-0.3,3.38314285714286E-05
0.24,0.0012104,0.9,0,-0.3,3.45828571428571E-05
0.25,0.0012347,0.9,0,-0.3,3.52771428571429E-05
0.26,0.0012571,0.9,0,-0.3,3.59171428571428E-05
0.27,0.0012774,0.9,0,-0.3,3.64971428571429E-05
0.28,0.001297,0.9,0,-0.3,3.70571428571429E-05
0.29,0.0013149,0.9,0,-0.3,3.75685714285714E-05
0.3,0.0013315,0.9,0,-0.3,3.80428571428571E-05
0.31,0.0013461,0.9,0,-0.3,3.846E-05
0.32,0.0013597,0.9,0,-0.3,3.88485714285714E-05
0.33,0.0013725,0.9,0,-0.3,3.92142857142857E-05
0.34,0.0013838,0.9,0,-0.3,3.95371428571429E-05
0.35,0.0013945,0.9,0,-0.3,3.98428571428571E-05
0.36,0.0014039,0.9,0,-0.3,4.01114285714286E-05
0.37,0.0014126,0.9,0,-0.3,4.036E-05
0.38,0.0014208,0.9,0,-0.3,4.05942857142857E-05
0.39,0.0014285,0.9,0,-0.3,4.08142857142857E-05
0.4,0.0014354,0.9,0,-0.3,4.10114285714286E-05
0.41,0.0014414,0.9,0,-0.3,4.11828571428571E-05
0.42,0.0014472,0.9,0,-0.3,4.13485714285714E-05
0.43,0.0014524,0.9,0,-0.3,4.14971428571429E-05
