Setup title,N-18-Id-Vd
Application test name,Id-Vd
Test date,3/2/2017
Test time,17:23:30
Device ID,
Vdrain,Idrain,Vgate,Vsource,Vsubs,IdrainPerWg
0,1.8439E-08,-0.6,0,0,5.26828571428571E-10
-0.01,-5.1222E-06,-0.6,0,0,-1.46348571428571E-07
-0.02,-9.6884E-06,-0.6,0,0,-2.76811428571429E-07
-0.03,-1.3812E-05,-0.6,0,0,-3.94628571428571E-07
-0.04,-1.7477E-05,-0.6,0,0,-4.99342857142857E-07
-0.05,-2.0692E-05,-0.6,0,0,-5.912E-07
-0.06,-2.3484E-05,-0.6,0,0,-6.70971428571429E-07
-0.07,-2.5885E-05,-0.6,0,0,-7.39571428571429E-07
-0.08,-2.7945E-05,-0.6,0,0,-7.98428571428571E-07
-0.09,-2.9713E-05,-0.6,0,0,-8.48942857142857E-07
-0.1,-3.1182E-05,-0.6,0,0,-8.90914285714286E-07
-0.11,-3.2374E-05,-0.6,0,0,-9.24971428571428E-07
-0.12,-3.3391E-05,-0.6,0,0,-9.54028571428571E-07
-0.13,-3.4174E-05,-0.6,0,0,-9.764E-07
-0.14,-3.4837E-05,-0.6,0,0,-9.95342857142857E-07
-0.15,-3.5462E-05,-0.6,0,0,-1.0132E-06
-0.16,-3.5914E-05,-0.6,0,0,-1.02611428571429E-06
-0.17,-3.626E-05,-0.6,0,0,-1.036E-06
-0.18,-3.6582E-05,-0.6,0,0,-1.0452E-06
-0.19,-3.687E-05,-0.6,0,0,-1.05342857142857E-06
-0.2,-3.7131E-05,-0.6,0,0,-1.06088571428571E-06
-0.21,-3.7351E-05,-0.6,0,0,-1.06717142857143E-06
-0.22,-3.7479E-05,-0.6,0,0,-1.07082857142857E-06
-0.23,-3.7617E-05,-0.6,0,0,-1.07477142857143E-06
-0.24,-3.7791E-05,-0.6,0,0,-1.07974285714286E-06
-0.25,-3.7948E-05,-0.6,0,0,-1.08422857142857E-06
-0.26,-3.8088E-05,-0.6,0,0,-1.08822857142857E-06
-0.27,-3.8142E-05,-0.6,0,0,-1.08977142857143E-06
-0.28,-3.8206E-05,-0.6,0,0,-1.0916E-06
-0.29,-3.8338E-05,-0.6,0,0,-1.09537142857143E-06
-0.3,-3.8472E-05,-0.6,0,0,-1.0992E-06
-0.31,-3.8589E-05,-0.6,0,0,-1.10254285714286E-06
-0.32,-3.8606E-05,-0.6,0,0,-1.10302857142857E-06
-0.33,-3.8688E-05,-0.6,0,0,-1.10537142857143E-06
-0.34,-3.8798E-05,-0.6,0,0,-1.10851428571429E-06
-0.35,-3.8914E-05,-0.6,0,0,-1.11182857142857E-06
-0.36,-3.8964E-05,-0.6,0,0,-1.11325714285714E-06
-0.37,-3.8971E-05,-0.6,0,0,-1.11345714285714E-06
-0.38,-3.9016E-05,-0.6,0,0,-1.11474285714286E-06
-0.39,-3.9159E-05,-0.6,0,0,-1.11882857142857E-06
-0.4,-3.9294E-05,-0.6,0,0,-1.12268571428571E-06
-0.41,-3.9368E-05,-0.6,0,0,-1.1248E-06
-0.42,-3.9284E-05,-0.6,0,0,-1.1224E-06
