Setup title,P-18-Id-Vd
Application test name,Id-Vd
Test date,3/8/2017
Test time,11:11:32
Device ID,
Vdrain,Idrain,Vgate,Vsource,Vsubs,IdrainPerWg
0,7.699E-10,-0.6,0,0,2.19971428571429E-11
-0.01,1.6641E-09,-0.6,0,0,4.75457142857143E-11
-0.02,-1.6737E-09,-0.6,0,0,-4.782E-11
-0.03,1.7844E-09,-0.6,0,0,5.09828571428571E-11
-0.04,-1.8157E-09,-0.6,0,0,-5.18771428571429E-11
-0.05,1.74E-09,-0.6,0,0,4.97142857142857E-11
-0.06,-1.7951E-09,-0.6,0,0,-5.12885714285714E-11
-0.07,1.704E-09,-0.6,0,0,4.86857142857143E-11
-0.08,-1.7818E-09,-0.6,0,0,-5.09085714285714E-11
-0.09,1.7289E-09,-0.6,0,0,4.93971428571429E-11
-0.1,-1.8495E-09,-0.6,0,0,-5.28428571428571E-11
-0.11,1.7666E-09,-0.6,0,0,5.04742857142857E-11
-0.12,-1.7902E-09,-0.6,0,0,-5.11485714285714E-11
-0.13,1.7752E-09,-0.6,0,0,5.072E-11
-0.14,-1.8011E-09,-0.6,0,0,-5.146E-11
-0.15,1.6977E-09,-0.6,0,0,4.85057142857143E-11
-0.16,-1.7607E-09,-0.6,0,0,-5.03057142857143E-11
-0.17,1.6123E-09,-0.6,0,0,4.60657142857143E-11
-0.18,-1.6911E-09,-0.6,0,0,-4.83171428571429E-11
-0.19,1.7412E-09,-0.6,0,0,4.97485714285714E-11
-0.2,-1.9035E-09,-0.6,0,0,-5.43857142857143E-11
-0.21,1.6014E-09,-0.6,0,0,4.57542857142857E-11
-0.22,-1.8011E-09,-0.6,0,0,-5.146E-11
-0.23,1.7094E-09,-0.6,0,0,4.884E-11
-0.24,-1.6955E-09,-0.6,0,0,-4.84428571428571E-11
-0.25,1.7098E-09,-0.6,0,0,4.88514285714286E-11
-0.26,-1.7991E-09,-0.6,0,0,-5.14028571428571E-11
-0.27,1.6545E-09,-0.6,0,0,4.72714285714286E-11
-0.28,-1.7191E-09,-0.6,0,0,-4.91171428571429E-11
-0.29,1.7609E-09,-0.6,0,0,5.03114285714286E-11
-0.3,-1.8211E-09,-0.6,0,0,-5.20314285714286E-11
-0.31,1.6635E-09,-0.6,0,0,4.75285714285714E-11
-0.32,-1.9017E-09,-0.6,0,0,-5.43342857142857E-11
-0.33,1.7228E-09,-0.6,0,0,4.92228571428571E-11
-0.34,-1.8224E-09,-0.6,0,0,-5.20685714285714E-11
-0.35,1.7477E-09,-0.6,0,0,4.99342857142857E-11
