Setup title,N-18-Id-Vd
Application test name,Id-Vd
Test date,3/8/2017
Test time,11:59:19
Device ID,
Vdrain,Idrain,Vgate,Vsource,Vsubs,IdrainPerWg
0,-3.5649E-07,0.6,0,-0.4,-1.01854285714286E-08
0.01,1.651E-05,0.6,0,-0.4,4.71714285714286E-07
0.02,3.2415E-05,0.6,0,-0.4,9.26142857142857E-07
0.03,4.6593E-05,0.6,0,-0.4,1.33122857142857E-06
0.04,5.9308E-05,0.6,0,-0.4,1.69451428571429E-06
0.05,7.0588E-05,0.6,0,-0.4,2.0168E-06
0.06,8.0605E-05,0.6,0,-0.4,2.303E-06
0.07,8.9359E-05,0.6,0,-0.4,2.55311428571429E-06
0.08,9.6913E-05,0.6,0,-0.4,2.76894285714286E-06
0.09,0.000103443,0.6,0,-0.4,2.95551428571429E-06
0.1,0.000109003,0.6,0,-0.4,3.11437142857143E-06
0.11,0.000113711,0.6,0,-0.4,3.24888571428571E-06
0.12,0.00011766,0.6,0,-0.4,3.36171428571429E-06
0.13,0.00012106,0.6,0,-0.4,3.45885714285714E-06
0.14,0.00012389,0.6,0,-0.4,3.53971428571429E-06
0.15,0.00012629,0.6,0,-0.4,3.60828571428571E-06
0.16,0.00012826,0.6,0,-0.4,3.66457142857143E-06
0.17,0.00012994,0.6,0,-0.4,3.71257142857143E-06
0.18,0.00013138,0.6,0,-0.4,3.75371428571429E-06
0.19,0.00013252,0.6,0,-0.4,3.78628571428571E-06
0.2,0.00013359,0.6,0,-0.4,3.81685714285714E-06
0.21,0.00013444,0.6,0,-0.4,3.84114285714286E-06
0.22,0.00013522,0.6,0,-0.4,3.86342857142857E-06
0.23,0.00013595,0.6,0,-0.4,3.88428571428571E-06
0.24,0.00013655,0.6,0,-0.4,3.90142857142857E-06
0.25,0.00013717,0.6,0,-0.4,3.91914285714286E-06
0.26,0.00013765,0.6,0,-0.4,3.93285714285714E-06
0.27,0.00013812,0.6,0,-0.4,3.94628571428571E-06
0.28,0.00013855,0.6,0,-0.4,3.95857142857143E-06
0.29,0.00013898,0.6,0,-0.4,3.97085714285714E-06
0.3,0.00013947,0.6,0,-0.4,3.98485714285714E-06
0.31,0.00013979,0.6,0,-0.4,3.994E-06
0.32,0.00014022,0.6,0,-0.4,4.00628571428571E-06
0.33,0.00014056,0.6,0,-0.4,4.016E-06
0.34,0.00014088,0.6,0,-0.4,4.02514285714286E-06
0.35,0.00014125,0.6,0,-0.4,4.03571428571429E-06
0.36,0.00014154,0.6,0,-0.4,4.044E-06
0.37,0.0001419,0.6,0,-0.4,4.05428571428571E-06
0.38,0.00014221,0.6,0,-0.4,4.06314285714286E-06
0.39,0.00014251,0.6,0,-0.4,4.07171428571429E-06
0.4,0.0001428,0.6,0,-0.4,4.08E-06
0.41,0.00014307,0.6,0,-0.4,4.08771428571429E-06
0.42,0.00014337,0.6,0,-0.4,4.09628571428571E-06
0.43,0.00014365,0.6,0,-0.4,4.10428571428571E-06
0.44,0.00014392,0.6,0,-0.4,4.112E-06
0.45,0.00014427,0.6,0,-0.4,4.122E-06
0.46,0.00014454,0.6,0,-0.4,4.12971428571429E-06
0.47,0.0001448,0.6,0,-0.4,4.13714285714286E-06
0.48,0.00014505,0.6,0,-0.4,4.14428571428571E-06
0.49,0.00014531,0.6,0,-0.4,4.15171428571428E-06
0.5,0.00014552,0.6,0,-0.4,4.15771428571429E-06
0.51,0.00014579,0.6,0,-0.4,4.16542857142857E-06
0.52,0.00014603,0.6,0,-0.4,4.17228571428571E-06
0.53,0.00014628,0.6,0,-0.4,4.17942857142857E-06
0.54,0.0001465,0.6,0,-0.4,4.18571428571429E-06
0.55,0.00014677,0.6,0,-0.4,4.19342857142857E-06
0.56,0.00014704,0.6,0,-0.4,4.20114285714286E-06
0.57,0.00014726,0.6,0,-0.4,4.20742857142857E-06
0.58,0.0001475,0.6,0,-0.4,4.21428571428571E-06
0.59,0.00014774,0.6,0,-0.4,4.22114285714286E-06
0.6,0.00014795,0.6,0,-0.4,4.22714285714286E-06
0.61,0.00014818,0.6,0,-0.4,4.23371428571428E-06
0.62,0.00014842,0.6,0,-0.4,4.24057142857143E-06
0.63,0.00014865,0.6,0,-0.4,4.24714285714286E-06
0.64,0.00014888,0.6,0,-0.4,4.25371428571429E-06
0.65,0.00014912,0.6,0,-0.4,4.26057142857143E-06
0.66,0.00014929,0.6,0,-0.4,4.26542857142857E-06
0.67,0.00014952,0.6,0,-0.4,4.272E-06
0.68,0.00014973,0.6,0,-0.4,4.278E-06
0.69,0.00014997,0.6,0,-0.4,4.28485714285714E-06
0.7,0.00015019,0.6,0,-0.4,4.29114285714286E-06
0.71,0.00015038,0.6,0,-0.4,4.29657142857143E-06
0.72,0.0001506,0.6,0,-0.4,4.30285714285714E-06
0.73,0.00015079,0.6,0,-0.4,4.30828571428571E-06
0.74,0.00015099,0.6,0,-0.4,4.314E-06
0.75,0.00015125,0.6,0,-0.4,4.32142857142857E-06
0.76,0.00015143,0.6,0,-0.4,4.32657142857143E-06
0.77,0.00015165,0.6,0,-0.4,4.33285714285714E-06
0.78,0.00015181,0.6,0,-0.4,4.33742857142857E-06
0.79,0.00015201,0.6,0,-0.4,4.34314285714286E-06
0.8,0.00015221,0.6,0,-0.4,4.34885714285714E-06
0.81,0.0001524,0.6,0,-0.4,4.35428571428571E-06
0.82,0.00015257,0.6,0,-0.4,4.35914285714286E-06
0.83,0.00015275,0.6,0,-0.4,4.36428571428571E-06
0.84,0.00015294,0.6,0,-0.4,4.36971428571429E-06
0.85,0.00015313,0.6,0,-0.4,4.37514285714286E-06
0.86,0.00015333,0.6,0,-0.4,4.38085714285714E-06
0.87,0.00015347,0.6,0,-0.4,4.38485714285714E-06
0.88,0.00015368,0.6,0,-0.4,4.39085714285714E-06
0.89,0.0001538,0.6,0,-0.4,4.39428571428571E-06
0.9,0.00015404,0.6,0,-0.4,4.40114285714286E-06
0.91,0.00015427,0.6,0,-0.4,4.40771428571429E-06
0.92,0.00015442,0.6,0,-0.4,4.412E-06
0.93,0.00015458,0.6,0,-0.4,4.41657142857143E-06
0.94,0.00015477,0.6,0,-0.4,4.422E-06
0.95,0.00015493,0.6,0,-0.4,4.42657142857143E-06
0.96,0.00015508,0.6,0,-0.4,4.43085714285714E-06
0.97,0.0001553,0.6,0,-0.4,4.43714285714286E-06
0.98,0.00015547,0.6,0,-0.4,4.442E-06
0.99,0.00015563,0.6,0,-0.4,4.44657142857143E-06
1,0.0001558,0.6,0,-0.4,4.45142857142857E-06
1.01,0.00015597,0.6,0,-0.4,4.45628571428571E-06
1.02,0.00015615,0.6,0,-0.4,4.46142857142857E-06
1.03,0.0001563,0.6,0,-0.4,4.46571428571429E-06
1.04,0.00015646,0.6,0,-0.4,4.47028571428571E-06
1.05,0.00015663,0.6,0,-0.4,4.47514285714286E-06
1.06,0.00015681,0.6,0,-0.4,4.48028571428571E-06
1.07,0.00015696,0.6,0,-0.4,4.48457142857143E-06
1.08,0.00015712,0.6,0,-0.4,4.48914285714286E-06
1.09,0.00015728,0.6,0,-0.4,4.49371428571429E-06
1.1,0.00015743,0.6,0,-0.4,4.498E-06
1.11,0.00015758,0.6,0,-0.4,4.50228571428571E-06
1.12,0.00015775,0.6,0,-0.4,4.50714285714286E-06
1.13,0.00015794,0.6,0,-0.4,4.51257142857143E-06
1.14,0.00015809,0.6,0,-0.4,4.51685714285714E-06
1.15,0.00015821,0.6,0,-0.4,4.52028571428571E-06
1.16,0.00015835,0.6,0,-0.4,4.52428571428571E-06
1.17,0.00015852,0.6,0,-0.4,4.52914285714286E-06
1.18,0.00015864,0.6,0,-0.4,4.53257142857143E-06
1.19,0.00015885,0.6,0,-0.4,4.53857142857143E-06
1.2,0.00015903,0.6,0,-0.4,4.54371428571429E-06
1.21,0.00015913,0.6,0,-0.4,4.54657142857143E-06
1.22,0.00015932,0.6,0,-0.4,4.552E-06
1.23,0.00015946,0.6,0,-0.4,4.556E-06
1.24,0.00015961,0.6,0,-0.4,4.56028571428571E-06
1.25,0.00015975,0.6,0,-0.4,4.56428571428571E-06
1.26,0.00015992,0.6,0,-0.4,4.56914285714286E-06
1.27,0.00016001,0.6,0,-0.4,4.57171428571428E-06
1.28,0.00016015,0.6,0,-0.4,4.57571428571429E-06
1.29,0.00016034,0.6,0,-0.4,4.58114285714286E-06
1.3,0.00016048,0.6,0,-0.4,4.58514285714286E-06
1.31,0.00016063,0.6,0,-0.4,4.58942857142857E-06
1.32,0.00016082,0.6,0,-0.4,4.59485714285714E-06
1.33,0.00016091,0.6,0,-0.4,4.59742857142857E-06
1.34,0.00016107,0.6,0,-0.4,4.602E-06
1.35,0.00016122,0.6,0,-0.4,4.60628571428571E-06
1.36,0.00016137,0.6,0,-0.4,4.61057142857143E-06
1.37,0.00016149,0.6,0,-0.4,4.614E-06
1.38,0.00016163,0.6,0,-0.4,4.618E-06
1.39,0.00016176,0.6,0,-0.4,4.62171428571429E-06
1.4,0.00016199,0.6,0,-0.4,4.62828571428571E-06
1.41,0.00016208,0.6,0,-0.4,4.63085714285714E-06
1.42,0.00016227,0.6,0,-0.4,4.63628571428571E-06
1.43,0.00016238,0.6,0,-0.4,4.63942857142857E-06
1.44,0.00016257,0.6,0,-0.4,4.64485714285714E-06
1.45,0.00016272,0.6,0,-0.4,4.64914285714286E-06
1.46,0.00016288,0.6,0,-0.4,4.65371428571429E-06
1.47,0.00016313,0.6,0,-0.4,4.66085714285714E-06
1.48,0.00016327,0.6,0,-0.4,4.66485714285714E-06
1.49,0.00016352,0.6,0,-0.4,4.672E-06
1.5,0.00016371,0.6,0,-0.4,4.67742857142857E-06
1.51,0.00016391,0.6,0,-0.4,4.68314285714286E-06
1.52,0.00016414,0.6,0,-0.4,4.68971428571429E-06
1.53,0.00016446,0.6,0,-0.4,4.69885714285714E-06
1.54,0.00016477,0.6,0,-0.4,4.70771428571429E-06
1.55,0.00016512,0.6,0,-0.4,4.71771428571429E-06
1.56,0.00016553,0.6,0,-0.4,4.72942857142857E-06
1.57,0.00016598,0.6,0,-0.4,4.74228571428571E-06
1.58,0.00016644,0.6,0,-0.4,4.75542857142857E-06
1.59,0.00016708,0.6,0,-0.4,4.77371428571428E-06
1.6,0.00016776,0.6,0,-0.4,4.79314285714286E-06
1.61,0.00016856,0.6,0,-0.4,4.816E-06
1.62,0.00016953,0.6,0,-0.4,4.84371428571429E-06
1.63,0.00017067,0.6,0,-0.4,4.87628571428571E-06
1.64,0.00017207,0.6,0,-0.4,4.91628571428571E-06
1.65,0.00017358,0.6,0,-0.4,4.95942857142857E-06
1.66,0.0001755,0.6,0,-0.4,5.01428571428571E-06
1.67,0.00017781,0.6,0,-0.4,5.08028571428571E-06
1.68,0.00018039,0.6,0,-0.4,5.154E-06
1.69,0.00018367,0.6,0,-0.4,5.24771428571428E-06
1.7,0.00018761,0.6,0,-0.4,5.36028571428571E-06
1.71,0.00019216,0.6,0,-0.4,5.49028571428571E-06
1.72,0.00019779,0.6,0,-0.4,5.65114285714286E-06
1.73,0.00020427,0.6,0,-0.4,5.83628571428571E-06
1.74,0.00021141,0.6,0,-0.4,6.04028571428571E-06
1.75,0.00021944,0.6,0,-0.4,6.26971428571429E-06
1.76,0.00022822,0.6,0,-0.4,6.52057142857143E-06
1.77,0.00023788,0.6,0,-0.4,6.79657142857143E-06
1.78,0.00024849,0.6,0,-0.4,7.09971428571429E-06
1.79,0.00026016,0.6,0,-0.4,7.43314285714286E-06
1.8,0.00027283,0.6,0,-0.4,7.79514285714286E-06
0,1.0063E-08,0.9,0,-0.4,2.87514285714286E-10
0.01,6.6036E-05,0.9,0,-0.4,1.88674285714286E-06
0.02,0.00013115,0.9,0,-0.4,3.74714285714286E-06
0.03,0.0001933,0.9,0,-0.4,5.52285714285714E-06
0.04,0.00025441,0.9,0,-0.4,7.26885714285714E-06
0.05,0.00031317,0.9,0,-0.4,8.94771428571429E-06
0.06,0.00037043,0.9,0,-0.4,1.05837142857143E-05
0.07,0.00042452,0.9,0,-0.4,1.21291428571429E-05
0.08,0.00047715,0.9,0,-0.4,1.36328571428571E-05
0.09,0.00052796,0.9,0,-0.4,1.50845714285714E-05
0.1,0.00057633,0.9,0,-0.4,1.64665714285714E-05
0.11,0.000623,0.9,0,-0.4,1.78E-05
0.12,0.00066738,0.9,0,-0.4,1.9068E-05
0.13,0.00071,0.9,0,-0.4,2.02857142857143E-05
0.14,0.00075045,0.9,0,-0.4,2.14414285714286E-05
0.15,0.00078931,0.9,0,-0.4,2.25517142857143E-05
0.16,0.00082551,0.9,0,-0.4,2.3586E-05
0.17,0.00086002,0.9,0,-0.4,2.4572E-05
0.18,0.0008928,0.9,0,-0.4,2.55085714285714E-05
0.19,0.00092365,0.9,0,-0.4,2.639E-05
0.2,0.00095252,0.9,0,-0.4,2.72148571428571E-05
0.21,0.00097966,0.9,0,-0.4,2.79902857142857E-05
0.22,0.00100501,0.9,0,-0.4,2.87145714285714E-05
0.23,0.00102883,0.9,0,-0.4,2.93951428571429E-05
0.24,0.00105083,0.9,0,-0.4,3.00237142857143E-05
0.25,0.00107119,0.9,0,-0.4,3.06054285714286E-05
0.26,0.00109006,0.9,0,-0.4,3.11445714285714E-05
0.27,0.00110776,0.9,0,-0.4,3.16502857142857E-05
