Setup title,P-18-Id-Vd
Application test name,Id-Vd
Test date,3/8/2017
Test time,10:52:54
Device ID,
Vdrain,Idrain,Vgate,Vsource,Vsubs,IdrainPerWg
0,1.0656E-08,-0.6,0,0,3.04457142857143E-10
-0.01,-1.2585E-07,-0.6,0,0,-3.59571428571429E-09
-0.02,-2.5028E-07,-0.6,0,0,-7.15085714285714E-09
-0.03,-3.629E-07,-0.6,0,0,-1.03685714285714E-08
-0.04,-4.6163E-07,-0.6,0,0,-1.31894285714286E-08
-0.05,-5.5073E-07,-0.6,0,0,-1.57351428571429E-08
-0.06,-6.3505E-07,-0.6,0,0,-1.81442857142857E-08
-0.07,-7.0414E-07,-0.6,0,0,-2.01182857142857E-08
-0.08,-7.6346E-07,-0.6,0,0,-2.18131428571429E-08
-0.09,-8.2397E-07,-0.6,0,0,-2.3542E-08
-0.1,-8.6997E-07,-0.6,0,0,-2.48562857142857E-08
-0.11,-9.1198E-07,-0.6,0,0,-2.60565714285714E-08
-0.12,-9.5448E-07,-0.6,0,0,-2.72708571428571E-08
-0.13,-9.8637E-07,-0.6,0,0,-2.8182E-08
-0.14,-1.01378E-06,-0.6,0,0,-2.89651428571429E-08
-0.15,-1.04431E-06,-0.6,0,0,-2.98374285714286E-08
-0.16,-1.06762E-06,-0.6,0,0,-3.05034285714286E-08
-0.17,-1.08548E-06,-0.6,0,0,-3.10137142857143E-08
-0.18,-1.10771E-06,-0.6,0,0,-3.16488571428571E-08
-0.19,-1.12722E-06,-0.6,0,0,-3.22062857142857E-08
-0.2,-1.1405E-06,-0.6,0,0,-3.25857142857143E-08
-0.21,-1.1581E-06,-0.6,0,0,-3.30885714285714E-08
-0.22,-1.1751E-06,-0.6,0,0,-3.35742857142857E-08
-0.23,-1.1899E-06,-0.6,0,0,-3.39971428571429E-08
-0.24,-1.2027E-06,-0.6,0,0,-3.43628571428571E-08
-0.25,-1.215E-06,-0.6,0,0,-3.47142857142857E-08
-0.26,-1.2249E-06,-0.6,0,0,-3.49971428571429E-08
-0.27,-1.2353E-06,-0.6,0,0,-3.52942857142857E-08
-0.28,-1.2516E-06,-0.6,0,0,-3.576E-08
-0.29,-1.2599E-06,-0.6,0,0,-3.59971428571429E-08
-0.3,-1.2668E-06,-0.6,0,0,-3.61942857142857E-08
-0.31,-1.2786E-06,-0.6,0,0,-3.65314285714286E-08
-0.32,-1.2912E-06,-0.6,0,0,-3.68914285714286E-08
-0.33,-1.2999E-06,-0.6,0,0,-3.714E-08
-0.34,-1.311E-06,-0.6,0,0,-3.74571428571429E-08
-0.35,-1.3169E-06,-0.6,0,0,-3.76257142857143E-08
-0.36,-1.3288E-06,-0.6,0,0,-3.79657142857143E-08
-0.37,-1.3407E-06,-0.6,0,0,-3.83057142857143E-08
-0.38,-1.3481E-06,-0.6,0,0,-3.85171428571429E-08
-0.39,-1.353E-06,-0.6,0,0,-3.86571428571429E-08
-0.4,-1.3632E-06,-0.6,0,0,-3.89485714285714E-08
-0.41,-1.377E-06,-0.6,0,0,-3.93428571428571E-08
-0.42,-1.3819E-06,-0.6,0,0,-3.94828571428571E-08
-0.43,-1.3903E-06,-0.6,0,0,-3.97228571428571E-08
-0.44,-1.3963E-06,-0.6,0,0,-3.98942857142857E-08
-0.45,-1.4055E-06,-0.6,0,0,-4.01571428571429E-08
-0.46,-1.4178E-06,-0.6,0,0,-4.05085714285714E-08
-0.47,-1.4239E-06,-0.6,0,0,-4.06828571428571E-08
-0.48,-1.4283E-06,-0.6,0,0,-4.08085714285714E-08
-0.49,-1.4373E-06,-0.6,0,0,-4.10657142857143E-08
-0.5,-1.4475E-06,-0.6,0,0,-4.13571428571429E-08
-0.51,-1.4535E-06,-0.6,0,0,-4.15285714285714E-08
