Setup title,P-18-Id-Vd
Application test name,Id-Vd
Test date,3/8/2017
Test time,10:52:04
Device ID,
Vdrain,Idrain,Vgate,Vsource,Vsubs,IdrainPerWg
0,1.0295E-08,-0.6,0,0,2.94142857142857E-10
-0.01,-9.3E-10,-0.6,0,0,-2.65714285714286E-11
-0.02,-1.1E-09,-0.6,0,0,-3.14285714285714E-11
-0.03,-4.0063E-06,-0.6,0,0,-1.14465714285714E-07
-0.04,-5.5502E-06,-0.6,0,0,-1.58577142857143E-07
-0.05,-1.2E-09,-0.6,0,0,-3.42857142857143E-11
-0.06,-6.4347E-06,-0.6,0,0,-1.83848571428571E-07
-0.07,-9.5707E-06,-0.6,0,0,-2.73448571428571E-07
-0.08,-6.2E-09,-0.6,0,0,-1.77142857142857E-10
-0.09,-1.5E-09,-0.6,0,0,-4.28571428571429E-11
-0.1,-9.7028E-06,-0.6,0,0,-2.77222857142857E-07
-0.11,-1.3779E-05,-0.6,0,0,-3.93685714285714E-07
-0.12,-4.6187E-06,-0.6,0,0,-1.31962857142857E-07
-0.13,-1.7672E-05,-0.6,0,0,-5.04914285714286E-07
-0.14,2.1E-09,-0.6,0,0,6E-11
-0.15,-2.0189E-05,-0.6,0,0,-5.76828571428571E-07
-0.16,-1E-09,-0.6,0,0,-2.85714285714286E-11
-0.17,-1E-09,-0.6,0,0,-2.85714285714286E-11
-0.18,-4E-09,-0.6,0,0,-1.14285714285714E-10
-0.19,-2E-09,-0.6,0,0,-5.71428571428571E-11
-0.2,-2.6803E-05,-0.6,0,0,-7.658E-07
-0.21,-2.795E-05,-0.6,0,0,-7.98571428571428E-07
-0.22,-1.6E-08,-0.6,0,0,-4.57142857142857E-10
-0.23,-3E-09,-0.6,0,0,-8.57142857142857E-11
-0.24,-4E-09,-0.6,0,0,-1.14285714285714E-10
-0.25,-3E-09,-0.6,0,0,-8.57142857142857E-11
-0.26,-3E-09,-0.6,0,0,-8.57142857142857E-11
-0.27,-3.5214E-05,-0.6,0,0,-1.00611428571429E-06
-0.28,-3.6321E-05,-0.6,0,0,-1.03774285714286E-06
-0.29,-1E-09,-0.6,0,0,-2.85714285714286E-11
-0.3,-3.895E-05,-0.6,0,0,-1.11285714285714E-06
-0.31,-5.877E-07,-0.6,0,0,-1.67914285714286E-08
-0.32,-4.1004E-05,-0.6,0,0,-1.17154285714286E-06
-0.33,-1.287E-07,-0.6,0,0,-3.67714285714286E-09
-0.34,-3.6989E-05,-0.6,0,0,-1.05682857142857E-06
-0.35,-4E-09,-0.6,0,0,-1.14285714285714E-10
-0.36,-4E-09,-0.6,0,0,-1.14285714285714E-10
-0.37,-3E-09,-0.6,0,0,-8.57142857142857E-11
-0.38,-4.6772E-05,-0.6,0,0,-1.33634285714286E-06
-0.39,-4.948E-05,-0.6,0,0,-1.41371428571429E-06
-0.4,-2.87E-07,-0.6,0,0,-8.2E-09
-0.41,-5E-09,-0.6,0,0,-1.42857142857143E-10
