Setup title,P-18-Id-Vg
Application test name,Id-Vg
Test date,3/7/2017
Test time,17:35:35
Device ID,
Vgate,Idrain,Isubs,Vsource,Vdrain,Vsubs,IdrainPerWg,IsubsPerWg,gm,gmPerWg
0,-2.558E-11,-7.4E-11,0,-0.05,0,-2.558E-12,-7.4E-12,-1.9E-10,-1.9E-11
-0.01,-2.368E-11,-4.883E-11,0,-0.05,0,-2.368E-12,-4.883E-12,5.75E-11,5.75000000000001E-12
-0.02,-2.673E-11,-4.346E-11,0,-0.05,0,-2.673E-12,-4.346E-12,5.37E-10,5.37E-11
-0.03,-3.442E-11,-5.29E-11,0,-0.05,0,-3.442E-12,-5.29E-12,7.355E-10,7.355E-11
-0.04,-4.144E-11,-5.441E-11,0,-0.05,0,-4.144E-12,-5.441E-12,1.0255E-09,1.0255E-10
-0.05,-5.493E-11,-5.488E-11,0,-0.05,0,-5.493E-12,-5.488E-12,1.3875E-09,1.3875E-10
-0.06,-6.919E-11,-4.303E-11,0,-0.05,0,-6.919E-12,-4.303E-12,1.7535E-09,1.7535E-10
-0.07,-9E-11,-5.923E-11,0,-0.05,0,-9E-12,-5.923E-12,2.287E-09,2.287E-10
-0.08,-1.1493E-10,-4.063E-11,0,-0.05,0,-1.1493E-11,-4.063E-12,3.1105E-09,3.1105E-10
-0.09,-1.5221E-10,-4.291E-11,0,-0.05,0,-1.5221E-11,-4.291E-12,4.0485E-09,4.0485E-10
-0.1,-1.959E-10,-4.255E-11,0,-0.05,0,-1.959E-11,-4.255E-12,5.104E-09,5.104E-10
-0.11,-2.5429E-10,-5.386E-11,0,-0.05,0,-2.5429E-11,-5.386E-12,6.9815E-09,6.9815E-10
-0.12,-3.3553E-10,-3.473E-11,0,-0.05,0,-3.3553E-11,-3.473E-12,8.993E-09,8.993E-10
-0.13,-4.3415E-10,-3.896E-11,0,-0.05,0,-4.3415E-11,-3.896E-12,1.20365E-08,1.20365E-09
-0.14,-5.7626E-10,-5.306E-11,0,-0.05,0,-5.7626E-11,-5.306E-12,1.56315E-08,1.56315E-09
-0.15,-7.4678E-10,-5.968E-11,0,-0.05,0,-7.4678E-11,-5.968E-12,2.08045E-08,2.08045E-09
-0.16,-9.9235E-10,-1.041E-11,0,-0.05,0,-9.9235E-11,-1.041E-12,2.69145E-08,2.69145E-09
-0.17,-1.28507E-09,-7.468E-11,0,-0.05,0,-1.28507E-10,-7.468E-12,3.5641E-08,3.5641E-09
-0.18,-1.70517E-09,-4.826E-11,0,-0.05,0,-1.70517E-10,-4.826E-12,4.6095E-08,4.6095E-09
-0.19,-2.20697E-09,-6.44E-11,0,-0.05,0,-2.20697E-10,-6.44E-12,6.0903E-08,6.0903E-09
-0.2,-2.92323E-09,-6.652E-11,0,-0.05,0,-2.92323E-10,-6.652E-12,7.95894999999999E-08,7.95894999999999E-09
-0.21,-3.79876E-09,-4.367E-11,0,-0.05,0,-3.79876E-10,-4.367E-12,1.02475E-07,1.02475E-08
-0.22,-4.97273E-09,-5.286E-11,0,-0.05,0,-4.97273E-10,-5.286E-12,1.365935E-07,1.365935E-08
-0.23,-6.53063E-09,-5.792E-11,0,-0.05,0,-6.53063E-10,-5.792E-12,1.76191E-07,1.76191E-08
-0.24,-8.49655E-09,-2.883E-11,0,-0.05,0,-8.49655E-10,-2.883E-12,2.388635E-07,2.388635E-08
-0.25,-1.13079E-08,-4.998E-11,0,-0.05,0,-1.13079E-09,-4.998E-12,3.176575E-07,3.176575E-08
-0.26,-1.48497E-08,-3.852E-11,0,-0.05,0,-1.48497E-09,-3.852E-12,4.0367E-07,4.0367E-08
-0.27,-1.93813E-08,-4.446E-11,0,-0.05,0,-1.93813E-09,-4.446E-12,5.19389999999999E-07,5.19389999999999E-08
-0.28,-2.52375E-08,-4.131E-11,0,-0.05,0,-2.52375E-09,-4.131E-12,6.76084999999999E-07,6.76084999999999E-08
-0.29,-3.2903E-08,-4.387E-11,0,-0.05,0,-3.2903E-09,-4.387E-12,8.82055000000002E-07,8.82055000000002E-08
-0.3,-4.28786E-08,-4.955E-11,0,-0.05,0,-4.28786E-09,-4.955E-12,1.150685E-06,1.150685E-07
-0.31,-5.59167E-08,-3.453E-11,0,-0.05,0,-5.59167E-09,-3.453E-12,1.47477E-06,1.47477E-07
