Setup title,N-18-Id-Vd
Application test name,Id-Vd
Test date,3/8/2017
Test time,12:50:22
Device ID,
Vdrain,Idrain,Vgate,Vsource,Vsubs,IdrainPerWg
0,8.096E-10,0.6,0,-0.4,2.31314285714286E-11
0.01,-8.412E-10,0.6,0,-0.4,-2.40342857142857E-11
0.02,1.52E-09,0.6,0,-0.4,4.34285714285714E-11
0.03,-1.7669E-09,0.6,0,-0.4,-5.04828571428571E-11
0.04,1.7571E-09,0.6,0,-0.4,5.02028571428571E-11
0.05,-1.7249E-09,0.6,0,-0.4,-4.92828571428571E-11
0.06,1.7075E-09,0.6,0,-0.4,4.87857142857143E-11
0.07,-1.6152E-09,0.6,0,-0.4,-4.61485714285714E-11
0.08,1.7561E-09,0.6,0,-0.4,5.01742857142857E-11
0.09,-1.6005E-09,0.6,0,-0.4,-4.57285714285714E-11
0.1,1.7675E-09,0.6,0,-0.4,5.05E-11
0.11,-1.7278E-09,0.6,0,-0.4,-4.93657142857143E-11
0.12,1.7361E-09,0.6,0,-0.4,4.96028571428571E-11
0.13,-1.6807E-09,0.6,0,-0.4,-4.802E-11
0.14,1.6763E-09,0.6,0,-0.4,4.78942857142857E-11
0.15,-1.6069E-09,0.6,0,-0.4,-4.59114285714286E-11
0.16,1.8241E-09,0.6,0,-0.4,5.21171428571428E-11
0.17,-1.7539E-09,0.6,0,-0.4,-5.01114285714286E-11
0.18,1.7726E-09,0.6,0,-0.4,5.06457142857143E-11
0.19,-1.7148E-09,0.6,0,-0.4,-4.89942857142857E-11
0.2,1.7373E-09,0.6,0,-0.4,4.96371428571428E-11
0.21,-1.678E-09,0.6,0,-0.4,-4.79428571428571E-11
0.22,1.6549E-09,0.6,0,-0.4,4.72828571428571E-11
0.23,-1.7949E-09,0.6,0,-0.4,-5.12828571428571E-11
0.24,1.8081E-09,0.6,0,-0.4,5.166E-11
0.25,-1.725E-09,0.6,0,-0.4,-4.92857142857143E-11
0.26,1.7685E-09,0.6,0,-0.4,5.05285714285714E-11
0.27,-1.697E-09,0.6,0,-0.4,-4.84857142857143E-11
0.28,1.7288E-09,0.6,0,-0.4,4.93942857142857E-11
0.29,-1.695E-09,0.6,0,-0.4,-4.84285714285714E-11
0.3,1.7811E-09,0.6,0,-0.4,5.08885714285714E-11
0.31,-1.7101E-09,0.6,0,-0.4,-4.886E-11
0.32,1.6782E-09,0.6,0,-0.4,4.79485714285714E-11
0.33,-1.8017E-09,0.6,0,-0.4,-5.14771428571429E-11
0.34,1.838E-09,0.6,0,-0.4,5.25142857142857E-11
0.35,-1.7293E-09,0.6,0,-0.4,-4.94085714285714E-11
