Setup title,N-18-Id-Vd
Application test name,Id-Vd
Test date,3/1/2017
Test time,15:27:48
Device ID,
Vdrain,Idrain,Vgate,Vsource,Vsubs,IdrainPerWg
0,8.7182E-07,0.9,0,0,2.49091428571429E-08
0.01,5.1778E-05,0.9,0,0,1.47937142857143E-06
0.02,0.000101871,0.9,0,0,2.9106E-06
0.03,0.00015057,0.9,0,0,4.302E-06
0.04,0.00019716,0.9,0,0,5.63314285714286E-06
0.05,0.00024184,0.9,0,0,6.90971428571429E-06
0.06,0.00028486,0.9,0,0,8.13885714285714E-06
0.07,0.00032578,0.9,0,0,9.308E-06
0.08,0.00036466,0.9,0,0,1.04188571428571E-05
0.09,0.00040193,0.9,0,0,1.14837142857143E-05
0.1,0.00043692,0.9,0,0,1.24834285714286E-05
0.11,0.00047046,0.9,0,0,1.34417142857143E-05
0.12,0.00050173,0.9,0,0,1.43351428571429E-05
0.13,0.00053149,0.9,0,0,1.51854285714286E-05
0.14,0.00055938,0.9,0,0,1.59822857142857E-05
0.15,0.0005855,0.9,0,0,1.67285714285714E-05
0.16,0.0006099,0.9,0,0,1.74257142857143E-05
0.17,0.00063316,0.9,0,0,1.80902857142857E-05
0.18,0.00065448,0.9,0,0,1.86994285714286E-05
0.19,0.00067456,0.9,0,0,1.92731428571429E-05
0.2,0.00069358,0.9,0,0,1.98165714285714E-05
0.21,0.00071097,0.9,0,0,2.03134285714286E-05
0.22,0.00072724,0.9,0,0,2.07782857142857E-05
0.23,0.00074227,0.9,0,0,2.12077142857143E-05
0.24,0.00075648,0.9,0,0,2.16137142857143E-05
0.25,0.00076959,0.9,0,0,2.19882857142857E-05
0.26,0.00078196,0.9,0,0,2.23417142857143E-05
0.27,0.00079349,0.9,0,0,2.26711428571429E-05
0.28,0.00080404,0.9,0,0,2.29725714285714E-05
0.29,0.00081391,0.9,0,0,2.32545714285714E-05
0.3,0.00082351,0.9,0,0,2.35288571428571E-05
0.31,0.0008323,0.9,0,0,2.378E-05
0.32,0.00084021,0.9,0,0,2.4006E-05
0.33,0.00084811,0.9,0,0,2.42317142857143E-05
0.34,0.00085525,0.9,0,0,2.44357142857143E-05
0.35,0.00086212,0.9,0,0,2.4632E-05
0.36,0.00086876,0.9,0,0,2.48217142857143E-05
0.37,0.00087484,0.9,0,0,2.49954285714286E-05
0.38,0.00088084,0.9,0,0,2.51668571428571E-05
0.39,0.00088618,0.9,0,0,2.53194285714286E-05
0.4,0.00089181,0.9,0,0,2.54802857142857E-05
0.41,0.00089694,0.9,0,0,2.56268571428571E-05
0.42,0.00090174,0.9,0,0,2.5764E-05
0.43,0.00090667,0.9,0,0,2.59048571428571E-05
0.44,0.00091121,0.9,0,0,2.60345714285714E-05
0.45,0.00091567,0.9,0,0,2.6162E-05
0.46,0.00092007,0.9,0,0,2.62877142857143E-05
0.47,0.00092438,0.9,0,0,2.64108571428571E-05
0.48,0.0009281,0.9,0,0,2.65171428571429E-05
0.49,0.00093235,0.9,0,0,2.66385714285714E-05
0.5,0.00093639,0.9,0,0,2.6754E-05
0.51,0.00093987,0.9,0,0,2.68534285714286E-05
0.52,0.00094373,0.9,0,0,2.69637142857143E-05
0.53,0.00094736,0.9,0,0,2.70674285714286E-05
0.54,0.00095082,0.9,0,0,2.71662857142857E-05
0.55,0.00095458,0.9,0,0,2.72737142857143E-05
0.56,0.00095788,0.9,0,0,2.7368E-05
0.57,0.00096166,0.9,0,0,2.7476E-05
0.58,0.00096473,0.9,0,0,2.75637142857143E-05
0.59,0.00096829,0.9,0,0,2.76654285714286E-05
0.6,0.00097121,0.9,0,0,2.77488571428571E-05
0.61,0.0009746,0.9,0,0,2.78457142857143E-05
0.62,0.00097824,0.9,0,0,2.79497142857143E-05
0.63,0.00098112,0.9,0,0,2.8032E-05
0.64,0.00098462,0.9,0,0,2.8132E-05
0.65,0.00098734,0.9,0,0,2.82097142857143E-05
0.66,0.0009902,0.9,0,0,2.82914285714286E-05
0.67,0.00099313,0.9,0,0,2.83751428571429E-05
0.68,0.00099643,0.9,0,0,2.84694285714286E-05
0.69,0.00099906,0.9,0,0,2.85445714285714E-05
0.7,0.00100196,0.9,0,0,2.86274285714286E-05
0.71,0.00100535,0.9,0,0,2.87242857142857E-05
0.72,0.00100821,0.9,0,0,2.8806E-05
0.73,0.00101137,0.9,0,0,2.88962857142857E-05
0.74,0.00101411,0.9,0,0,2.89745714285714E-05
0.75,0.00101653,0.9,0,0,2.90437142857143E-05
0.76,0.00101957,0.9,0,0,2.91305714285714E-05
0.77,0.00102244,0.9,0,0,2.92125714285714E-05
0.78,0.00102515,0.9,0,0,2.929E-05
0.79,0.00102797,0.9,0,0,2.93705714285714E-05
0.8,0.00103076,0.9,0,0,2.94502857142857E-05
0.81,0.00103373,0.9,0,0,2.95351428571429E-05
0.82,0.00103603,0.9,0,0,2.96008571428571E-05
0.83,0.00103926,0.9,0,0,2.96931428571429E-05
0.84,0.00104167,0.9,0,0,2.9762E-05
0.85,0.00104445,0.9,0,0,2.98414285714286E-05
0.86,0.00104704,0.9,0,0,2.99154285714286E-05
0.87,0.00104986,0.9,0,0,2.9996E-05
0.88,0.00105238,0.9,0,0,3.0068E-05
0.89,0.00105495,0.9,0,0,3.01414285714286E-05
