
SetupTitle, Id-Vd
ApplicationTest, Id-Vd, Public
TestParameter, Name, Gate, Source, Drain, Subs, VgStart, VgStop, VgStep, Vs, VdStart, VdStop, VdStep, Vsubs, IgLimit, IsubsLimit, IntegTime, HoldTime, DelayTime, DrainMinRng
TestParameter, Value, SMU2:HR	HRSMU, SMU1:HR	HRSMU, SMU4:HR	HRSMU, SMU3:HR	HRSMU, 0.5, 1.8, 0.5, 0, 0, 1.8, 0.05, 0, 0.001, 0.01, SHORT, 0, 0, 1nA
DutParameter, Name, Polarity, Lg, Wg, Temp, IdMax
DutParameter, Value, 1, 5E-07, 3.5000000000000004E-05, 25, 0.01
MetaData, TestRecord.EntryPoint, true
MetaData, TestRecord.RecordTime, 02/28/2017 18:01:06
MetaData, TestRecord.TestTarget, 
MetaData, TestRecord.IterationIndex, 25
MetaData, TestRecord.Preservation, true
MetaData, TestRecord.Flag, 
MetaData, TestRecord.Remarks, 
MetaData, TestRecord.LinkKey, a381263f-aca8-49e1-aca1-e103b2314acd
AnalysisSetup, Analysis.Setup.Vector.Graph.Enabled, true
AnalysisSetup, Analysis.Setup.Vector.Graph.ActiveYAxis, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.LeftYAxis, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.RightYAxis, -1
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.Name, Vdrain
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.GroupName, 
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.Unit, V
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.Scale, Linear
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.Left, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.Right, 1.8
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.Name, Idrain
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.GroupName, 
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.Unit, A
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.Scale, Linear
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.Bottom, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.Top, 0.01
