Setup title,N-18-Id-Vd
Application test name,Id-Vd
Test date,3/3/2017
Test time,12:29:37
Device ID,
Vdrain,Idrain,Vgate,Vsource,Vsubs,IdrainPerWg
0,8.53E-10,0.6,0,-0.1,2.43714285714286E-11
0.01,1.7992E-07,0.6,0,-0.1,5.14057142857143E-09
0.02,3.3054E-07,0.6,0,-0.1,9.444E-09
0.03,4.5924E-07,0.6,0,-0.1,1.31211428571429E-08
0.04,5.6868E-07,0.6,0,-0.1,1.6248E-08
0.05,6.6101E-07,0.6,0,-0.1,1.8886E-08
0.06,7.3748E-07,0.6,0,-0.1,2.10708571428571E-08
0.07,8.0384E-07,0.6,0,-0.1,2.29668571428571E-08
0.08,8.5937E-07,0.6,0,-0.1,2.45534285714286E-08
0.09,9.0563E-07,0.6,0,-0.1,2.58751428571429E-08
0.1,9.4772E-07,0.6,0,-0.1,2.70777142857143E-08
0.11,9.8075E-07,0.6,0,-0.1,2.80214285714286E-08
0.12,1.01335E-06,0.6,0,-0.1,2.89528571428571E-08
0.13,1.0405E-06,0.6,0,-0.1,2.97285714285714E-08
0.14,1.06359E-06,0.6,0,-0.1,3.03882857142857E-08
0.15,1.08452E-06,0.6,0,-0.1,3.09862857142857E-08
0.16,1.10661E-06,0.6,0,-0.1,3.16174285714286E-08
0.17,1.12486E-06,0.6,0,-0.1,3.21388571428571E-08
0.18,1.14167E-06,0.6,0,-0.1,3.26191428571428E-08
0.19,1.1585E-06,0.6,0,-0.1,3.31E-08
0.2,1.1715E-06,0.6,0,-0.1,3.34714285714286E-08
0.21,1.189E-06,0.6,0,-0.1,3.39714285714286E-08
0.22,1.2045E-06,0.6,0,-0.1,3.44142857142857E-08
0.23,1.2157E-06,0.6,0,-0.1,3.47342857142857E-08
0.24,1.2322E-06,0.6,0,-0.1,3.52057142857143E-08
0.25,1.2441E-06,0.6,0,-0.1,3.55457142857143E-08
0.26,1.2587E-06,0.6,0,-0.1,3.59628571428571E-08
0.27,1.2699E-06,0.6,0,-0.1,3.62828571428571E-08
0.28,1.2842E-06,0.6,0,-0.1,3.66914285714286E-08
0.29,1.2923E-06,0.6,0,-0.1,3.69228571428571E-08
0.3,1.307E-06,0.6,0,-0.1,3.73428571428571E-08
0.31,1.3195E-06,0.6,0,-0.1,3.77E-08
0.32,1.3264E-06,0.6,0,-0.1,3.78971428571429E-08
0.33,1.3379E-06,0.6,0,-0.1,3.82257142857143E-08
0.34,1.3492E-06,0.6,0,-0.1,3.85485714285714E-08
0.35,1.3602E-06,0.6,0,-0.1,3.88628571428571E-08
0.36,1.3716E-06,0.6,0,-0.1,3.91885714285714E-08
0.37,1.3816E-06,0.6,0,-0.1,3.94742857142857E-08
0.38,1.3945E-06,0.6,0,-0.1,3.98428571428571E-08
0.39,1.4038E-06,0.6,0,-0.1,4.01085714285714E-08
0.4,1.4186E-06,0.6,0,-0.1,4.05314285714286E-08
0.41,1.4236E-06,0.6,0,-0.1,4.06742857142857E-08
0.42,1.4345E-06,0.6,0,-0.1,4.09857142857143E-08
0.43,1.4486E-06,0.6,0,-0.1,4.13885714285714E-08
0.44,1.4586E-06,0.6,0,-0.1,4.16742857142857E-08
0.45,1.4682E-06,0.6,0,-0.1,4.19485714285714E-08
0.46,1.479E-06,0.6,0,-0.1,4.22571428571429E-08
0.47,1.4895E-06,0.6,0,-0.1,4.25571428571429E-08
0.48,1.4974E-06,0.6,0,-0.1,4.27828571428571E-08
0.49,1.5102E-06,0.6,0,-0.1,4.31485714285714E-08
0.5,1.5183E-06,0.6,0,-0.1,4.338E-08
0.51,1.5275E-06,0.6,0,-0.1,4.36428571428571E-08
0.52,1.5379E-06,0.6,0,-0.1,4.394E-08
0.53,1.5511E-06,0.6,0,-0.1,4.43171428571429E-08
0.54,1.5617E-06,0.6,0,-0.1,4.462E-08
0.55,1.5722E-06,0.6,0,-0.1,4.492E-08
0.56,1.5831E-06,0.6,0,-0.1,4.52314285714286E-08
0.57,1.5968E-06,0.6,0,-0.1,4.56228571428571E-08
0.58,1.6023E-06,0.6,0,-0.1,4.578E-08
0.59,1.6181E-06,0.6,0,-0.1,4.62314285714286E-08
0.6,1.6212E-06,0.6,0,-0.1,4.632E-08
0.61,1.6331E-06,0.6,0,-0.1,4.666E-08
0.62,1.6495E-06,0.6,0,-0.1,4.71285714285714E-08
0.63,1.6576E-06,0.6,0,-0.1,4.736E-08
0.64,1.667E-06,0.6,0,-0.1,4.76285714285714E-08
0.65,1.6764E-06,0.6,0,-0.1,4.78971428571428E-08
0.66,1.6884E-06,0.6,0,-0.1,4.824E-08
0.67,1.6989E-06,0.6,0,-0.1,4.854E-08
0.68,1.7113E-06,0.6,0,-0.1,4.88942857142857E-08
0.69,1.7231E-06,0.6,0,-0.1,4.92314285714286E-08
0.7,1.7408E-06,0.6,0,-0.1,4.97371428571429E-08
0.71,1.7546E-06,0.6,0,-0.1,5.01314285714286E-08
0.72,1.7761E-06,0.6,0,-0.1,5.07457142857143E-08
0.73,1.7933E-06,0.6,0,-0.1,5.12371428571429E-08
0.74,1.826E-06,0.6,0,-0.1,5.21714285714286E-08
0.75,1.8568E-06,0.6,0,-0.1,5.30514285714286E-08
0.76,1.895E-06,0.6,0,-0.1,5.41428571428571E-08
0.77,1.9497E-06,0.6,0,-0.1,5.57057142857143E-08
0.78,2.0308E-06,0.6,0,-0.1,5.80228571428571E-08
0.79,2.1381E-06,0.6,0,-0.1,6.10885714285714E-08
0.8,2.2721E-06,0.6,0,-0.1,6.49171428571429E-08
0.81,2.4471E-06,0.6,0,-0.1,6.99171428571429E-08
0.82,2.675E-06,0.6,0,-0.1,7.64285714285714E-08
0.83,2.9586E-06,0.6,0,-0.1,8.45314285714286E-08
0.84,3.2865E-06,0.6,0,-0.1,9.39E-08
0.85,3.6419E-06,0.6,0,-0.1,1.04054285714286E-07
0.86,4.0098E-06,0.6,0,-0.1,1.14565714285714E-07
0.87,4.3237E-06,0.6,0,-0.1,1.23534285714286E-07
0.88,4.535E-06,0.6,0,-0.1,1.29571428571429E-07
0.89,4.8598E-06,0.6,0,-0.1,1.38851428571429E-07
0.9,5.1012E-06,0.6,0,-0.1,1.45748571428571E-07
0.91,5.0784E-06,0.6,0,-0.1,1.45097142857143E-07
0.92,5.0163E-06,0.6,0,-0.1,1.43322857142857E-07
0.93,5.1503E-06,0.6,0,-0.1,1.47151428571429E-07
0.94,5.2624E-06,0.6,0,-0.1,1.50354285714286E-07
0.95,5.334E-06,0.6,0,-0.1,1.524E-07
0.96,5.3792E-06,0.6,0,-0.1,1.53691428571429E-07
0.97,5.4484E-06,0.6,0,-0.1,1.55668571428571E-07
0.98,5.5398E-06,0.6,0,-0.1,1.5828E-07
0.99,5.6508E-06,0.6,0,-0.1,1.61451428571429E-07
1,5.7503E-06,0.6,0,-0.1,1.64294285714286E-07
1.01,5.5156E-06,0.6,0,-0.1,1.57588571428571E-07
1.02,5.6765E-06,0.6,0,-0.1,1.62185714285714E-07
1.03,5.7906E-06,0.6,0,-0.1,1.65445714285714E-07
1.04,5.8482E-06,0.6,0,-0.1,1.67091428571429E-07
1.05,5.6792E-06,0.6,0,-0.1,1.62262857142857E-07
1.06,5.7969E-06,0.6,0,-0.1,1.65625714285714E-07
1.07,5.9016E-06,0.6,0,-0.1,1.68617142857143E-07
1.08,5.6493E-06,0.6,0,-0.1,1.61408571428571E-07
1.09,5.7744E-06,0.6,0,-0.1,1.64982857142857E-07
1.1,5.8713E-06,0.6,0,-0.1,1.67751428571429E-07
1.11,5.964E-06,0.6,0,-0.1,1.704E-07
1.12,5.6258E-06,0.6,0,-0.1,1.60737142857143E-07
1.13,5.5741E-06,0.6,0,-0.1,1.5926E-07
1.14,5.6553E-06,0.6,0,-0.1,1.6158E-07
1.15,5.7186E-06,0.6,0,-0.1,1.63388571428571E-07
1.16,5.7971E-06,0.6,0,-0.1,1.65631428571429E-07
1.17,5.9195E-06,0.6,0,-0.1,1.69128571428571E-07
1.18,5.9491E-06,0.6,0,-0.1,1.69974285714286E-07
1.19,5.9429E-06,0.6,0,-0.1,1.69797142857143E-07
1.2,6.0355E-06,0.6,0,-0.1,1.72442857142857E-07
1.21,6.1221E-06,0.6,0,-0.1,1.74917142857143E-07
1.22,5.9102E-06,0.6,0,-0.1,1.68862857142857E-07
1.23,6.0382E-06,0.6,0,-0.1,1.7252E-07
1.24,6.1244E-06,0.6,0,-0.1,1.74982857142857E-07
1.25,6.1832E-06,0.6,0,-0.1,1.76662857142857E-07
1.26,5.7965E-06,0.6,0,-0.1,1.65614285714286E-07
1.27,5.86E-06,0.6,0,-0.1,1.67428571428571E-07
1.28,5.8971E-06,0.6,0,-0.1,1.68488571428571E-07
1.29,5.9663E-06,0.6,0,-0.1,1.70465714285714E-07
1.3,5.968E-06,0.6,0,-0.1,1.70514285714286E-07
1.31,6.0217E-06,0.6,0,-0.1,1.72048571428571E-07
1.32,6.0318E-06,0.6,0,-0.1,1.72337142857143E-07
1.33,6.0607E-06,0.6,0,-0.1,1.73162857142857E-07
1.34,6.072E-06,0.6,0,-0.1,1.73485714285714E-07
1.35,6.1146E-06,0.6,0,-0.1,1.74702857142857E-07
1.36,6.1359E-06,0.6,0,-0.1,1.75311428571429E-07
1.37,6.198E-06,0.6,0,-0.1,1.77085714285714E-07
1.38,6.304E-06,0.6,0,-0.1,1.80114285714286E-07
1.39,6.3755E-06,0.6,0,-0.1,1.82157142857143E-07
1.4,6.4381E-06,0.6,0,-0.1,1.83945714285714E-07
1.41,6.477E-06,0.6,0,-0.1,1.85057142857143E-07
1.42,6.5173E-06,0.6,0,-0.1,1.86208571428571E-07
1.43,6.4561E-06,0.6,0,-0.1,1.8446E-07
1.44,6.5012E-06,0.6,0,-0.1,1.85748571428571E-07
1.45,6.548E-06,0.6,0,-0.1,1.87085714285714E-07
1.46,6.5027E-06,0.6,0,-0.1,1.85791428571429E-07
1.47,6.3805E-06,0.6,0,-0.1,1.823E-07
1.48,6.0451E-06,0.6,0,-0.1,1.72717142857143E-07
1.49,6.1241E-06,0.6,0,-0.1,1.74974285714286E-07
1.5,6.1942E-06,0.6,0,-0.1,1.76977142857143E-07
1.51,6.3052E-06,0.6,0,-0.1,1.80148571428571E-07
1.52,6.4393E-06,0.6,0,-0.1,1.8398E-07
1.53,6.5204E-06,0.6,0,-0.1,1.86297142857143E-07
1.54,6.5985E-06,0.6,0,-0.1,1.88528571428571E-07
1.55,6.6579E-06,0.6,0,-0.1,1.90225714285714E-07
1.56,6.7249E-06,0.6,0,-0.1,1.9214E-07
1.57,6.6062E-06,0.6,0,-0.1,1.88748571428571E-07
1.58,6.6747E-06,0.6,0,-0.1,1.90705714285714E-07
1.59,6.7206E-06,0.6,0,-0.1,1.92017142857143E-07
1.6,6.689E-06,0.6,0,-0.1,1.91114285714286E-07
1.61,6.2864E-06,0.6,0,-0.1,1.79611428571429E-07
1.62,6.2852E-06,0.6,0,-0.1,1.79577142857143E-07
1.63,6.3621E-06,0.6,0,-0.1,1.81774285714286E-07
1.64,6.4497E-06,0.6,0,-0.1,1.84277142857143E-07
1.65,6.5342E-06,0.6,0,-0.1,1.86691428571429E-07
1.66,6.6663E-06,0.6,0,-0.1,1.90465714285714E-07
1.67,6.7671E-06,0.6,0,-0.1,1.93345714285714E-07
