Setup title,N-18-Id-Vg
Application test name,Id-Vg
Test date,3/3/2017
Test time,12:45:27
Device ID,
Vgate,Idrain,Isubs,Vsource,Vdrain,Vsubs,IdrainPerWg,IsubsPerWg,gm,gmPerWg
0,3.064E-10,-1.468E-10,0,0.01,0,3.064E-11,-1.468E-11,4.86000000000033E-11,4.8600000000002E-12
0.01,3.06886E-10,-6.012E-10,0,0.01,0,3.06886E-11,-6.012E-11,-6.88999999999991E-11,-6.8900000000001E-12
0.02,3.05022E-10,-9.108E-10,0,0.01,0,3.05022E-11,-9.108E-11,-6.94500000000012E-11,-6.94500000000019E-12
0.03,3.05497E-10,-1.1315E-09,0,0.01,0,3.05497E-11,-1.1315E-10,3.02000000000006E-11,3.02000000000012E-12
0.04,3.05626E-10,-1.3162E-09,0,0.01,0,3.05626E-11,-1.3162E-10,-1.085E-11,-1.08500000000013E-12
0.05,3.0528E-10,-1.3946E-09,0,0.01,0,3.0528E-11,-1.3946E-10,4.19999999999984E-12,4.20000000000113E-13
0.06,3.0571E-10,-1.4338E-09,0,0.01,0,3.0571E-11,-1.4338E-10,2.94500000000019E-11,2.94500000000045E-12
0.07,3.05869E-10,-1.5088E-09,0,0.01,0,3.05869E-11,-1.5088E-10,3.375E-11,3.37499999999987E-12
0.08,3.06385E-10,-1.5395E-09,0,0.01,0,3.06385E-11,-1.5395E-10,7.41500000000002E-11,7.41500000000008E-12
0.09,3.07352E-10,-1.5558E-09,0,0.01,0,3.07352E-11,-1.5558E-10,9.50500000000011E-11,9.50500000000037E-12
0.1,3.08286E-10,-1.5998E-09,0,0.01,0,3.08286E-11,-1.5998E-10,5.44499999999993E-11,5.4449999999996E-12
0.11,3.08441E-10,-1.5937E-09,0,0.01,0,3.08441E-11,-1.5937E-10,-1.03000000000005E-11,-1.03000000000037E-12
0.12,3.0808E-10,-1.6047E-09,0,0.01,0,3.0808E-11,-1.6047E-10,-4.05500000000015E-11,-4.05500000000015E-12
0.13,3.0763E-10,-1.6268E-09,0,0.01,0,3.0763E-11,-1.6268E-10,1.67999999999994E-11,1.68000000000013E-12
0.14,3.08416E-10,-1.6276E-09,0,0.01,0,3.08416E-11,-1.6276E-10,8.94000000000018E-11,8.94000000000057E-12
0.15,3.09418E-10,-1.6315E-09,0,0.01,0,3.09418E-11,-1.6315E-10,1.32050000000001E-10,1.32050000000001E-11
0.16,3.11057E-10,-1.6569E-09,0,0.01,0,3.11057E-11,-1.6569E-10,1.40299999999999E-10,1.40299999999998E-11
0.17,3.12224E-10,-1.6406E-09,0,0.01,0,3.12224E-11,-1.6406E-10,1.39149999999999E-10,1.39149999999999E-11
0.18,3.1384E-10,-1.6445E-09,0,0.01,0,3.1384E-11,-1.6445E-10,2.1005E-10,2.10050000000002E-11
0.19,3.16425E-10,-1.6468E-09,0,0.01,0,3.16425E-11,-1.6468E-10,3.1035E-10,3.10349999999999E-11
0.2,3.20047E-10,-1.6642E-09,0,0.01,0,3.20047E-11,-1.6642E-10,3.70549999999999E-10,3.70549999999998E-11
0.21,3.23836E-10,-1.6772E-09,0,0.01,0,3.23836E-11,-1.6772E-10,2.93250000000001E-10,2.93250000000002E-11
0.22,3.25912E-10,-1.6795E-09,0,0.01,0,3.25912E-11,-1.6795E-10,5.26000000000002E-10,5.26000000000002E-11
0.23,3.34356E-10,-1.6831E-09,0,0.01,0,3.34356E-11,-1.6831E-10,9.0345E-10,9.03449999999995E-11
0.24,3.43981E-10,-1.6761E-09,0,0.01,0,3.43981E-11,-1.6761E-10,1.14055E-09,1.14055E-10
0.25,3.57167E-10,-1.6945E-09,0,0.01,0,3.57167E-11,-1.6945E-10,1.52495E-09,1.52495E-10
0.26,3.7448E-10,-1.6894E-09,0,0.01,0,3.7448E-11,-1.6894E-10,2.0567E-09,2.05669999999999E-10
0.27,3.98301E-10,-1.6864E-09,0,0.01,0,3.98301E-11,-1.6864E-10,2.7672E-09,2.7672E-10
0.28,4.29824E-10,-1.699E-09,0,0.01,0,4.29824E-11,-1.699E-10,3.65805E-09,3.65805E-10
0.29,4.71462E-10,-1.7103E-09,0,0.01,0,4.71462E-11,-1.7103E-10,5.17330000000001E-09,5.17330000000001E-10
0.3,5.3329E-10,-1.6997E-09,0,0.01,0,5.3329E-11,-1.6997E-10,6.58940000000001E-09,6.58940000000001E-10
0.31,6.0325E-10,-1.7211E-09,0,0.01,0,6.0325E-11,-1.7211E-10,8.93399999999999E-09,8.93399999999999E-10
0.32,7.1197E-10,-1.7083E-09,0,0.01,0,7.1197E-11,-1.7083E-10,1.2274E-08,1.2274E-09
0.33,8.4873E-10,-1.7213E-09,0,0.01,0,8.4873E-11,-1.7213E-10,1.59785E-08,1.59785E-09
0.34,1.03154E-09,-1.7306E-09,0,0.01,0,1.03154E-10,-1.7306E-10,2.1227E-08,2.1227E-09
0.35,1.27327E-09,-1.727E-09,0,0.01,0,1.27327E-10,-1.727E-10,2.81415E-08,2.81415E-09
0.36,1.59437E-09,-1.7317E-09,0,0.01,0,1.59437E-10,-1.7317E-10,3.59580000000001E-08,3.5958E-09
0.37,1.99243E-09,-1.7563E-09,0,0.01,0,1.99243E-10,-1.7563E-10,4.77190000000001E-08,4.77190000000001E-09
0.38,2.54875E-09,-1.7469E-09,0,0.01,0,2.54875E-10,-1.7469E-10,6.40364999999999E-08,6.40364999999999E-09
0.39,3.27316E-09,-1.75E-09,0,0.01,0,3.27316E-10,-1.75E-10,8.31764999999999E-08,8.31764999999999E-09
0.4,4.21228E-09,-1.752E-09,0,0.01,0,4.21228E-10,-1.752E-10,1.09111E-07,1.09111E-08
0.41,5.45538E-09,-1.7492E-09,0,0.01,0,5.45538E-10,-1.7492E-10,1.40062E-07,1.40062E-08
0.42,7.01352E-09,-1.7783E-09,0,0.01,0,7.01352E-10,-1.7783E-10,1.798375E-07,1.798375E-08
0.43,9.05213E-09,-1.7666E-09,0,0.01,0,9.05213E-10,-1.7666E-10,2.39229E-07,2.39229E-08
0.44,1.17981E-08,-1.7633E-09,0,0.01,0,1.17981E-09,-1.7633E-10,3.009485E-07,3.009485E-08
0.45,1.50711E-08,-1.7743E-09,0,0.01,0,1.50711E-09,-1.7743E-10,3.6433E-07,3.6433E-08
0.46,1.90847E-08,-1.7635E-09,0,0.01,0,1.90847E-09,-1.7635E-10,4.50185E-07,4.50185E-08
0.47,2.40748E-08,-1.7973E-09,0,0.01,0,2.40748E-09,-1.7973E-10,5.48129999999999E-07,5.48129999999999E-08
0.48,3.00473E-08,-1.7969E-09,0,0.01,0,3.00473E-09,-1.7969E-10,6.60729999999999E-07,6.60729999999999E-08
0.49,3.72894E-08,-1.7869E-09,0,0.01,0,3.72894E-09,-1.7869E-10,7.88910000000002E-07,7.88910000000002E-08
0.5,4.58255E-08,-1.8083E-09,0,0.01,0,4.58255E-09,-1.8083E-10,9.32415000000001E-07,9.32415000000001E-08
0.51,5.59377E-08,-1.7958E-09,0,0.01,0,5.59377E-09,-1.7958E-10,1.08436E-06,1.08436E-07
0.52,6.75127E-08,-1.7852E-09,0,0.01,0,6.75127E-09,-1.7852E-10,1.247645E-06,1.247645E-07
0.53,8.08906E-08,-1.822E-09,0,0.01,0,8.08906E-09,-1.822E-10,1.422855E-06,1.422855E-07
0.54,9.59698E-08,-1.7984E-09,0,0.01,0,9.59698E-09,-1.7984E-10,1.60424E-06,1.60424E-07
0.55,1.129754E-07,-1.8008E-09,0,0.01,0,1.129754E-08,-1.8008E-10,1.79101E-06,1.79101E-07
0.56,1.3179E-07,-1.802E-09,0,0.01,0,1.3179E-08,-1.802E-10,1.77538E-06,1.77538E-07
0.57,1.48483E-07,-1.8309E-09,0,0.01,0,1.48483E-08,-1.8309E-10,1.8864E-06,1.8864E-07
0.58,1.69518E-07,-1.8194E-09,0,0.01,0,1.69518E-08,-1.8194E-10,2.311E-06,2.311E-07
0.59,1.94703E-07,-1.8048E-09,0,0.01,0,1.94703E-08,-1.8048E-10,2.79295000000001E-06,2.79295000000001E-07
0.6,2.25377E-07,-1.8389E-09,0,0.01,0,2.25377E-08,-1.8389E-10,2.92185000000001E-06,2.92185000000001E-07
0.61,2.5314E-07,-1.8274E-09,0,0.01,0,2.5314E-08,-1.8274E-10,2.5063E-06,2.5063E-07
0.62,2.75503E-07,-1.8212E-09,0,0.01,0,2.75503E-08,-1.8212E-10,2.7329E-06,2.7329E-07
0.63,3.07798E-07,-1.8653E-09,0,0.01,0,3.07798E-08,-1.8653E-10,3.1482E-06,3.1482E-07
0.64,3.38467E-07,-1.8412E-09,0,0.01,0,3.38467E-08,-1.8412E-10,3.1822E-06,3.1822E-07
0.65,3.71442E-07,-1.8252E-09,0,0.01,0,3.71442E-08,-1.8252E-10,3.3978E-06,3.39779999999999E-07
0.66,4.06423E-07,-1.8729E-09,0,0.01,0,4.06423E-08,-1.8729E-10,3.5274E-06,3.52739999999999E-07
0.67,4.4199E-07,-1.8502E-09,0,0.01,0,4.4199E-08,-1.8502E-10,3.62325E-06,3.62325E-07
0.68,4.78888E-07,-1.8358E-09,0,0.01,0,4.78888E-08,-1.8358E-10,3.71165E-06,3.71165E-07
0.69,5.16223E-07,-1.8633E-09,0,0.01,0,5.16223E-08,-1.8633E-10,3.744E-06,3.74399999999999E-07
0.7,5.53768E-07,-1.8629E-09,0,0.01,0,5.53768E-08,-1.8629E-10,3.91224999999999E-06,3.91224999999999E-07
0.71,5.94468E-07,-1.842E-09,0,0.01,0,5.94468E-08,-1.842E-10,3.9504E-06,3.95039999999999E-07
0.72,6.32776E-07,-1.849E-09,0,0.01,0,6.32776E-08,-1.849E-10,3.93860000000002E-06,3.93860000000002E-07
0.73,6.7324E-07,-1.8599E-09,0,0.01,0,6.7324E-08,-1.8599E-10,4.15865000000002E-06,4.15865000000002E-07
0.74,7.15949E-07,-1.8806E-09,0,0.01,0,7.15949E-08,-1.8806E-10,4.2336E-06,4.2336E-07
0.75,7.57912E-07,-1.8703E-09,0,0.01,0,7.57912E-08,-1.8703E-10,4.14744999999999E-06,4.14745E-07
0.76,7.98898E-07,-1.8607E-09,0,0.01,0,7.98898E-08,-1.8607E-10,4.20965E-06,4.20964999999999E-07
0.77,8.42105E-07,-1.8947E-09,0,0.01,0,8.42105E-08,-1.8947E-10,4.01465E-06,4.01465E-07
0.78,8.79191E-07,-1.8796E-09,0,0.01,0,8.79191E-08,-1.8796E-10,4.22025E-06,4.22025E-07
0.79,9.2651E-07,-1.8818E-09,0,0.01,0,9.2651E-08,-1.8818E-10,4.5349E-06,4.5349E-07
0.8,9.69889E-07,-1.8975E-09,0,0.01,0,9.69889E-08,-1.8975E-10,4.2772E-06,4.27719999999999E-07
0.81,1.012054E-06,-1.8946E-09,0,0.01,0,1.012054E-07,-1.8946E-10,4.2335E-06,4.23349999999999E-07
0.82,1.054559E-06,-1.8893E-09,0,0.01,0,1.054559E-07,-1.8893E-10,4.45314999999999E-06,4.45315E-07
0.83,1.101117E-06,-1.8803E-09,0,0.01,0,1.101117E-07,-1.8803E-10,4.31884999999999E-06,4.31884999999999E-07
0.84,1.140936E-06,-1.8918E-09,0,0.01,0,1.140936E-07,-1.8918E-10,4.32465E-06,4.32465E-07
0.85,1.18761E-06,-1.8955E-09,0,0.01,0,1.18761E-07,-1.8955E-10,4.29620000000004E-06,4.29620000000005E-07
0.86,1.22686E-06,-1.8943E-09,0,0.01,0,1.22686E-07,-1.8943E-10,4.39200000000002E-06,4.39200000000003E-07
0.87,1.27545E-06,-1.9038E-09,0,0.01,0,1.27545E-07,-1.9038E-10,4.32399999999999E-06,4.32399999999999E-07
