Setup title,N-18-Id-Vd
Application test name,Id-Vd
Test date,3/3/2017
Test time,17:49:21
Device ID,
Vdrain,Idrain,Vgate,Vsource,Vsubs,IdrainPerWg
0,1.0354E-09,0,0,-0.3,2.95828571428571E-11
0.01,1.6335E-09,0,0,-0.3,4.66714285714286E-11
0.02,1.8328E-09,0,0,-0.3,5.23657142857143E-11
0.03,1.552E-09,0,0,-0.3,4.43428571428571E-11
0.04,1.9894E-09,0,0,-0.3,5.684E-11
0.05,1.3341E-09,0,0,-0.3,3.81171428571429E-11
0.06,2.0528E-09,0,0,-0.3,5.86514285714286E-11
0.07,9.952E-10,0,0,-0.3,2.84342857142857E-11
0.08,1.9603E-09,0,0,-0.3,5.60085714285714E-11
0.09,1.13E-09,0,0,-0.3,3.22857142857143E-11
0.1,1.5207E-09,0,0,-0.3,4.34485714285714E-11
0.11,2.0313E-09,0,0,-0.3,5.80371428571428E-11
0.12,9.626E-10,0,0,-0.3,2.75028571428571E-11
0.13,1.9969E-09,0,0,-0.3,5.70542857142857E-11
0.14,1.0931E-09,0,0,-0.3,3.12314285714286E-11
0.15,1.7473E-09,0,0,-0.3,4.99228571428571E-11
0.16,1.7284E-09,0,0,-0.3,4.93828571428571E-11
0.17,1.26E-09,0,0,-0.3,3.6E-11
0.18,2.1239E-09,0,0,-0.3,6.06828571428571E-11
0.19,1.0599E-09,0,0,-0.3,3.02828571428571E-11
0.2,1.9869E-09,0,0,-0.3,5.67685714285714E-11
0.21,1.1988E-09,0,0,-0.3,3.42514285714286E-11
0.22,1.6526E-09,0,0,-0.3,4.72171428571429E-11
0.23,2.0556E-09,0,0,-0.3,5.87314285714286E-11
0.24,9.901E-10,0,0,-0.3,2.82885714285714E-11
0.25,2.0563E-09,0,0,-0.3,5.87514285714286E-11
0.26,1.1421E-09,0,0,-0.3,3.26314285714286E-11
0.27,1.825E-09,0,0,-0.3,5.21428571428571E-11
0.28,1.6549E-09,0,0,-0.3,4.72828571428571E-11
0.29,1.0484E-09,0,0,-0.3,2.99542857142857E-11
0.3,2.1242E-09,0,0,-0.3,6.06914285714286E-11
0.31,1.1437E-09,0,0,-0.3,3.26771428571429E-11
0.32,2.0248E-09,0,0,-0.3,5.78514285714286E-11
0.33,1.4038E-09,0,0,-0.3,4.01085714285714E-11
0.34,1.3347E-09,0,0,-0.3,3.81342857142857E-11
0.35,2.1751E-09,0,0,-0.3,6.21457142857143E-11
0.36,1.1174E-09,0,0,-0.3,3.19257142857143E-11
0.37,2.0517E-09,0,0,-0.3,5.862E-11
0.38,1.2344E-09,0,0,-0.3,3.52685714285714E-11
0.39,1.7362E-09,0,0,-0.3,4.96057142857143E-11
0.4,2.0725E-09,0,0,-0.3,5.92142857142857E-11
0.41,1.0446E-09,0,0,-0.3,2.98457142857143E-11
0.42,2.1168E-09,0,0,-0.3,6.048E-11
0.43,1.2061E-09,0,0,-0.3,3.446E-11
0.44,1.9216E-09,0,0,-0.3,5.49028571428571E-11
0.45,1.6152E-09,0,0,-0.3,4.61485714285714E-11
0.46,1.1237E-09,0,0,-0.3,3.21057142857143E-11
0.47,2.204E-09,0,0,-0.3,6.29714285714286E-11
0.48,1.1867E-09,0,0,-0.3,3.39057142857143E-11
0.49,2.0842E-09,0,0,-0.3,5.95485714285714E-11
0.5,1.4481E-09,0,0,-0.3,4.13742857142857E-11
0.51,1.4272E-09,0,0,-0.3,4.07771428571429E-11
0.52,2.2304E-09,0,0,-0.3,6.37257142857143E-11
0.53,1.172E-09,0,0,-0.3,3.34857142857143E-11
0.54,2.1194E-09,0,0,-0.3,6.05542857142857E-11
0.55,1.2646E-09,0,0,-0.3,3.61314285714286E-11
0.56,1.8773E-09,0,0,-0.3,5.36371428571429E-11
0.57,2.0925E-09,0,0,-0.3,5.97857142857143E-11
0.58,1.1096E-09,0,0,-0.3,3.17028571428571E-11
0.59,2.164E-09,0,0,-0.3,6.18285714285714E-11
0.6,1.2531E-09,0,0,-0.3,3.58028571428571E-11
0.61,1.9225E-09,0,0,-0.3,5.49285714285714E-11
0.62,1.7782E-09,0,0,-0.3,5.08057142857143E-11
0.63,1.1499E-09,0,0,-0.3,3.28542857142857E-11
0.64,2.2108E-09,0,0,-0.3,6.31657142857143E-11
0.65,1.2647E-09,0,0,-0.3,3.61342857142857E-11
0.66,2.1135E-09,0,0,-0.3,6.03857142857143E-11
0.67,1.5415E-09,0,0,-0.3,4.40428571428571E-11
0.68,1.281E-09,0,0,-0.3,3.66E-11
0.69,2.2983E-09,0,0,-0.3,6.56657142857143E-11
0.7,1.2307E-09,0,0,-0.3,3.51628571428571E-11
0.71,2.1471E-09,0,0,-0.3,6.13457142857143E-11
0.72,1.413E-09,0,0,-0.3,4.03714285714286E-11
0.73,1.7299E-09,0,0,-0.3,4.94257142857143E-11
0.74,2.2459E-09,0,0,-0.3,6.41685714285714E-11
0.75,1.1659E-09,0,0,-0.3,3.33114285714286E-11
0.76,2.2206E-09,0,0,-0.3,6.34457142857143E-11
0.77,1.3133E-09,0,0,-0.3,3.75228571428571E-11
0.78,1.9792E-09,0,0,-0.3,5.65485714285714E-11
0.79,2.0404E-09,0,0,-0.3,5.82971428571429E-11
0.8,1.1595E-09,0,0,-0.3,3.31285714285714E-11
0.81,2.2397E-09,0,0,-0.3,6.39914285714286E-11
0.82,1.3248E-09,0,0,-0.3,3.78514285714286E-11
0.83,2.1155E-09,0,0,-0.3,6.04428571428571E-11
0.84,1.6514E-09,0,0,-0.3,4.71828571428571E-11
0.85,1.2705E-09,0,0,-0.3,3.63E-11
0.86,2.3398E-09,0,0,-0.3,6.68514285714286E-11
0.87,1.2823E-09,0,0,-0.3,3.66371428571429E-11
0.88,2.1961E-09,0,0,-0.3,6.27457142857143E-11
0.89,1.5244E-09,0,0,-0.3,4.35542857142857E-11
0.9,1.6458E-09,0,0,-0.3,4.70228571428571E-11
0.91,2.3252E-09,0,0,-0.3,6.64342857142857E-11
0.92,1.2673E-09,0,0,-0.3,3.62085714285714E-11
