Setup title,N-18-Id-Vd
Application test name,Id-Vd
Test date,3/3/2017
Test time,17:42:02
Device ID,
Vdrain,Idrain,Vgate,Vsource,Vsubs,IdrainPerWg
0,2.9758E-10,0,0,0,8.50228571428571E-12
0.01,1.5991E-10,0,0,0,4.56885714285714E-12
0.02,1.103E-09,0,0,0,3.15142857142857E-11
0.03,1.2625E-09,0,0,0,3.60714285714286E-11
0.04,9.484E-10,0,0,0,2.70971428571428E-11
0.05,1.4093E-09,0,0,0,4.02657142857143E-11
0.06,1.2913E-09,0,0,0,3.68942857142857E-11
0.07,1.4648E-09,0,0,0,4.18514285714286E-11
0.08,1.6057E-09,0,0,0,4.58771428571429E-11
0.09,1.423E-09,0,0,0,4.06571428571428E-11
0.1,1.8554E-09,0,0,0,5.30114285714286E-11
0.11,1.5806E-09,0,0,0,4.516E-11
0.12,1.6233E-09,0,0,0,4.638E-11
0.13,1.5325E-09,0,0,0,4.37857142857143E-11
0.14,1.8765E-09,0,0,0,5.36142857142857E-11
0.15,1.408E-09,0,0,0,4.02285714285714E-11
0.16,1.947E-09,0,0,0,5.56285714285714E-11
0.17,1.5854E-09,0,0,0,4.52971428571429E-11
0.18,1.8324E-09,0,0,0,5.23542857142857E-11
0.19,1.484E-09,0,0,0,4.24E-11
0.2,1.9652E-09,0,0,0,5.61485714285714E-11
0.21,1.6331E-09,0,0,0,4.666E-11
0.22,1.8198E-09,0,0,0,5.19942857142857E-11
0.23,1.5238E-09,0,0,0,4.35371428571429E-11
0.24,1.9729E-09,0,0,0,5.63685714285714E-11
0.25,1.3213E-09,0,0,0,3.77514285714286E-11
0.26,2.0431E-09,0,0,0,5.83742857142857E-11
0.27,1.5536E-09,0,0,0,4.43885714285714E-11
0.28,1.989E-09,0,0,0,5.68285714285714E-11
0.29,1.3977E-09,0,0,0,3.99342857142857E-11
0.3,2.0377E-09,0,0,0,5.822E-11
0.31,9.702E-10,0,0,0,2.772E-11
0.32,1.9796E-09,0,0,0,5.656E-11
0.33,1.0813E-09,0,0,0,3.08942857142857E-11
0.34,1.7E-09,0,0,0,4.85714285714286E-11
0.35,1.8639E-09,0,0,0,5.32542857142857E-11
0.36,1.1222E-09,0,0,0,3.20628571428571E-11
0.37,2.1263E-09,0,0,0,6.07514285714286E-11
0.38,1.0492E-09,0,0,0,2.99771428571429E-11
0.39,2.0075E-09,0,0,0,5.73571428571428E-11
0.4,1.1266E-09,0,0,0,3.21885714285714E-11
0.41,1.7785E-09,0,0,0,5.08142857142857E-11
0.42,1.8459E-09,0,0,0,5.274E-11
0.43,9.74E-10,0,0,0,2.78285714285714E-11
0.44,2.0559E-09,0,0,0,5.874E-11
0.45,1.1403E-09,0,0,0,3.258E-11
0.46,1.8684E-09,0,0,0,5.33828571428571E-11
0.47,1.5592E-09,0,0,0,4.45485714285714E-11
0.48,1.0585E-09,0,0,0,3.02428571428571E-11
0.49,2.1363E-09,0,0,0,6.10371428571428E-11
0.5,1.1223E-09,0,0,0,3.20657142857143E-11
0.51,2.0254E-09,0,0,0,5.78685714285714E-11
0.52,1.4114E-09,0,0,0,4.03257142857143E-11
0.53,1.1178E-09,0,0,0,3.19371428571429E-11
0.54,2.1609E-09,0,0,0,6.174E-11
0.55,1.1419E-09,0,0,0,3.26257142857143E-11
0.56,2.0472E-09,0,0,0,5.84914285714286E-11
