Setup title,N-18-Id-Vg
Application test name,Id-Vg
Test date,3/3/2017
Test time,18:01:39
Device ID,
Vgate,Idrain,Isubs,Vsource,Vdrain,Vsubs,IdrainPerWg,IsubsPerWg,gm,gmPerWg
0,3.3725E-10,-5.778E-11,0,0.01,0,3.3725E-11,-5.778E-12,3.23E-10,3.22999999999999E-11
0.01,3.4048E-10,-5.2382E-10,0,0.01,0,3.4048E-11,-5.2382E-11,3.13950000000002E-10,3.13949999999999E-11
0.02,3.43529E-10,-8.4542E-10,0,0.01,0,3.43529E-11,-8.4542E-11,2.47400000000003E-10,2.47400000000004E-11
0.03,3.45428E-10,-1.06414E-09,0,0.01,0,3.45428E-11,-1.06414E-10,4.10799999999998E-10,4.10800000000001E-11
0.04,3.51745E-10,-1.21651E-09,0,0.01,0,3.51745E-11,-1.21651E-10,7.379E-10,7.37899999999998E-11
0.05,3.60186E-10,-1.32048E-09,0,0.01,0,3.60186E-11,-1.32048E-10,9.63150000000001E-10,9.63150000000001E-11
0.06,3.71008E-10,-1.39262E-09,0,0.01,0,3.71008E-11,-1.39262E-10,1.3098E-09,1.3098E-10
0.07,3.86382E-10,-1.44417E-09,0,0.01,0,3.86382E-11,-1.44417E-10,1.80505E-09,1.80505E-10
0.08,4.07109E-10,-1.48166E-09,0,0.01,0,4.07109E-11,-1.48166E-10,2.39525E-09,2.39525E-10
0.09,4.34287E-10,-1.50885E-09,0,0.01,0,4.34287E-11,-1.50885E-10,3.254E-09,3.25399999999999E-10
0.1,4.72189E-10,-1.52763E-09,0,0.01,0,4.72189E-11,-1.52763E-10,4.42800000000001E-09,4.42800000000001E-10
0.11,5.22847E-10,-1.54359E-09,0,0.01,0,5.22847E-11,-1.54359E-10,6.35455E-09,6.35455E-10
0.12,5.9928E-10,-1.55498E-09,0,0.01,0,5.9928E-11,-1.55498E-10,8.53815E-09,8.53815E-10
0.13,6.9361E-10,-1.5651E-09,0,0.01,0,6.9361E-11,-1.5651E-10,1.11065E-08,1.11065E-09
0.14,8.2141E-10,-1.57348E-09,0,0.01,0,8.2141E-11,-1.57348E-10,1.51445E-08,1.51445E-09
0.15,9.965E-10,-1.58065E-09,0,0.01,0,9.965E-11,-1.58065E-10,2.04235E-08,2.04235E-09
0.16,1.22988E-09,-1.58776E-09,0,0.01,0,1.22988E-10,-1.58776E-10,2.65195E-08,2.65195E-09
0.17,1.52689E-09,-1.59429E-09,0,0.01,0,1.52689E-10,-1.59429E-10,3.589E-08,3.58899999999999E-09
0.18,1.94768E-09,-1.60003E-09,0,0.01,0,1.94768E-10,-1.60003E-10,4.9044E-08,4.9044E-09
0.19,2.50777E-09,-1.60441E-09,0,0.01,0,2.50777E-10,-1.60441E-10,6.5951E-08,6.5951E-09
0.2,3.2667E-09,-1.61001E-09,0,0.01,0,3.2667E-10,-1.61001E-10,8.88839999999999E-08,8.88839999999999E-09
0.21,4.28545E-09,-1.61746E-09,0,0.01,0,4.28545E-10,-1.61746E-10,1.1884E-07,1.1884E-08
0.22,5.6435E-09,-1.62124E-09,0,0.01,0,5.6435E-10,-1.62124E-10,1.57807E-07,1.57807E-08
0.23,7.44159E-09,-1.62512E-09,0,0.01,0,7.44159E-10,-1.62512E-10,2.10381E-07,2.10381E-08
0.24,9.85112E-09,-1.6301E-09,0,0.01,0,9.85112E-10,-1.6301E-10,2.934305E-07,2.934305E-08
0.25,1.33102E-08,-1.63547E-09,0,0.01,0,1.33102E-09,-1.63547E-10,3.91244E-07,3.91244E-08
0.26,1.7676E-08,-1.63913E-09,0,0.01,0,1.7676E-09,-1.63913E-10,4.9724E-07,4.9724E-08
0.27,2.3255E-08,-1.64466E-09,0,0.01,0,2.3255E-09,-1.64466E-10,6.51494999999999E-07,6.51494999999999E-08
0.28,3.07059E-08,-1.64895E-09,0,0.01,0,3.07059E-09,-1.64895E-10,8.52584999999999E-07,8.52584999999999E-08
0.29,4.03067E-08,-1.65315E-09,0,0.01,0,4.03067E-09,-1.65315E-10,1.09932E-06,1.09932E-07
0.3,5.26923E-08,-1.65718E-09,0,0.01,0,5.26923E-09,-1.65718E-10,1.42419E-06,1.42419E-07
0.31,6.87905E-08,-1.66226E-09,0,0.01,0,6.87905E-09,-1.66226E-10,1.802195E-06,1.802195E-07
0.32,8.87362E-08,-1.66546E-09,0,0.01,0,8.87362E-09,-1.66546E-10,2.281455E-06,2.281455E-07
