Setup title,N-18-Id-Vd
Application test name,Id-Vd
Test date,3/3/2017
Test time,17:04:04
Device ID,
Vdrain,Idrain,Vgate,Vsource,Vsubs,IdrainPerWg
0,-1.2418E-08,0.6,0,0,-3.548E-10
0.01,1.2332E-05,0.6,0,0,3.52342857142857E-07
0.02,2.3347E-05,0.6,0,0,6.67057142857143E-07
0.03,3.3211E-05,0.6,0,0,9.48885714285714E-07
0.04,4.1886E-05,0.6,0,0,1.19674285714286E-06
0.05,4.9703E-05,0.6,0,0,1.42008571428571E-06
0.06,5.6507E-05,0.6,0,0,1.61448571428571E-06
0.07,6.2458E-05,0.6,0,0,1.78451428571429E-06
0.08,6.7644E-05,0.6,0,0,1.93268571428571E-06
0.09,7.2355E-05,0.6,0,0,2.06728571428571E-06
0.1,7.6421E-05,0.6,0,0,2.18345714285714E-06
0.11,7.9999E-05,0.6,0,0,2.28568571428571E-06
0.12,8.322E-05,0.6,0,0,2.37771428571429E-06
0.13,8.6028E-05,0.6,0,0,2.45794285714286E-06
0.14,8.8411E-05,0.6,0,0,2.52602857142857E-06
0.15,9.066E-05,0.6,0,0,2.59028571428571E-06
0.16,9.2687E-05,0.6,0,0,2.6482E-06
0.17,9.4401E-05,0.6,0,0,2.69717142857143E-06
0.18,9.618E-05,0.6,0,0,2.748E-06
0.19,9.758E-05,0.6,0,0,2.788E-06
0.2,9.905E-05,0.6,0,0,2.83E-06
0.21,0.000100459,0.6,0,0,2.87025714285714E-06
0.22,0.000101634,0.6,0,0,2.90382857142857E-06
0.23,0.000102971,0.6,0,0,2.94202857142857E-06
0.24,0.000104032,0.6,0,0,2.97234285714286E-06
0.25,0.000105259,0.6,0,0,3.0074E-06
0.26,0.000106258,0.6,0,0,3.03594285714286E-06
0.27,0.000107197,0.6,0,0,3.06277142857143E-06
0.28,0.000108112,0.6,0,0,3.08891428571429E-06
0.29,0.000109115,0.6,0,0,3.11757142857143E-06
0.3,0.000110081,0.6,0,0,3.14517142857143E-06
0.31,0.000111045,0.6,0,0,3.17271428571429E-06
0.32,0.000111999,0.6,0,0,3.19997142857143E-06
0.33,0.000112807,0.6,0,0,3.22305714285714E-06
0.34,0.000113519,0.6,0,0,3.2434E-06
0.35,0.000114435,0.6,0,0,3.26957142857143E-06
0.36,0.00011512,0.6,0,0,3.28914285714286E-06
0.37,0.00011588,0.6,0,0,3.31085714285714E-06
0.38,0.00011661,0.6,0,0,3.33171428571429E-06
0.39,0.00011764,0.6,0,0,3.36114285714286E-06
0.4,0.0001183,0.6,0,0,3.38E-06
0.41,0.00011924,0.6,0,0,3.40685714285714E-06
0.42,0.00011998,0.6,0,0,3.428E-06
0.43,0.0001208,0.6,0,0,3.45142857142857E-06
0.44,0.00012151,0.6,0,0,3.47171428571429E-06
0.45,0.00012225,0.6,0,0,3.49285714285714E-06
0.46,0.00012309,0.6,0,0,3.51685714285714E-06
0.47,0.00012368,0.6,0,0,3.53371428571429E-06
0.48,0.00012454,0.6,0,0,3.55828571428571E-06
0.49,0.00012544,0.6,0,0,3.584E-06
0.5,0.00012602,0.6,0,0,3.60057142857143E-06
0.51,0.00012695,0.6,0,0,3.62714285714286E-06
0.52,0.00012769,0.6,0,0,3.64828571428571E-06
0.53,0.00012825,0.6,0,0,3.66428571428571E-06
0.54,0.00012895,0.6,0,0,3.68428571428571E-06
0.55,0.00012997,0.6,0,0,3.71342857142857E-06
0.56,0.00013059,0.6,0,0,3.73114285714286E-06
0.57,0.00013125,0.6,0,0,3.75E-06
0.58,0.00013191,0.6,0,0,3.76885714285714E-06
0.59,0.00013269,0.6,0,0,3.79114285714286E-06
0.6,0.00013348,0.6,0,0,3.81371428571429E-06
0.61,0.00013435,0.6,0,0,3.83857142857143E-06
0.62,0.00013489,0.6,0,0,3.854E-06
0.63,0.00013571,0.6,0,0,3.87742857142857E-06
0.64,0.00013643,0.6,0,0,3.898E-06
0.65,0.00013711,0.6,0,0,3.91742857142857E-06
0.66,0.00013789,0.6,0,0,3.93971428571428E-06
0.67,0.00013879,0.6,0,0,3.96542857142857E-06
0.68,0.00013948,0.6,0,0,3.98514285714286E-06
0.69,0.00014015,0.6,0,0,4.00428571428571E-06
0.7,0.00014086,0.6,0,0,4.02457142857143E-06
0.71,0.00014155,0.6,0,0,4.04428571428571E-06
0.72,0.00014227,0.6,0,0,4.06485714285714E-06
0.73,0.00014316,0.6,0,0,4.09028571428571E-06
0.74,0.00014365,0.6,0,0,4.10428571428571E-06
0.75,0.00014449,0.6,0,0,4.12828571428571E-06
0.76,0.00014531,0.6,0,0,4.15171428571428E-06
0.77,0.00014592,0.6,0,0,4.16914285714286E-06
0.78,0.00014687,0.6,0,0,4.19628571428571E-06
0.79,0.00014761,0.6,0,0,4.21742857142857E-06
0.8,0.0001482,0.6,0,0,4.23428571428571E-06
0.81,0.00014902,0.6,0,0,4.25771428571429E-06
0.82,0.00014979,0.6,0,0,4.27971428571429E-06
0.83,0.00015055,0.6,0,0,4.30142857142857E-06
0.84,0.00015127,0.6,0,0,4.322E-06
0.85,0.00015208,0.6,0,0,4.34514285714286E-06
0.86,0.00015271,0.6,0,0,4.36314285714286E-06
0.87,0.00015332,0.6,0,0,4.38057142857143E-06
0.88,0.00015414,0.6,0,0,4.404E-06
0.89,0.0001548,0.6,0,0,4.42285714285714E-06
0.9,0.00015554,0.6,0,0,4.444E-06
0.91,0.00015642,0.6,0,0,4.46914285714286E-06
0.92,0.00015711,0.6,0,0,4.48885714285714E-06
0.93,0.00015782,0.6,0,0,4.50914285714286E-06
0.94,0.00015842,0.6,0,0,4.52628571428571E-06
0.95,0.00015913,0.6,0,0,4.54657142857143E-06
0.96,0.00016008,0.6,0,0,4.57371428571429E-06
0.97,0.00016083,0.6,0,0,4.59514285714286E-06
0.98,0.00016155,0.6,0,0,4.61571428571428E-06
0.99,0.00016207,0.6,0,0,4.63057142857143E-06
1,0.00016282,0.6,0,0,4.652E-06
1.01,0.00016355,0.6,0,0,4.67285714285714E-06
1.02,0.00016421,0.6,0,0,4.69171428571429E-06
1.03,0.00016499,0.6,0,0,4.714E-06
1.04,0.0001657,0.6,0,0,4.73428571428571E-06
1.05,0.00016666,0.6,0,0,4.76171428571429E-06
1.06,0.00016726,0.6,0,0,4.77885714285714E-06
1.07,0.00016798,0.6,0,0,4.79942857142857E-06
1.08,0.00016857,0.6,0,0,4.81628571428571E-06
1.09,0.00016957,0.6,0,0,4.84485714285714E-06
1.1,0.00017014,0.6,0,0,4.86114285714286E-06
1.11,0.00017078,0.6,0,0,4.87942857142857E-06
1.12,0.00017166,0.6,0,0,4.90457142857143E-06
1.13,0.0001726,0.6,0,0,4.93142857142857E-06
1.14,0.00017308,0.6,0,0,4.94514285714286E-06
1.15,0.00017387,0.6,0,0,4.96771428571429E-06
1.16,0.00017492,0.6,0,0,4.99771428571428E-06
1.17,0.0001755,0.6,0,0,5.01428571428571E-06
1.18,0.00017611,0.6,0,0,5.03171428571429E-06
1.19,0.00017691,0.6,0,0,5.05457142857143E-06
1.2,0.00017762,0.6,0,0,5.07485714285714E-06
1.21,0.00017865,0.6,0,0,5.10428571428571E-06
1.22,0.00017905,0.6,0,0,5.11571428571429E-06
1.23,0.00018003,0.6,0,0,5.14371428571429E-06
1.24,0.00018066,0.6,0,0,5.16171428571429E-06
1.25,0.00018148,0.6,0,0,5.18514285714286E-06
1.26,0.00018251,0.6,0,0,5.21457142857143E-06
1.27,0.00018345,0.6,0,0,5.24142857142857E-06
1.28,0.00018426,0.6,0,0,5.26457142857143E-06
1.29,0.00018538,0.6,0,0,5.29657142857143E-06
1.3,0.00018631,0.6,0,0,5.32314285714286E-06
1.31,0.00018734,0.6,0,0,5.35257142857143E-06
1.32,0.00018844,0.6,0,0,5.384E-06
1.33,0.00018959,0.6,0,0,5.41685714285714E-06
1.34,0.00019053,0.6,0,0,5.44371428571429E-06
1.35,0.00019161,0.6,0,0,5.47457142857143E-06
1.36,0.000193,0.6,0,0,5.51428571428571E-06
1.37,0.00019375,0.6,0,0,5.53571428571429E-06
1.38,0.00019474,0.6,0,0,5.564E-06
