Setup title,N-18-Id-Vg
Application test name,Id-Vg
Test date,3/8/2017
Test time,17:43:18
Device ID,
Vgate,Idrain,Isubs,Vsource,Vdrain,Vsubs,IdrainPerWg,IsubsPerWg,gm,gmPerWg
0,1.426E-11,-1.28E-10,0,0.01,0,1.426E-12,-1.28E-11,-6.79999999999999E-11,-6.79999999999999E-12
0.01,1.358E-11,1.52E-10,0,0.01,0,1.358E-12,1.52E-11,-1.38E-10,-1.38E-11
0.02,1.15E-11,-1.98E-10,0,0.01,0,1.15E-12,-1.98E-11,-2.8E-11,-2.8E-12
0.03,1.302E-11,1.98E-10,0,0.01,0,1.302E-12,1.98E-11,-5.00000000000008E-13,-5.00000000000048E-14
0.04,1.149E-11,-2.42E-10,0,0.01,0,1.149E-12,-2.42E-11,-3.00000000000005E-12,-2.99999999999999E-13
0.05,1.296E-11,1.96E-10,0,0.01,0,1.296E-12,1.96E-11,-1.1E-11,-1.1E-12
0.06,1.127E-11,-1.93E-10,0,0.01,0,1.127E-12,-1.93E-11,7.50000000000004E-12,7.50000000000002E-13
0.07,1.311E-11,6.4E-11,0,0.01,0,1.311E-12,6.4E-12,1.1E-11,1.1E-12
0.08,1.149E-11,-1.05E-10,0,0.01,0,1.149E-12,-1.05E-11,1.25E-11,1.24999999999999E-12
0.09,1.336E-11,1.15E-10,0,0.01,0,1.336E-12,1.15E-11,1.69999999999999E-11,1.7E-12
0.1,1.183E-11,-2.7E-10,0,0.01,0,1.183E-12,-2.7E-11,2.6E-11,2.6E-12
0.11,1.388E-11,3.57E-10,0,0.01,0,1.388E-12,3.57E-11,3.2E-11,3.2E-12
0.12,1.247E-11,-2.48E-10,0,0.01,0,1.247E-12,-2.48E-11,-5.2E-11,-5.2E-12
0.13,1.284E-11,9.3E-11,0,0.01,0,1.284E-12,9.3E-12,8.45E-11,8.45E-12
0.14,1.416E-11,-1.83E-10,0,0.01,0,1.416E-12,-1.83E-11,1.61E-10,1.61E-11
0.15,1.606E-11,5E-11,0,0.01,0,1.606E-12,5E-12,8E-11,8E-12
0.16,1.576E-11,-1.4E-10,0,0.01,0,1.576E-12,-1.4E-11,1.555E-10,1.555E-11
0.17,1.917E-11,1.99E-10,0,0.01,0,1.917E-12,1.99E-11,2.075E-10,2.075E-11
0.18,1.991E-11,-2.23E-10,0,0.01,0,1.991E-12,-2.23E-11,3.09E-10,3.09E-11
0.19,2.535E-11,1.3E-10,0,0.01,0,2.535E-12,1.3E-11,3.54E-10,3.54E-11
0.2,2.699E-11,-1.34E-10,0,0.01,0,2.699E-12,-1.34E-11,3.65E-10,3.65E-11
0.21,3.265E-11,1.21E-10,0,0.01,0,3.265E-12,1.21E-11,5.715E-10,5.71500000000001E-11
0.22,3.842E-11,-2.49E-10,0,0.01,0,3.842E-12,-2.49E-11,8.08E-10,8.08E-11
0.23,4.881E-11,2.46E-10,0,0.01,0,4.881E-12,2.46E-11,9.72499999999999E-10,9.72499999999999E-11
0.24,5.787E-11,-1.92E-10,0,0.01,0,5.787E-12,-1.92E-11,1.227E-09,1.227E-10
0.25,7.335E-11,1.69E-10,0,0.01,0,7.335E-12,1.69E-11,1.7385E-09,1.7385E-10
0.26,9.264E-11,-6.3E-11,0,0.01,0,9.264E-12,-6.3E-12,2.1685E-09,2.1685E-10
0.27,1.1672E-10,9.9E-11,0,0.01,0,1.1672E-11,9.9E-12,2.825E-09,2.825E-10
0.28,1.4914E-10,-1.69E-10,0,0.01,0,1.4914E-11,-1.69E-11,3.9355E-09,3.9355E-10
0.29,1.9543E-10,7.8E-11,0,0.01,0,1.9543E-11,7.8E-12,5.05650000000001E-09,5.05650000000001E-10
0.3,2.5027E-10,-2.03E-10,0,0.01,0,2.5027E-11,-2.03E-11,5.48400000000003E-09,5.48400000000003E-10
