Setup title,N-18-Id-Vg
Application test name,Id-Vg
Test date,3/13/2017
Test time,11:12:28
Device ID,
Vgate,Idrain,Isubs,Vsource,Vdrain,Vsubs,IdrainPerWg,IsubsPerWg,gm,gmPerWg
0,5.0638E-10,-5.09E-11,0,1.8,0,5.0638E-11,-5.09E-12,-2.0606E-08,-2.0606E-09
0.01,3.0032E-10,-7.53E-11,0,1.8,0,3.0032E-11,-7.53E-12,-1.2119E-08,-1.2119E-09
0.02,2.64E-10,-2.58E-11,0,1.8,0,2.64E-11,-2.58E-12,-1.9965E-09,-1.9965E-10
0.03,2.6039E-10,-2.74E-11,0,1.8,0,2.6039E-11,-2.74E-12,7.43499999999999E-10,7.43499999999997E-11
0.04,2.7887E-10,-3.44E-11,0,1.8,0,2.7887E-11,-3.44E-12,2.881E-09,2.881E-10
0.05,3.1801E-10,1.16E-11,0,1.8,0,3.1801E-11,1.16E-12,5.041E-09,5.041E-10
0.06,3.7969E-10,-1.006E-10,0,1.8,0,3.7969E-11,-1.006E-11,7.8115E-09,7.8115E-10
0.07,4.7424E-10,3.01E-11,0,1.8,0,4.7424E-11,3.01E-12,1.14095E-08,1.14095E-09
0.08,6.0788E-10,-4.14E-11,0,1.8,0,6.0788E-11,-4.14E-12,1.5774E-08,1.5774E-09
0.09,7.8972E-10,-4.78E-11,0,1.8,0,7.8972E-11,-4.78E-12,2.26885E-08,2.26885E-09
0.1,1.06165E-09,-2.93E-11,0,1.8,0,1.06165E-10,-2.93E-12,3.0712E-08,3.0712E-09
0.11,1.40396E-09,-5.33E-11,0,1.8,0,1.40396E-10,-5.33E-12,4.2938E-08,4.2938E-09
0.12,1.92041E-09,-7.9E-11,0,1.8,0,1.92041E-10,-7.9E-12,5.82365E-08,5.82365E-09
0.13,2.56869E-09,1.079E-10,0,1.8,0,2.56869E-10,1.079E-11,7.7741E-08,7.7741E-09
0.14,3.47523E-09,-2.7E-11,0,1.8,0,3.47523E-10,-2.7E-12,1.069255E-07,1.069255E-08
0.15,4.7072E-09,-1.252E-10,0,1.8,0,4.7072E-10,-1.252E-11,1.433295E-07,1.433295E-08
0.16,6.34182E-09,-9.18E-11,0,1.8,0,6.34182E-10,-9.18E-12,1.911645E-07,1.911645E-08
0.17,8.53049E-09,-1.64E-11,0,1.8,0,8.53049E-10,-1.64E-12,2.62099E-07,2.62099E-08
0.18,1.15838E-08,-5.54E-11,0,1.8,0,1.15838E-09,-5.54E-12,3.424355E-07,3.424355E-08
0.19,1.53792E-08,-1.016E-10,0,1.8,0,1.53792E-09,-1.016E-11,4.38155E-07,4.38155E-08
0.2,2.03469E-08,-1.559E-10,0,1.8,0,2.03469E-09,-1.559E-11,5.67584999999999E-07,5.67584999999999E-08
0.21,2.67309E-08,-2.69E-11,0,1.8,0,2.67309E-09,-2.69E-12,7.3119E-07,7.3119E-08
0.22,3.49707E-08,-1.228E-10,0,1.8,0,3.49707E-09,-1.228E-11,9.41E-07,9.41E-08
0.23,4.55509E-08,-1.121E-10,0,1.8,0,4.55509E-09,-1.121E-11,1.192975E-06,1.192975E-07
0.24,5.88302E-08,-9.9E-11,0,1.8,0,5.88302E-09,-9.9E-12,1.509595E-06,1.509595E-07
0.25,7.57428E-08,-1.139E-10,0,1.8,0,7.57428E-09,-1.139E-11,1.901355E-06,1.901355E-07
0.26,9.68573E-08,-1.744E-10,0,1.8,0,9.68573E-09,-1.744E-11,2.36846E-06,2.36846E-07
0.27,1.23112E-07,-2.002E-10,0,1.8,0,1.23112E-08,-2.002E-11,2.935235E-06,2.935235E-07
0.28,1.55562E-07,-1.412E-10,0,1.8,0,1.55562E-08,-1.412E-11,3.5997E-06,3.5997E-07
0.29,1.95106E-07,-2.691E-10,0,1.8,0,1.95106E-08,-2.691E-11,4.36945000000001E-06,4.36945000000001E-07
0.3,2.42951E-07,-2.625E-10,0,1.8,0,2.42951E-08,-2.625E-11,5.27930000000001E-06,5.27930000000001E-07
0.31,3.00692E-07,-2.859E-10,0,1.8,0,3.00692E-08,-2.859E-11,6.28479999999999E-06,6.28479999999999E-07
0.32,3.68647E-07,-3.481E-10,0,1.8,0,3.68647E-08,-3.481E-11,7.42345E-06,7.42344999999999E-07
0.33,4.49161E-07,-3.596E-10,0,1.8,0,4.49161E-08,-3.596E-11,8.66149999999999E-06,8.66149999999999E-07
0.34,5.41877E-07,-2.878E-10,0,1.8,0,5.41877E-08,-2.878E-11,1.00209E-05,1.00209E-06
0.35,6.49579E-07,-5.324E-10,0,1.8,0,6.49579E-08,-5.324E-11,1.15461E-05,1.15461E-06
0.36,7.72799E-07,-6.271E-10,0,1.8,0,7.72799E-08,-6.271E-11,1.30408E-05,1.30408E-06
0.37,9.10395E-07,-6.928E-10,0,1.8,0,9.10395E-08,-6.928E-11,1.469775E-05,1.469775E-06
0.38,1.066754E-06,-7.378E-10,0,1.8,0,1.066754E-07,-7.378E-11,1.653325E-05,1.653325E-06
0.39,1.24106E-06,-7.953E-10,0,1.8,0,1.24106E-07,-7.953E-11,1.83138E-05,1.83138E-06
0.4,1.43303E-06,-8.371E-10,0,1.8,0,1.43303E-07,-8.371E-11,2.0077E-05,2.0077E-06
0.41,1.6426E-06,-9.455E-10,0,1.8,0,1.6426E-07,-9.455E-11,2.20305E-05,2.20305E-06
0.42,1.87364E-06,-1.0814E-09,0,1.8,0,1.87364E-07,-1.0814E-10,2.4E-05,2.40000000000001E-06
0.43,2.1226E-06,-1.0799E-09,0,1.8,0,2.1226E-07,-1.0799E-10,2.60410000000001E-05,2.6041E-06
0.44,2.39446E-06,-1.2264E-09,0,1.8,0,2.39446E-07,-1.2264E-10,2.8151E-05,2.8151E-06
0.45,2.68562E-06,-1.3485E-09,0,1.8,0,2.68562E-07,-1.3485E-10,3.0247E-05,3.0247E-06
0.46,2.9994E-06,-1.3305E-09,0,1.8,0,2.9994E-07,-1.3305E-10,3.2368E-05,3.2368E-06
0.47,3.33298E-06,-1.4897E-09,0,1.8,0,3.33298E-07,-1.4897E-10,3.46255E-05,3.46254999999999E-06
0.48,3.69191E-06,-1.563E-09,0,1.8,0,3.69191E-07,-1.563E-10,3.68605E-05,3.68605E-06
0.49,4.07019E-06,-1.5549E-09,0,1.8,0,4.07019E-07,-1.5549E-10,3.91405000000001E-05,3.91405000000001E-06
0.5,4.47472E-06,-1.639E-09,0,1.8,0,4.47472E-07,-1.639E-10,4.13900000000001E-05,4.139E-06
0.51,4.89799E-06,-1.7415E-09,0,1.8,0,4.89799E-07,-1.7415E-10,4.36705E-05,4.36705E-06
0.52,5.34813E-06,-1.7825E-09,0,1.8,0,5.34813E-07,-1.7825E-10,4.6228E-05,4.6228E-06
0.53,5.82255E-06,-1.8518E-09,0,1.8,0,5.82255E-07,-1.8518E-10,4.8403E-05,4.84029999999999E-06
0.54,6.31619E-06,-1.8762E-09,0,1.8,0,6.31619E-07,-1.8762E-10,5.07379999999999E-05,5.07379999999999E-06
0.55,6.83731E-06,-1.8399E-09,0,1.8,0,6.83731E-07,-1.8399E-10,5.314E-05,5.314E-06
0.56,7.37899E-06,-1.9946E-09,0,1.8,0,7.37899E-07,-1.9946E-10,5.5566E-05,5.5566E-06
0.57,7.94863E-06,-1.9701E-09,0,1.8,0,7.94863E-07,-1.9701E-10,5.79419999999999E-05,5.79419999999999E-06
0.58,8.53783E-06,-2.0922E-09,0,1.8,0,8.53783E-07,-2.0922E-10,6.0407E-05,6.0407E-06
0.59,9.15677E-06,-2.1057E-09,0,1.8,0,9.15677E-07,-2.1057E-10,6.27855000000003E-05,6.27855000000004E-06
0.6,9.79354E-06,-2.0871E-09,0,1.8,0,9.79354E-07,-2.0871E-10,6.52085000000003E-05,6.52085000000003E-06
0.61,1.046094E-05,-2.0711E-09,0,1.8,0,1.046094E-06,-2.0711E-10,6.77324999999999E-05,6.77324999999999E-06
0.62,1.114819E-05,-2.0972E-09,0,1.8,0,1.114819E-06,-2.0972E-10,7.03579999999999E-05,7.03579999999998E-06
0.63,1.18681E-05,-2.016E-09,0,1.8,0,1.18681E-06,-2.016E-10,7.27755E-05,7.27754999999999E-06
0.64,1.26037E-05,-2.0326E-09,0,1.8,0,1.26037E-06,-2.0326E-10,7.48599999999999E-05,7.486E-06
0.65,1.33653E-05,-2.1308E-09,0,1.8,0,1.33653E-06,-2.1308E-10,7.76599999999999E-05,7.76599999999999E-06
0.66,1.41569E-05,-2.1162E-09,0,1.8,0,1.41569E-06,-2.1162E-10,8.00349999999999E-05,8.00349999999998E-06
0.67,1.4966E-05,-1.9875E-09,0,1.8,0,1.4966E-06,-1.9875E-10,8.25099999999999E-05,8.25099999999999E-06
0.68,1.58071E-05,-2.0657E-09,0,1.8,0,1.58071E-06,-2.0657E-10,8.50749999999999E-05,8.50749999999999E-06
0.69,1.66675E-05,-2.0937E-09,0,1.8,0,1.66675E-06,-2.0937E-10,8.72349999999999E-05,8.72349999999999E-06
0.7,1.75518E-05,-1.9366E-09,0,1.8,0,1.75518E-06,-1.9366E-10,9.00099999999999E-05,9.00099999999999E-06
0.71,1.84677E-05,-1.946E-09,0,1.8,0,1.84677E-06,-1.946E-10,9.245E-05,9.24499999999999E-06
0.72,1.94008E-05,-1.96E-09,0,1.8,0,1.94008E-06,-1.96E-10,9.49700000000005E-05,9.49700000000005E-06
