Setup title,N-18-Id-Vd
Application test name,Id-Vd
Test date,3/13/2017
Test time,10:52:33
Device ID,
Vdrain,Idrain,Vgate,Vsource,Vsubs,IdrainPerWg
0,-3.0554E-07,0.6,0,-0.4,-8.72971428571428E-09
0.01,2.057E-05,0.6,0,-0.4,5.87714285714286E-07
0.02,4.0123E-05,0.6,0,-0.4,1.14637142857143E-06
0.03,5.795E-05,0.6,0,-0.4,1.65571428571429E-06
0.04,7.3809E-05,0.6,0,-0.4,2.10882857142857E-06
0.05,8.8217E-05,0.6,0,-0.4,2.52048571428571E-06
0.06,0.000100864,0.6,0,-0.4,2.88182857142857E-06
0.07,0.000112157,0.6,0,-0.4,3.20448571428571E-06
0.08,0.00012206,0.6,0,-0.4,3.48742857142857E-06
0.09,0.00013067,0.6,0,-0.4,3.73342857142857E-06
0.1,0.00013813,0.6,0,-0.4,3.94657142857143E-06
0.11,0.00014452,0.6,0,-0.4,4.12914285714286E-06
0.12,0.00015002,0.6,0,-0.4,4.28628571428571E-06
0.13,0.0001547,0.6,0,-0.4,4.42E-06
0.14,0.00015876,0.6,0,-0.4,4.536E-06
0.15,0.00016212,0.6,0,-0.4,4.632E-06
0.16,0.00016498,0.6,0,-0.4,4.71371428571429E-06
0.17,0.00016742,0.6,0,-0.4,4.78342857142857E-06
0.18,0.00016956,0.6,0,-0.4,4.84457142857143E-06
0.19,0.00017139,0.6,0,-0.4,4.89685714285714E-06
0.2,0.00017287,0.6,0,-0.4,4.93914285714286E-06
0.21,0.00017427,0.6,0,-0.4,4.97914285714286E-06
0.22,0.00017546,0.6,0,-0.4,5.01314285714286E-06
0.23,0.00017655,0.6,0,-0.4,5.04428571428571E-06
0.24,0.00017745,0.6,0,-0.4,5.07E-06
0.25,0.00017834,0.6,0,-0.4,5.09542857142857E-06
0.26,0.00017914,0.6,0,-0.4,5.11828571428571E-06
0.27,0.0001799,0.6,0,-0.4,5.14E-06
0.28,0.00018057,0.6,0,-0.4,5.15914285714286E-06
0.29,0.00018116,0.6,0,-0.4,5.176E-06
0.3,0.00018175,0.6,0,-0.4,5.19285714285714E-06
0.31,0.00018231,0.6,0,-0.4,5.20885714285714E-06
0.32,0.00018288,0.6,0,-0.4,5.22514285714286E-06
0.33,0.00018343,0.6,0,-0.4,5.24085714285714E-06
0.34,0.00018391,0.6,0,-0.4,5.25457142857143E-06
0.35,0.00018439,0.6,0,-0.4,5.26828571428571E-06
0.36,0.00018488,0.6,0,-0.4,5.28228571428571E-06
0.37,0.0001853,0.6,0,-0.4,5.29428571428571E-06
0.38,0.00018578,0.6,0,-0.4,5.308E-06
0.39,0.00018618,0.6,0,-0.4,5.31942857142857E-06
0.4,0.00018664,0.6,0,-0.4,5.33257142857143E-06
0.41,0.00018708,0.6,0,-0.4,5.34514285714286E-06
0.42,0.00018745,0.6,0,-0.4,5.35571428571428E-06
0.43,0.00018784,0.6,0,-0.4,5.36685714285714E-06
0.44,0.00018823,0.6,0,-0.4,5.378E-06
0.45,0.0001886,0.6,0,-0.4,5.38857142857143E-06
0.46,0.00018906,0.6,0,-0.4,5.40171428571428E-06
0.47,0.00018943,0.6,0,-0.4,5.41228571428571E-06
0.48,0.00018977,0.6,0,-0.4,5.422E-06
0.49,0.00019021,0.6,0,-0.4,5.43457142857143E-06
0.5,0.00019055,0.6,0,-0.4,5.44428571428571E-06
0.51,0.00019086,0.6,0,-0.4,5.45314285714286E-06
0.52,0.00019125,0.6,0,-0.4,5.46428571428571E-06
0.53,0.00019153,0.6,0,-0.4,5.47228571428571E-06
0.54,0.00019195,0.6,0,-0.4,5.48428571428571E-06
0.55,0.0001923,0.6,0,-0.4,5.49428571428571E-06
0.56,0.00019262,0.6,0,-0.4,5.50342857142857E-06
0.57,0.00019295,0.6,0,-0.4,5.51285714285714E-06
0.58,0.00019324,0.6,0,-0.4,5.52114285714286E-06
0.59,0.00019364,0.6,0,-0.4,5.53257142857143E-06
0.6,0.00019394,0.6,0,-0.4,5.54114285714286E-06
0.61,0.00019426,0.6,0,-0.4,5.55028571428571E-06
0.62,0.00019458,0.6,0,-0.4,5.55942857142857E-06
0.63,0.0001949,0.6,0,-0.4,5.56857142857143E-06
0.64,0.0001952,0.6,0,-0.4,5.57714285714286E-06
0.65,0.00019553,0.6,0,-0.4,5.58657142857143E-06
0.66,0.0001959,0.6,0,-0.4,5.59714285714286E-06
0.67,0.00019619,0.6,0,-0.4,5.60542857142857E-06
0.68,0.00019652,0.6,0,-0.4,5.61485714285714E-06
0.69,0.00019678,0.6,0,-0.4,5.62228571428571E-06
0.7,0.00019708,0.6,0,-0.4,5.63085714285714E-06
0.71,0.00019734,0.6,0,-0.4,5.63828571428571E-06
0.72,0.00019769,0.6,0,-0.4,5.64828571428571E-06
0.73,0.00019792,0.6,0,-0.4,5.65485714285714E-06
0.74,0.00019824,0.6,0,-0.4,5.664E-06
0.75,0.00019852,0.6,0,-0.4,5.672E-06
0.76,0.0001988,0.6,0,-0.4,5.68E-06
0.77,0.00019909,0.6,0,-0.4,5.68828571428571E-06
0.78,0.00019936,0.6,0,-0.4,5.696E-06
0.79,0.00019962,0.6,0,-0.4,5.70342857142857E-06
0.8,0.00019993,0.6,0,-0.4,5.71228571428571E-06
0.81,0.00020016,0.6,0,-0.4,5.71885714285714E-06
0.82,0.0002005,0.6,0,-0.4,5.72857142857143E-06
0.83,0.00020075,0.6,0,-0.4,5.73571428571428E-06
0.84,0.00020103,0.6,0,-0.4,5.74371428571429E-06
0.85,0.00020127,0.6,0,-0.4,5.75057142857143E-06
0.86,0.00020158,0.6,0,-0.4,5.75942857142857E-06
0.87,0.00020183,0.6,0,-0.4,5.76657142857143E-06
0.88,0.00020207,0.6,0,-0.4,5.77342857142857E-06
0.89,0.00020238,0.6,0,-0.4,5.78228571428571E-06
0.9,0.0002026,0.6,0,-0.4,5.78857142857143E-06
0.91,0.00020291,0.6,0,-0.4,5.79742857142857E-06
0.92,0.00020314,0.6,0,-0.4,5.804E-06
0.93,0.00020336,0.6,0,-0.4,5.81028571428571E-06
0.94,0.00020364,0.6,0,-0.4,5.81828571428571E-06
0.95,0.00020385,0.6,0,-0.4,5.82428571428571E-06
0.96,0.00020411,0.6,0,-0.4,5.83171428571429E-06
0.97,0.00020436,0.6,0,-0.4,5.83885714285714E-06
0.98,0.00020457,0.6,0,-0.4,5.84485714285714E-06
0.99,0.0002049,0.6,0,-0.4,5.85428571428571E-06
