Setup title,N-18-Id-Vd
Application test name,Id-Vd
Test date,3/13/2017
Test time,11:51:30
Device ID,
Vdrain,Idrain,Vgate,Vsource,Vsubs,IdrainPerWg
0,-2.5586E-07,0.6,0,0,-7.31028571428571E-09
0.01,3.2047E-05,0.6,0,0,9.15628571428571E-07
0.02,6.2426E-05,0.6,0,0,1.7836E-06
0.03,9.0859E-05,0.6,0,0,2.59597142857143E-06
0.04,0.00011703,0.6,0,0,3.34371428571429E-06
0.05,0.00014122,0.6,0,0,4.03485714285714E-06
0.06,0.00016319,0.6,0,0,4.66257142857143E-06
0.07,0.00018319,0.6,0,0,5.234E-06
0.08,0.00020144,0.6,0,0,5.75542857142857E-06
0.09,0.00021769,0.6,0,0,6.21971428571429E-06
0.1,0.00023238,0.6,0,0,6.63942857142857E-06
0.11,0.00024536,0.6,0,0,7.01028571428571E-06
0.12,0.00025694,0.6,0,0,7.34114285714286E-06
0.13,0.00026707,0.6,0,0,7.63057142857143E-06
0.14,0.00027596,0.6,0,0,7.88457142857143E-06
0.15,0.0002836,0.6,0,0,8.10285714285714E-06
0.16,0.00029034,0.6,0,0,8.29542857142857E-06
0.17,0.00029618,0.6,0,0,8.46228571428571E-06
0.18,0.00030118,0.6,0,0,8.60514285714286E-06
0.19,0.0003054,0.6,0,0,8.72571428571428E-06
0.2,0.00030916,0.6,0,0,8.83314285714286E-06
0.21,0.00031243,0.6,0,0,8.92657142857143E-06
0.22,0.00031521,0.6,0,0,9.006E-06
0.23,0.00031767,0.6,0,0,9.07628571428571E-06
0.24,0.00031982,0.6,0,0,9.13771428571428E-06
0.25,0.00032177,0.6,0,0,9.19342857142857E-06
0.26,0.00032349,0.6,0,0,9.24257142857143E-06
0.27,0.00032512,0.6,0,0,9.28914285714286E-06
0.28,0.00032653,0.6,0,0,9.32942857142857E-06
0.29,0.00032783,0.6,0,0,9.36657142857143E-06
0.3,0.00032902,0.6,0,0,9.40057142857143E-06
0.31,0.00033021,0.6,0,0,9.43457142857143E-06
0.32,0.00033131,0.6,0,0,9.466E-06
0.33,0.00033226,0.6,0,0,9.49314285714286E-06
0.34,0.00033326,0.6,0,0,9.52171428571429E-06
0.35,0.00033423,0.6,0,0,9.54942857142857E-06
0.36,0.0003351,0.6,0,0,9.57428571428571E-06
0.37,0.00033596,0.6,0,0,9.59885714285714E-06
0.38,0.00033679,0.6,0,0,9.62257142857143E-06
0.39,0.00033755,0.6,0,0,9.64428571428571E-06
0.4,0.00033846,0.6,0,0,9.67028571428571E-06
0.41,0.00033918,0.6,0,0,9.69085714285714E-06
0.42,0.00033996,0.6,0,0,9.71314285714286E-06
0.43,0.00034069,0.6,0,0,9.734E-06
0.44,0.00034147,0.6,0,0,9.75628571428571E-06
0.45,0.00034217,0.6,0,0,9.77628571428571E-06
