Setup title,N-18-Id-Vd
Application test name,Id-Vd
Test date,3/14/2017
Test time,15:50:24
Device ID,
Vdrain,Idrain,Vgate,Vsource,Vsubs,IdrainPerWg
0,1.00434E-07,0.6,0,-0.3,2.86954285714286E-09
0.01,2.3204E-05,0.6,0,-0.3,6.62971428571429E-07
0.02,4.4593E-05,0.6,0,-0.3,1.27408571428571E-06
0.03,6.3885E-05,0.6,0,-0.3,1.82528571428571E-06
0.04,8.1349E-05,0.6,0,-0.3,2.32425714285714E-06
0.05,9.7003E-05,0.6,0,-0.3,2.77151428571429E-06
0.06,0.00011111,0.6,0,-0.3,3.17457142857143E-06
0.07,0.00012353,0.6,0,-0.3,3.52942857142857E-06
0.08,0.00013458,0.6,0,-0.3,3.84514285714286E-06
0.09,0.00014422,0.6,0,-0.3,4.12057142857143E-06
0.1,0.00015256,0.6,0,-0.3,4.35885714285714E-06
0.11,0.00015987,0.6,0,-0.3,4.56771428571429E-06
0.12,0.00016612,0.6,0,-0.3,4.74628571428571E-06
0.13,0.00017151,0.6,0,-0.3,4.90028571428571E-06
0.14,0.00017608,0.6,0,-0.3,5.03085714285714E-06
0.15,0.00017999,0.6,0,-0.3,5.14257142857143E-06
0.16,0.00018332,0.6,0,-0.3,5.23771428571429E-06
0.17,0.00018619,0.6,0,-0.3,5.31971428571429E-06
0.18,0.00018868,0.6,0,-0.3,5.39085714285714E-06
0.19,0.0001908,0.6,0,-0.3,5.45142857142857E-06
0.2,0.00019255,0.6,0,-0.3,5.50142857142857E-06
0.21,0.00019414,0.6,0,-0.3,5.54685714285714E-06
0.22,0.00019555,0.6,0,-0.3,5.58714285714286E-06
0.23,0.00019679,0.6,0,-0.3,5.62257142857143E-06
0.24,0.00019788,0.6,0,-0.3,5.65371428571429E-06
0.25,0.00019886,0.6,0,-0.3,5.68171428571429E-06
0.26,0.00019983,0.6,0,-0.3,5.70942857142857E-06
0.27,0.00020067,0.6,0,-0.3,5.73342857142857E-06
0.28,0.0002015,0.6,0,-0.3,5.75714285714286E-06
0.29,0.00020218,0.6,0,-0.3,5.77657142857143E-06
0.3,0.00020291,0.6,0,-0.3,5.79742857142857E-06
0.31,0.00020354,0.6,0,-0.3,5.81542857142857E-06
0.32,0.00020416,0.6,0,-0.3,5.83314285714286E-06
0.33,0.00020482,0.6,0,-0.3,5.852E-06
0.34,0.00020535,0.6,0,-0.3,5.86714285714286E-06
0.35,0.00020591,0.6,0,-0.3,5.88314285714286E-06
0.36,0.00020643,0.6,0,-0.3,5.898E-06
0.37,0.00020697,0.6,0,-0.3,5.91342857142857E-06
0.38,0.0002075,0.6,0,-0.3,5.92857142857143E-06
0.39,0.00020799,0.6,0,-0.3,5.94257142857143E-06
0.4,0.00020846,0.6,0,-0.3,5.956E-06
0.41,0.00020893,0.6,0,-0.3,5.96942857142857E-06
0.42,0.00020941,0.6,0,-0.3,5.98314285714286E-06
0.43,0.00020985,0.6,0,-0.3,5.99571428571429E-06
0.44,0.00021024,0.6,0,-0.3,6.00685714285714E-06
0.45,0.00021071,0.6,0,-0.3,6.02028571428571E-06
0.46,0.00021114,0.6,0,-0.3,6.03257142857143E-06
0.47,0.00021159,0.6,0,-0.3,6.04542857142857E-06
