Setup title,"N-18 Id-Vg (fast)"
Classic test name,"I/V Sweep"
Test date,3/21/2017
Test time,15:31:19
Device ID,
Vgate,Idrain,Isubs,Vsource,Vdrain,Vsubs,V4
0,-9.42E-10,5.724E-08,0,0.05,0,
0.018,1.2151E-09,5.5096E-07,0,0.05,0,
0.036,-7.743E-10,1.568E-08,0,0.05,0,
0.054,9.447E-10,3.8482E-07,0,0.05,0,
0.072,-1.0174E-09,-4.5472E-07,0,0.05,0,
0.09,1.2479E-09,5.5624E-07,0,0.05,0,
0.108,-7.516E-10,1.752E-08,0,0.05,0,
0.126,9.063E-10,3.8932E-07,0,0.05,0,
0.144,-7.846E-10,-3.9786E-07,0,0.05,0,
0.162,1.3583E-09,5.4164E-07,0,0.05,0,
0.18,1.5111E-09,-8.21E-08,0,0.05,0,
0.198,-3.334E-10,2.578E-08,0,0.05,0,
0.216,1.7792E-09,4.1168E-07,0,0.05,0,
0.234,2.5027E-09,-4.8222E-07,0,0.05,0,
0.252,1.2985E-09,4.542E-08,0,0.05,0,
0.27,4.9212E-09,5.4598E-07,0,0.05,0,
0.288,6.3081E-09,-1.5884E-07,0,0.05,0,
0.306,8.9384E-09,2.802E-08,0,0.05,0,
0.324,1.56176E-08,-3.722E-08,0,0.05,0,
0.342,2.71688E-08,1.06E-08,0,0.05,0,
0.36,3.86316E-08,4.7558E-07,0,0.05,0,
0.378,5.90888E-08,3.538E-07,0,0.05,0,
0.396,8.94954E-08,3.893E-07,0,0.05,0,
0.414,1.2602E-07,8.414E-08,0,0.05,0,
0.432,1.8104E-07,-4.512E-08,0,0.05,0,
0.45,2.4674E-07,3.902E-08,0,0.05,0,
0.468,3.378E-07,-2.814E-08,0,0.05,0,
0.486,4.411E-07,3.032E-08,0,0.05,0,
0.504,5.7364E-07,-3.554E-08,0,0.05,0,
0.522,7.3098E-07,2.412E-08,0,0.05,0,
0.54,9.1354E-07,-2.554E-08,0,0.05,0,
0.558,1.1203E-06,3.178E-08,0,0.05,0,
0.576,1.3541E-06,3.8602E-07,0,0.05,0,
0.594,1.61E-06,1.1554E-07,0,0.05,0,
0.612,1.8831E-06,-2.3488E-07,0,0.05,0,
0.63,2.1782E-06,3.972E-08,0,0.05,0,
0.648,2.4898E-06,4.461E-07,0,0.05,0,
0.666,2.8172E-06,-1.48E-08,0,0.05,0,
0.684,3.1426E-06,-3.1434E-07,0,0.05,0,
0.702,3.4979E-06,4.672E-07,0,0.05,0,
0.72,3.8542E-06,2.536E-08,0,0.05,0,
0.738,4.2204E-06,-1.7668E-07,0,0.05,0,
0.756,4.5896E-06,4.1904E-07,0,0.05,0,
0.774,4.9628E-06,5.2264E-07,0,0.05,0,
