Setup title,P-18-Id-Vd
Application test name,Id-Vd
Test date,3/22/2017
Test time,11:30:19
Device ID,
Vdrain,Idrain,Vgate,Vsource,Vsubs,IdrainPerWg
0,-3.1757E-08,-0.6,0,0.3,-9.07342857142857E-10
-0.01,-2.7619E-06,-0.6,0,0.3,-7.89114285714286E-08
-0.02,-5.0682E-06,-0.6,0,0.3,-1.44805714285714E-07
-0.03,-7.0264E-06,-0.6,0,0.3,-2.00754285714286E-07
-0.04,-8.6612E-06,-0.6,0,0.3,-2.47462857142857E-07
-0.05,-1.00102E-05,-0.6,0,0.3,-2.86005714285714E-07
-0.06,-1.11212E-05,-0.6,0,0.3,-3.17748571428571E-07
-0.07,-1.2003E-05,-0.6,0,0.3,-3.42942857142857E-07
-0.08,-1.2726E-05,-0.6,0,0.3,-3.636E-07
-0.09,-1.3289E-05,-0.6,0,0.3,-3.79685714285714E-07
-0.1,-1.3732E-05,-0.6,0,0.3,-3.92342857142857E-07
-0.11,-1.4081E-05,-0.6,0,0.3,-4.02314285714286E-07
-0.12,-1.4359E-05,-0.6,0,0.3,-4.10257142857143E-07
-0.13,-1.4584E-05,-0.6,0,0.3,-4.16685714285714E-07
-0.14,-1.4764E-05,-0.6,0,0.3,-4.21828571428571E-07
-0.15,-1.4914E-05,-0.6,0,0.3,-4.26114285714286E-07
-0.16,-1.503E-05,-0.6,0,0.3,-4.29428571428571E-07
-0.17,-1.5131E-05,-0.6,0,0.3,-4.32314285714286E-07
-0.18,-1.5216E-05,-0.6,0,0.3,-4.34742857142857E-07
-0.19,-1.53E-05,-0.6,0,0.3,-4.37142857142857E-07
-0.2,-1.536E-05,-0.6,0,0.3,-4.38857142857143E-07
-0.21,-1.5424E-05,-0.6,0,0.3,-4.40685714285714E-07
-0.22,-1.5472E-05,-0.6,0,0.3,-4.42057142857143E-07
-0.23,-1.5518E-05,-0.6,0,0.3,-4.43371428571429E-07
-0.24,-1.557E-05,-0.6,0,0.3,-4.44857142857143E-07
-0.25,-1.5605E-05,-0.6,0,0.3,-4.45857142857143E-07
-0.26,-1.5663E-05,-0.6,0,0.3,-4.47514285714286E-07
-0.27,-1.5694E-05,-0.6,0,0.3,-4.484E-07
-0.28,-1.5726E-05,-0.6,0,0.3,-4.49314285714286E-07
-0.29,-1.5769E-05,-0.6,0,0.3,-4.50542857142857E-07
-0.3,-1.5793E-05,-0.6,0,0.3,-4.51228571428571E-07
-0.31,-1.583E-05,-0.6,0,0.3,-4.52285714285714E-07
-0.32,-1.5863E-05,-0.6,0,0.3,-4.53228571428571E-07
-0.33,-1.5891E-05,-0.6,0,0.3,-4.54028571428571E-07
-0.34,-1.5922E-05,-0.6,0,0.3,-4.54914285714286E-07
-0.35,-1.5961E-05,-0.6,0,0.3,-4.56028571428571E-07
-0.36,-1.5984E-05,-0.6,0,0.3,-4.56685714285714E-07
-0.37,-1.6019E-05,-0.6,0,0.3,-4.57685714285714E-07
-0.38,-1.6042E-05,-0.6,0,0.3,-4.58342857142857E-07
-0.39,-1.6079E-05,-0.6,0,0.3,-4.594E-07
-0.4,-1.6104E-05,-0.6,0,0.3,-4.60114285714286E-07
-0.41,-1.6122E-05,-0.6,0,0.3,-4.60628571428571E-07
-0.42,-1.6158E-05,-0.6,0,0.3,-4.61657142857143E-07
-0.43,-1.6176E-05,-0.6,0,0.3,-4.62171428571429E-07
-0.44,-1.6209E-05,-0.6,0,0.3,-4.63114285714286E-07
-0.45,-1.6232E-05,-0.6,0,0.3,-4.63771428571428E-07
-0.46,-1.6252E-05,-0.6,0,0.3,-4.64342857142857E-07
-0.47,-1.6282E-05,-0.6,0,0.3,-4.652E-07
-0.48,-1.6291E-05,-0.6,0,0.3,-4.65457142857143E-07
-0.49,-1.6329E-05,-0.6,0,0.3,-4.66542857142857E-07
-0.5,-1.6347E-05,-0.6,0,0.3,-4.67057142857143E-07
-0.51,-1.6372E-05,-0.6,0,0.3,-4.67771428571429E-07
-0.52,-1.639E-05,-0.6,0,0.3,-4.68285714285714E-07
-0.53,-1.6408E-05,-0.6,0,0.3,-4.688E-07
-0.54,-1.644E-05,-0.6,0,0.3,-4.69714285714286E-07
-0.55,-1.646E-05,-0.6,0,0.3,-4.70285714285714E-07
-0.56,-1.6482E-05,-0.6,0,0.3,-4.70914285714286E-07
-0.57,-1.6496E-05,-0.6,0,0.3,-4.71314285714286E-07
-0.58,-1.6525E-05,-0.6,0,0.3,-4.72142857142857E-07
-0.59,-1.6538E-05,-0.6,0,0.3,-4.72514285714286E-07
-0.6,-1.6561E-05,-0.6,0,0.3,-4.73171428571428E-07
-0.61,-1.6571E-05,-0.6,0,0.3,-4.73457142857143E-07
-0.62,-1.6603E-05,-0.6,0,0.3,-4.74371428571428E-07
-0.63,-1.6622E-05,-0.6,0,0.3,-4.74914285714286E-07
-0.64,-1.6639E-05,-0.6,0,0.3,-4.754E-07
-0.65,-1.6655E-05,-0.6,0,0.3,-4.75857142857143E-07
-0.66,-1.6677E-05,-0.6,0,0.3,-4.76485714285714E-07
-0.67,-1.67E-05,-0.6,0,0.3,-4.77142857142857E-07
-0.68,-1.671E-05,-0.6,0,0.3,-4.77428571428571E-07
-0.69,-1.6731E-05,-0.6,0,0.3,-4.78028571428571E-07
-0.7,-1.6759E-05,-0.6,0,0.3,-4.78828571428571E-07
-0.71,-1.6761E-05,-0.6,0,0.3,-4.78885714285714E-07
-0.72,-1.679E-05,-0.6,0,0.3,-4.79714285714286E-07
-0.73,-1.6803E-05,-0.6,0,0.3,-4.80085714285714E-07
-0.74,-1.6829E-05,-0.6,0,0.3,-4.80828571428571E-07
-0.75,-1.6839E-05,-0.6,0,0.3,-4.81114285714286E-07
-0.76,-1.6869E-05,-0.6,0,0.3,-4.81971428571429E-07
-0.77,-1.6875E-05,-0.6,0,0.3,-4.82142857142857E-07
-0.78,-1.6886E-05,-0.6,0,0.3,-4.82457142857143E-07
-0.79,-1.6911E-05,-0.6,0,0.3,-4.83171428571429E-07
-0.8,-1.6932E-05,-0.6,0,0.3,-4.83771428571428E-07
-0.81,-1.6945E-05,-0.6,0,0.3,-4.84142857142857E-07
-0.82,-1.6961E-05,-0.6,0,0.3,-4.846E-07
-0.83,-1.6978E-05,-0.6,0,0.3,-4.85085714285714E-07
-0.84,-1.6997E-05,-0.6,0,0.3,-4.85628571428571E-07
-0.85,-1.7004E-05,-0.6,0,0.3,-4.85828571428571E-07
-0.86,-1.7034E-05,-0.6,0,0.3,-4.86685714285714E-07
-0.87,-1.7048E-05,-0.6,0,0.3,-4.87085714285714E-07
-0.88,-1.7071E-05,-0.6,0,0.3,-4.87742857142857E-07
-0.89,-1.7079E-05,-0.6,0,0.3,-4.87971428571428E-07
-0.9,-1.7098E-05,-0.6,0,0.3,-4.88514285714286E-07
-0.91,-1.7109E-05,-0.6,0,0.3,-4.88828571428571E-07
-0.92,-1.7129E-05,-0.6,0,0.3,-4.894E-07
-0.93,-1.7143E-05,-0.6,0,0.3,-4.898E-07
-0.94,-1.7146E-05,-0.6,0,0.3,-4.89885714285714E-07
-0.95,-1.7172E-05,-0.6,0,0.3,-4.90628571428571E-07
-0.96,-1.7187E-05,-0.6,0,0.3,-4.91057142857143E-07
-0.97,-1.7203E-05,-0.6,0,0.3,-4.91514285714286E-07
-0.98,-1.7217E-05,-0.6,0,0.3,-4.91914285714286E-07
-0.99,-1.7222E-05,-0.6,0,0.3,-4.92057142857143E-07
-1,-1.7254E-05,-0.6,0,0.3,-4.92971428571429E-07
-1.01,-1.7257E-05,-0.6,0,0.3,-4.93057142857143E-07
-1.02,-1.7281E-05,-0.6,0,0.3,-4.93742857142857E-07
-1.03,-1.7285E-05,-0.6,0,0.3,-4.93857142857143E-07
-1.04,-1.7305E-05,-0.6,0,0.3,-4.94428571428571E-07
-1.05,-1.732E-05,-0.6,0,0.3,-4.94857142857143E-07
-1.06,-1.7336E-05,-0.6,0,0.3,-4.95314285714286E-07
-1.07,-1.7345E-05,-0.6,0,0.3,-4.95571428571429E-07
-1.08,-1.7365E-05,-0.6,0,0.3,-4.96142857142857E-07
-1.09,-1.738E-05,-0.6,0,0.3,-4.96571428571428E-07
-1.1,-1.7401E-05,-0.6,0,0.3,-4.97171428571429E-07
-1.11,-1.7405E-05,-0.6,0,0.3,-4.97285714285714E-07
-1.12,-1.7412E-05,-0.6,0,0.3,-4.97485714285714E-07
-1.13,-1.7441E-05,-0.6,0,0.3,-4.98314285714286E-07
-1.14,-1.745E-05,-0.6,0,0.3,-4.98571428571429E-07
-1.15,-1.746E-05,-0.6,0,0.3,-4.98857142857143E-07
-1.16,-1.7463E-05,-0.6,0,0.3,-4.98942857142857E-07
-1.17,-1.7478E-05,-0.6,0,0.3,-4.99371428571428E-07
-1.18,-1.7495E-05,-0.6,0,0.3,-4.99857142857143E-07
-1.19,-1.7514E-05,-0.6,0,0.3,-5.004E-07
-1.2,-1.7523E-05,-0.6,0,0.3,-5.00657142857143E-07
-1.21,-1.7538E-05,-0.6,0,0.3,-5.01085714285714E-07
-1.22,-1.7552E-05,-0.6,0,0.3,-5.01485714285714E-07
-1.23,-1.756E-05,-0.6,0,0.3,-5.01714285714286E-07
-1.24,-1.7571E-05,-0.6,0,0.3,-5.02028571428571E-07
-1.25,-1.7574E-05,-0.6,0,0.3,-5.02114285714286E-07
-1.26,-1.7603E-05,-0.6,0,0.3,-5.02942857142857E-07
-1.27,-1.7604E-05,-0.6,0,0.3,-5.02971428571428E-07
-1.28,-1.762E-05,-0.6,0,0.3,-5.03428571428571E-07
-1.29,-1.7634E-05,-0.6,0,0.3,-5.03828571428571E-07
-1.3,-1.7642E-05,-0.6,0,0.3,-5.04057142857143E-07
-1.31,-1.7662E-05,-0.6,0,0.3,-5.04628571428571E-07
-1.32,-1.7673E-05,-0.6,0,0.3,-5.04942857142857E-07
-1.33,-1.7681E-05,-0.6,0,0.3,-5.05171428571429E-07
-1.34,-1.769E-05,-0.6,0,0.3,-5.05428571428571E-07
-1.35,-1.7713E-05,-0.6,0,0.3,-5.06085714285714E-07
-1.36,-1.7723E-05,-0.6,0,0.3,-5.06371428571428E-07
-1.37,-1.7738E-05,-0.6,0,0.3,-5.068E-07
-1.38,-1.7749E-05,-0.6,0,0.3,-5.07114285714286E-07
-1.39,-1.7755E-05,-0.6,0,0.3,-5.07285714285714E-07
-1.4,-1.7769E-05,-0.6,0,0.3,-5.07685714285714E-07
-1.41,-1.7779E-05,-0.6,0,0.3,-5.07971428571429E-07
-1.42,-1.779E-05,-0.6,0,0.3,-5.08285714285714E-07
-1.43,-1.7801E-05,-0.6,0,0.3,-5.086E-07
-1.44,-1.7829E-05,-0.6,0,0.3,-5.094E-07
-1.45,-1.7825E-05,-0.6,0,0.3,-5.09285714285714E-07
-1.46,-1.785E-05,-0.6,0,0.3,-5.1E-07
-1.47,-1.786E-05,-0.6,0,0.3,-5.10285714285714E-07
-1.48,-1.7869E-05,-0.6,0,0.3,-5.10542857142857E-07
-1.49,-1.7872E-05,-0.6,0,0.3,-5.10628571428571E-07
-1.5,-1.7879E-05,-0.6,0,0.3,-5.10828571428571E-07
-1.51,-1.7907E-05,-0.6,0,0.3,-5.11628571428571E-07
-1.52,-1.7905E-05,-0.6,0,0.3,-5.11571428571429E-07
-1.53,-1.7921E-05,-0.6,0,0.3,-5.12028571428571E-07
-1.54,-1.7931E-05,-0.6,0,0.3,-5.12314285714286E-07
-1.55,-1.793E-05,-0.6,0,0.3,-5.12285714285714E-07
-1.56,-1.7955E-05,-0.6,0,0.3,-5.13E-07
-1.57,-1.7961E-05,-0.6,0,0.3,-5.13171428571428E-07
-1.58,-1.7973E-05,-0.6,0,0.3,-5.13514285714286E-07
-1.59,-1.7977E-05,-0.6,0,0.3,-5.13628571428571E-07
-1.6,-1.7994E-05,-0.6,0,0.3,-5.14114285714286E-07
-1.61,-1.8004E-05,-0.6,0,0.3,-5.144E-07
-1.62,-1.8027E-05,-0.6,0,0.3,-5.15057142857143E-07
-1.63,-1.8028E-05,-0.6,0,0.3,-5.15085714285714E-07
-1.64,-1.8036E-05,-0.6,0,0.3,-5.15314285714286E-07
-1.65,-1.8056E-05,-0.6,0,0.3,-5.15885714285714E-07
-1.66,-1.805E-05,-0.6,0,0.3,-5.15714285714286E-07
-1.67,-1.8069E-05,-0.6,0,0.3,-5.16257142857143E-07
-1.68,-1.8079E-05,-0.6,0,0.3,-5.16542857142857E-07
-1.69,-1.8086E-05,-0.6,0,0.3,-5.16742857142857E-07
-1.7,-1.8101E-05,-0.6,0,0.3,-5.17171428571429E-07
-1.71,-1.8104E-05,-0.6,0,0.3,-5.17257142857143E-07
-1.72,-1.8124E-05,-0.6,0,0.3,-5.17828571428571E-07
-1.73,-1.8129E-05,-0.6,0,0.3,-5.17971428571429E-07
-1.74,-1.8143E-05,-0.6,0,0.3,-5.18371428571429E-07
-1.75,-1.8146E-05,-0.6,0,0.3,-5.18457142857143E-07
-1.76,-1.8163E-05,-0.6,0,0.3,-5.18942857142857E-07
-1.77,-1.8171E-05,-0.6,0,0.3,-5.19171428571428E-07
-1.78,-1.8178E-05,-0.6,0,0.3,-5.19371428571429E-07
-1.79,-1.8177E-05,-0.6,0,0.3,-5.19342857142857E-07
-1.8,-1.8198E-05,-0.6,0,0.3,-5.19942857142857E-07
0,4.8008E-07,-0.9,0,0.3,1.37165714285714E-08
-0.01,-1.5275E-05,-0.9,0,0.3,-4.36428571428571E-07
-0.02,-2.9687E-05,-0.9,0,0.3,-8.482E-07
-0.03,-4.3674E-05,-0.9,0,0.3,-1.24782857142857E-06
-0.04,-5.7022E-05,-0.9,0,0.3,-1.6292E-06
-0.05,-6.9758E-05,-0.9,0,0.3,-1.99308571428571E-06
-0.06,-8.2097E-05,-0.9,0,0.3,-2.34562857142857E-06
-0.07,-9.381E-05,-0.9,0,0.3,-2.68028571428571E-06
-0.08,-0.00010505,-0.9,0,0.3,-3.00142857142857E-06
-0.09,-0.00011551,-0.9,0,0.3,-3.30028571428571E-06
-0.1,-0.00012558,-0.9,0,0.3,-3.588E-06
-0.11,-0.00013514,-0.9,0,0.3,-3.86114285714286E-06
-0.12,-0.00014416,-0.9,0,0.3,-4.11885714285714E-06
-0.13,-0.00015266,-0.9,0,0.3,-4.36171428571429E-06
-0.14,-0.00016066,-0.9,0,0.3,-4.59028571428571E-06
-0.15,-0.0001681,-0.9,0,0.3,-4.80285714285714E-06
-0.16,-0.00017506,-0.9,0,0.3,-5.00171428571429E-06
-0.17,-0.0001815,-0.9,0,0.3,-5.18571428571429E-06
-0.18,-0.00018747,-0.9,0,0.3,-5.35628571428571E-06
-0.19,-0.00019297,-0.9,0,0.3,-5.51342857142857E-06
-0.2,-0.00019802,-0.9,0,0.3,-5.65771428571429E-06
-0.21,-0.00020266,-0.9,0,0.3,-5.79028571428571E-06
-0.22,-0.00020684,-0.9,0,0.3,-5.90971428571428E-06
-0.23,-0.00021065,-0.9,0,0.3,-6.01857142857143E-06
-0.24,-0.00021405,-0.9,0,0.3,-6.11571428571429E-06
-0.25,-0.00021712,-0.9,0,0.3,-6.20342857142857E-06
-0.26,-0.0002199,-0.9,0,0.3,-6.28285714285714E-06
-0.27,-0.00022238,-0.9,0,0.3,-6.35371428571429E-06
-0.28,-0.00022458,-0.9,0,0.3,-6.41657142857143E-06
-0.29,-0.00022657,-0.9,0,0.3,-6.47342857142857E-06
-0.3,-0.0002283,-0.9,0,0.3,-6.52285714285714E-06
-0.31,-0.00022989,-0.9,0,0.3,-6.56828571428571E-06
-0.32,-0.00023131,-0.9,0,0.3,-6.60885714285714E-06
-0.33,-0.00023253,-0.9,0,0.3,-6.64371428571429E-06
-0.34,-0.00023369,-0.9,0,0.3,-6.67685714285714E-06
-0.35,-0.00023471,-0.9,0,0.3,-6.706E-06
-0.36,-0.00023564,-0.9,0,0.3,-6.73257142857143E-06
-0.37,-0.00023647,-0.9,0,0.3,-6.75628571428571E-06
-0.38,-0.00023724,-0.9,0,0.3,-6.77828571428571E-06
-0.39,-0.00023795,-0.9,0,0.3,-6.79857142857143E-06
-0.4,-0.00023863,-0.9,0,0.3,-6.818E-06
-0.41,-0.00023924,-0.9,0,0.3,-6.83542857142857E-06
-0.42,-0.0002398,-0.9,0,0.3,-6.85142857142857E-06
-0.43,-0.00024031,-0.9,0,0.3,-6.866E-06
-0.44,-0.00024084,-0.9,0,0.3,-6.88114285714286E-06
-0.45,-0.00024131,-0.9,0,0.3,-6.89457142857143E-06
-0.46,-0.00024179,-0.9,0,0.3,-6.90828571428571E-06
-0.47,-0.00024221,-0.9,0,0.3,-6.92028571428571E-06
-0.48,-0.00024265,-0.9,0,0.3,-6.93285714285714E-06
-0.49,-0.00024307,-0.9,0,0.3,-6.94485714285714E-06
-0.5,-0.00024345,-0.9,0,0.3,-6.95571428571429E-06
-0.51,-0.00024383,-0.9,0,0.3,-6.96657142857143E-06
-0.52,-0.00024417,-0.9,0,0.3,-6.97628571428571E-06
-0.53,-0.00024454,-0.9,0,0.3,-6.98685714285714E-06
-0.54,-0.00024487,-0.9,0,0.3,-6.99628571428571E-06
-0.55,-0.00024522,-0.9,0,0.3,-7.00628571428572E-06
-0.56,-0.00024552,-0.9,0,0.3,-7.01485714285714E-06
-0.57,-0.00024584,-0.9,0,0.3,-7.024E-06
-0.58,-0.00024615,-0.9,0,0.3,-7.03285714285714E-06
-0.59,-0.00024647,-0.9,0,0.3,-7.042E-06
-0.6,-0.00024676,-0.9,0,0.3,-7.05028571428571E-06
-0.61,-0.00024705,-0.9,0,0.3,-7.05857142857143E-06
-0.62,-0.00024733,-0.9,0,0.3,-7.06657142857143E-06
-0.63,-0.00024763,-0.9,0,0.3,-7.07514285714286E-06
-0.64,-0.00024789,-0.9,0,0.3,-7.08257142857143E-06
-0.65,-0.00024816,-0.9,0,0.3,-7.09028571428571E-06
-0.66,-0.00024842,-0.9,0,0.3,-7.09771428571429E-06
-0.67,-0.00024869,-0.9,0,0.3,-7.10542857142857E-06
-0.68,-0.00024894,-0.9,0,0.3,-7.11257142857143E-06
-0.69,-0.00024918,-0.9,0,0.3,-7.11942857142857E-06
-0.7,-0.00024943,-0.9,0,0.3,-7.12657142857143E-06
-0.71,-0.0002497,-0.9,0,0.3,-7.13428571428571E-06
-0.72,-0.00024992,-0.9,0,0.3,-7.14057142857143E-06
-0.73,-0.00025017,-0.9,0,0.3,-7.14771428571429E-06
-0.74,-0.0002504,-0.9,0,0.3,-7.15428571428571E-06
-0.75,-0.00025066,-0.9,0,0.3,-7.16171428571428E-06
-0.76,-0.00025089,-0.9,0,0.3,-7.16828571428571E-06
-0.77,-0.00025111,-0.9,0,0.3,-7.17457142857143E-06
-0.78,-0.00025135,-0.9,0,0.3,-7.18142857142857E-06
-0.79,-0.00025158,-0.9,0,0.3,-7.188E-06
-0.8,-0.0002518,-0.9,0,0.3,-7.19428571428571E-06
-0.81,-0.000252,-0.9,0,0.3,-7.2E-06
-0.82,-0.00025219,-0.9,0,0.3,-7.20542857142857E-06
-0.83,-0.00025246,-0.9,0,0.3,-7.21314285714286E-06
-0.84,-0.00025266,-0.9,0,0.3,-7.21885714285714E-06
-0.85,-0.00025285,-0.9,0,0.3,-7.22428571428571E-06
-0.86,-0.00025307,-0.9,0,0.3,-7.23057142857143E-06
-0.87,-0.00025325,-0.9,0,0.3,-7.23571428571428E-06
-0.88,-0.00025346,-0.9,0,0.3,-7.24171428571428E-06
-0.89,-0.00025366,-0.9,0,0.3,-7.24742857142857E-06
-0.9,-0.00025389,-0.9,0,0.3,-7.254E-06
-0.91,-0.00025406,-0.9,0,0.3,-7.25885714285714E-06
-0.92,-0.00025424,-0.9,0,0.3,-7.264E-06
-0.93,-0.00025447,-0.9,0,0.3,-7.27057142857143E-06
-0.94,-0.00025466,-0.9,0,0.3,-7.276E-06
-0.95,-0.00025482,-0.9,0,0.3,-7.28057142857143E-06
-0.96,-0.00025502,-0.9,0,0.3,-7.28628571428571E-06
-0.97,-0.00025521,-0.9,0,0.3,-7.29171428571429E-06
-0.98,-0.00025541,-0.9,0,0.3,-7.29742857142857E-06
-0.99,-0.00025558,-0.9,0,0.3,-7.30228571428571E-06
-1,-0.00025578,-0.9,0,0.3,-7.308E-06
