Setup title,N-18-Id-Vd
Application test name,Id-Vd
Test date,3/22/2017
Test time,16:48:43
Device ID,
Vdrain,Idrain,Vgate,Vsource,Vsubs,IdrainPerWg
0,-1.8102E-08,0.6,0,-0.4,-5.172E-10
0.01,9.3787E-08,0.6,0,-0.4,2.67962857142857E-09
0.02,1.743E-07,0.6,0,-0.4,4.98E-09
0.03,2.4155E-07,0.6,0,-0.4,6.90142857142857E-09
0.04,2.947E-07,0.6,0,-0.4,8.42E-09
0.05,3.4101E-07,0.6,0,-0.4,9.74314285714286E-09
0.06,3.8286E-07,0.6,0,-0.4,1.09388571428571E-08
0.07,4.1664E-07,0.6,0,-0.4,1.1904E-08
0.08,4.4742E-07,0.6,0,-0.4,1.27834285714286E-08
0.09,4.8531E-07,0.6,0,-0.4,1.3866E-08
0.1,5.0837E-07,0.6,0,-0.4,1.45248571428571E-08
0.11,5.3378E-07,0.6,0,-0.4,1.52508571428571E-08
0.12,5.5442E-07,0.6,0,-0.4,1.58405714285714E-08
0.13,5.9893E-07,0.6,0,-0.4,1.71122857142857E-08
0.14,6.0456E-07,0.6,0,-0.4,1.72731428571429E-08
0.15,6.4167E-07,0.6,0,-0.4,1.83334285714286E-08
0.16,6.4601E-07,0.6,0,-0.4,1.84574285714286E-08
0.17,6.694E-07,0.6,0,-0.4,1.91257142857143E-08
0.18,6.917E-07,0.6,0,-0.4,1.97628571428571E-08
0.19,7.0442E-07,0.6,0,-0.4,2.01262857142857E-08
0.2,7.1519E-07,0.6,0,-0.4,2.0434E-08
0.21,7.2585E-07,0.6,0,-0.4,2.07385714285714E-08
0.22,7.4764E-07,0.6,0,-0.4,2.13611428571429E-08
0.23,7.7277E-07,0.6,0,-0.4,2.20791428571429E-08
0.24,7.753E-07,0.6,0,-0.4,2.21514285714286E-08
0.25,8.1442E-07,0.6,0,-0.4,2.32691428571429E-08
0.26,8.1763E-07,0.6,0,-0.4,2.33608571428571E-08
0.27,8.3817E-07,0.6,0,-0.4,2.39477142857143E-08
0.28,8.4418E-07,0.6,0,-0.4,2.41194285714286E-08
0.29,8.6659E-07,0.6,0,-0.4,2.47597142857143E-08
0.3,8.7462E-07,0.6,0,-0.4,2.49891428571429E-08
0.31,9.1802E-07,0.6,0,-0.4,2.62291428571429E-08
0.32,9.1771E-07,0.6,0,-0.4,2.62202857142857E-08
0.33,9.2241E-07,0.6,0,-0.4,2.63545714285714E-08
0.34,9.6012E-07,0.6,0,-0.4,2.7432E-08
0.35,9.5502E-07,0.6,0,-0.4,2.72862857142857E-08
0.36,9.6832E-07,0.6,0,-0.4,2.76662857142857E-08
0.37,9.8954E-07,0.6,0,-0.4,2.82725714285714E-08
0.38,1.01576E-06,0.6,0,-0.4,2.90217142857143E-08
0.39,1.03095E-06,0.6,0,-0.4,2.94557142857143E-08
0.4,1.03204E-06,0.6,0,-0.4,2.94868571428571E-08
0.41,1.06729E-06,0.6,0,-0.4,3.0494E-08
0.42,1.08078E-06,0.6,0,-0.4,3.08794285714286E-08
0.43,1.07096E-06,0.6,0,-0.4,3.05988571428571E-08
0.44,1.10087E-06,0.6,0,-0.4,3.14534285714286E-08
0.45,1.1013E-06,0.6,0,-0.4,3.14657142857143E-08
0.46,1.1461E-06,0.6,0,-0.4,3.27457142857143E-08
0.47,1.1536E-06,0.6,0,-0.4,3.296E-08
0.48,1.1459E-06,0.6,0,-0.4,3.274E-08
0.49,1.1738E-06,0.6,0,-0.4,3.35371428571429E-08
0.5,1.2329E-06,0.6,0,-0.4,3.52257142857143E-08
0.51,1.2413E-06,0.6,0,-0.4,3.54657142857143E-08
0.52,1.2358E-06,0.6,0,-0.4,3.53085714285714E-08
0.53,1.2554E-06,0.6,0,-0.4,3.58685714285714E-08
0.54,1.2858E-06,0.6,0,-0.4,3.67371428571429E-08
0.55,1.2639E-06,0.6,0,-0.4,3.61114285714286E-08
0.56,1.2899E-06,0.6,0,-0.4,3.68542857142857E-08
0.57,1.2994E-06,0.6,0,-0.4,3.71257142857143E-08
0.58,1.3134E-06,0.6,0,-0.4,3.75257142857143E-08
