Setup title,N-18-Id-Vd
Application test name,Id-Vd
Test date,3/22/2017
Test time,16:47:48
Device ID,
Vdrain,Idrain,Vgate,Vsource,Vsubs,IdrainPerWg
0,-2.6766E-08,0.6,0,0,-7.64742857142857E-10
0.01,2.0599E-07,0.6,0,0,5.88542857142857E-09
0.02,4.0064E-07,0.6,0,0,1.14468571428571E-08
0.03,5.6065E-07,0.6,0,0,1.60185714285714E-08
0.04,7.0498E-07,0.6,0,0,2.01422857142857E-08
0.05,8.3252E-07,0.6,0,0,2.37862857142857E-08
0.06,9.2453E-07,0.6,0,0,2.64151428571429E-08
0.07,1.01854E-06,0.6,0,0,2.91011428571428E-08
0.08,1.09436E-06,0.6,0,0,3.12674285714286E-08
0.09,1.1635E-06,0.6,0,0,3.32428571428571E-08
0.1,1.2403E-06,0.6,0,0,3.54371428571429E-08
0.11,1.2809E-06,0.6,0,0,3.65971428571429E-08
0.12,1.3507E-06,0.6,0,0,3.85914285714286E-08
0.13,1.4044E-06,0.6,0,0,4.01257142857143E-08
0.14,1.4719E-06,0.6,0,0,4.20542857142857E-08
0.15,1.4934E-06,0.6,0,0,4.26685714285714E-08
0.16,1.5328E-06,0.6,0,0,4.37942857142857E-08
0.17,1.5909E-06,0.6,0,0,4.54542857142857E-08
0.18,1.6139E-06,0.6,0,0,4.61114285714286E-08
0.19,1.6678E-06,0.6,0,0,4.76514285714286E-08
0.2,1.6843E-06,0.6,0,0,4.81228571428571E-08
0.21,1.7216E-06,0.6,0,0,4.91885714285714E-08
0.22,1.7486E-06,0.6,0,0,4.996E-08
0.23,1.8153E-06,0.6,0,0,5.18657142857143E-08
0.24,1.8278E-06,0.6,0,0,5.22228571428571E-08
0.25,1.8325E-06,0.6,0,0,5.23571428571429E-08
0.26,1.8626E-06,0.6,0,0,5.32171428571429E-08
0.27,1.9175E-06,0.6,0,0,5.47857142857143E-08
0.28,1.9408E-06,0.6,0,0,5.54514285714286E-08
0.29,1.9459E-06,0.6,0,0,5.55971428571429E-08
0.3,2.0038E-06,0.6,0,0,5.72514285714286E-08
0.31,2.0328E-06,0.6,0,0,5.808E-08
0.32,2.0353E-06,0.6,0,0,5.81514285714286E-08
0.33,2.0552E-06,0.6,0,0,5.872E-08
0.34,2.113E-06,0.6,0,0,6.03714285714286E-08
0.35,2.1289E-06,0.6,0,0,6.08257142857143E-08
0.36,2.1533E-06,0.6,0,0,6.15228571428571E-08
0.37,2.1843E-06,0.6,0,0,6.24085714285714E-08
0.38,2.2014E-06,0.6,0,0,6.28971428571429E-08
0.39,2.2272E-06,0.6,0,0,6.36342857142857E-08
0.4,2.2532E-06,0.6,0,0,6.43771428571428E-08
0.41,2.2648E-06,0.6,0,0,6.47085714285714E-08
0.42,2.3018E-06,0.6,0,0,6.57657142857143E-08
0.43,2.3385E-06,0.6,0,0,6.68142857142857E-08
0.44,2.347E-06,0.6,0,0,6.70571428571429E-08
0.45,2.4032E-06,0.6,0,0,6.86628571428571E-08
0.46,2.4437E-06,0.6,0,0,6.982E-08
0.47,2.4209E-06,0.6,0,0,6.91685714285714E-08
0.48,2.4864E-06,0.6,0,0,7.104E-08
0.49,2.5318E-06,0.6,0,0,7.23371428571428E-08
0.5,2.5008E-06,0.6,0,0,7.14514285714286E-08
0.51,2.5236E-06,0.6,0,0,7.21028571428571E-08
0.52,2.5499E-06,0.6,0,0,7.28542857142857E-08
0.53,2.6037E-06,0.6,0,0,7.43914285714286E-08
0.54,2.6045E-06,0.6,0,0,7.44142857142857E-08
0.55,2.6211E-06,0.6,0,0,7.48885714285714E-08
0.56,2.6634E-06,0.6,0,0,7.60971428571429E-08
0.57,2.7104E-06,0.6,0,0,7.744E-08
0.58,2.7178E-06,0.6,0,0,7.76514285714286E-08
0.59,2.7467E-06,0.6,0,0,7.84771428571428E-08
0.6,2.7714E-06,0.6,0,0,7.91828571428571E-08
0.61,2.812E-06,0.6,0,0,8.03428571428571E-08
0.62,2.8103E-06,0.6,0,0,8.02942857142857E-08
0.63,2.8292E-06,0.6,0,0,8.08342857142857E-08
0.64,2.8623E-06,0.6,0,0,8.178E-08
0.65,2.8781E-06,0.6,0,0,8.22314285714286E-08
0.66,2.926E-06,0.6,0,0,8.36E-08
0.67,2.9132E-06,0.6,0,0,8.32342857142857E-08
0.68,2.9658E-06,0.6,0,0,8.47371428571429E-08
0.69,2.9834E-06,0.6,0,0,8.524E-08
0.7,3.0108E-06,0.6,0,0,8.60228571428571E-08
0.71,3.0406E-06,0.6,0,0,8.68742857142857E-08
0.72,3.065E-06,0.6,0,0,8.75714285714286E-08
0.73,3.0952E-06,0.6,0,0,8.84342857142857E-08
0.74,3.0849E-06,0.6,0,0,8.814E-08
0.75,3.1354E-06,0.6,0,0,8.95828571428571E-08
0.76,3.1461E-06,0.6,0,0,8.98885714285714E-08
0.77,3.1597E-06,0.6,0,0,9.02771428571429E-08
0.78,3.1655E-06,0.6,0,0,9.04428571428571E-08
0.79,3.2447E-06,0.6,0,0,9.27057142857143E-08
0.8,3.2229E-06,0.6,0,0,9.20828571428571E-08
0.81,3.2521E-06,0.6,0,0,9.29171428571429E-08
0.82,3.2757E-06,0.6,0,0,9.35914285714286E-08
0.83,3.2866E-06,0.6,0,0,9.39028571428572E-08
0.84,3.3978E-06,0.6,0,0,9.708E-08
0.85,3.3839E-06,0.6,0,0,9.66828571428571E-08
0.86,3.4274E-06,0.6,0,0,9.79257142857143E-08
0.87,3.4022E-06,0.6,0,0,9.72057142857143E-08
0.88,3.4316E-06,0.6,0,0,9.80457142857143E-08
0.89,3.4399E-06,0.6,0,0,9.82828571428571E-08
0.9,3.5357E-06,0.6,0,0,1.0102E-07
0.91,3.5189E-06,0.6,0,0,1.0054E-07
0.92,3.5088E-06,0.6,0,0,1.00251428571429E-07
0.93,3.5429E-06,0.6,0,0,1.01225714285714E-07
0.94,3.5904E-06,0.6,0,0,1.02582857142857E-07
0.95,3.5719E-06,0.6,0,0,1.02054285714286E-07
0.96,3.5958E-06,0.6,0,0,1.02737142857143E-07
0.97,3.6209E-06,0.6,0,0,1.03454285714286E-07
0.98,3.6378E-06,0.6,0,0,1.03937142857143E-07
0.99,3.6872E-06,0.6,0,0,1.05348571428571E-07
1,3.7038E-06,0.6,0,0,1.05822857142857E-07
1.01,3.6757E-06,0.6,0,0,1.0502E-07
1.02,3.7481E-06,0.6,0,0,1.07088571428571E-07
1.03,3.7368E-06,0.6,0,0,1.06765714285714E-07
1.04,3.7518E-06,0.6,0,0,1.07194285714286E-07
1.05,3.7551E-06,0.6,0,0,1.07288571428571E-07
1.06,3.8251E-06,0.6,0,0,1.09288571428571E-07
1.07,3.8555E-06,0.6,0,0,1.10157142857143E-07
1.08,3.8442E-06,0.6,0,0,1.09834285714286E-07
1.09,3.8758E-06,0.6,0,0,1.10737142857143E-07
1.1,3.895E-06,0.6,0,0,1.11285714285714E-07
1.11,3.8905E-06,0.6,0,0,1.11157142857143E-07
1.12,3.9031E-06,0.6,0,0,1.11517142857143E-07
1.13,3.9677E-06,0.6,0,0,1.13362857142857E-07
1.14,4.0066E-06,0.6,0,0,1.14474285714286E-07
1.15,4.0404E-06,0.6,0,0,1.1544E-07
1.16,4.0155E-06,0.6,0,0,1.14728571428571E-07
1.17,4.0209E-06,0.6,0,0,1.14882857142857E-07
