Setup title,"N-18 Id-Vg (fast)"
Classic test name,"I/V Sweep"
Test date,3/22/2017
Test time,16:49:12
Device ID,
Vgate,Idrain,Isubs,Vsource,Vdrain,Vsubs
0,1.1496E-09,-1.5262E-09,0,1.8,0
0.01,-9.316E-10,6.314E-09,0,1.8,0
0.02,-9.682E-10,5.0102E-09,0,1.8,0
0.03,-9.886E-10,2.7062E-09,0,1.8,0
0.04,-1.0141E-09,3.692E-10,0,1.8,0
0.05,-1.0369E-09,-6.722E-10,0,1.8,0
0.06,-1.0633E-09,-3.278E-09,0,1.8,0
0.07,-1.0948E-09,6.5622E-09,0,1.8,0
0.08,-1.2077E-09,3.2472E-09,0,1.8,0
0.09,-1.1104E-09,2.574E-10,0,1.8,0
0.1,-1.1459E-09,5.6378E-09,0,1.8,0
0.11,-1.1593E-09,-6.5794E-09,0,1.8,0
0.12,-1.1319E-09,1.8888E-09,0,1.8,0
0.13,-1.143E-09,2.995E-09,0,1.8,0
0.14,-1.1521E-09,-2.5052E-09,0,1.8,0
0.15,-1.1902E-09,-8.0154E-09,0,1.8,0
0.16,-1.1769E-09,5.8836E-09,0,1.8,0
0.17,-1.1712E-09,4.7612E-09,0,1.8,0
0.18,-1.1633E-09,-9.06E-10,0,1.8,0
0.19,-1.1758E-09,-3.7714E-09,0,1.8,0
0.2,-1.1933E-09,6.5198E-09,0,1.8,0
0.21,-1.1772E-09,3.9408E-09,0,1.8,0
0.22,-1.1708E-09,2.3318E-09,0,1.8,0
0.23,-1.1626E-09,3.264E-10,0,1.8,0
0.24,-1.1562E-09,-1.2906E-09,0,1.8,0
0.25,-1.1505E-09,-3.4212E-09,0,1.8,0
0.26,-1.1273E-09,-4.9534E-09,0,1.8,0
0.27,-1.0753E-09,4.9482E-09,0,1.8,0
0.28,-9.79E-10,3.3304E-09,0,1.8,0
0.29,1.7514E-09,1.5942E-09,0,1.8,0
0.3,2.0212E-09,9.32E-11,0,1.8,0
0.31,2.4607E-09,-1.687E-09,0,1.8,0
0.32,2.6918E-09,-2.7258E-09,0,1.8,0
0.33,1.4488E-09,-1.9056E-09,0,1.8,0
0.34,3.1009E-09,-2.2714E-09,0,1.8,0
0.35,5.631E-09,-4.6386E-09,0,1.8,0
0.36,9.774E-09,4.1076E-09,0,1.8,0
0.37,1.58142E-08,-2.7908E-09,0,1.8,0
0.38,2.46996E-08,-1.7788E-09,0,1.8,0
0.39,3.80056E-08,-8.3968E-09,0,1.8,0
0.4,5.42158E-08,7.46E-10,0,1.8,0
0.41,8.05426E-08,3.3978E-09,0,1.8,0
0.42,1.1422E-07,-1.06116E-08,0,1.8,0
0.43,1.6142E-07,3.9412E-09,0,1.8,0
0.44,1.9012E-07,2.4044E-09,0,1.8,0
0.45,2.9266E-07,2.1586E-09,0,1.8,0
0.46,3.8122E-07,4.558E-10,0,1.8,0
0.47,4.839E-07,-4.56E-10,0,1.8,0
0.48,5.8828E-07,-1.291E-09,0,1.8,0
0.49,8.0952E-07,-2.3126E-09,0,1.8,0
0.5,9.6202E-07,-3.7504E-09,0,1.8,0
0.51,1.1559E-06,4.8816E-09,0,1.8,0
0.52,1.4848E-06,1.9712E-09,0,1.8,0
0.53,1.7894E-06,-3.0108E-09,0,1.8,0
0.54,2.0506E-06,3.9048E-09,0,1.8,0
0.55,2.4784E-06,-5.1014E-09,0,1.8,0
0.56,2.9022E-06,-2.3966E-09,0,1.8,0
0.57,3.4165E-06,2.1918E-09,0,1.8,0
0.58,3.9529E-06,2.4532E-09,0,1.8,0
0.59,4.4989E-06,-9.602E-10,0,1.8,0
0.6,5.1768E-06,2.9522E-09,0,1.8,0
0.61,5.8261E-06,-2.0846E-09,0,1.8,0
0.62,6.5308E-06,-1.0544E-08,0,1.8,0
0.63,7.3108E-06,-4.7982E-09,0,1.8,0
0.64,8.1619E-06,1.7746E-09,0,1.8,0
0.65,8.9857E-06,1.7986E-09,0,1.8,0
0.66,9.9249E-06,-4.4144E-09,0,1.8,0
0.67,1.09386E-05,-3.2894E-09,0,1.8,0
0.68,1.1994E-05,-1.30056E-08,0,1.8,0
0.69,1.3078E-05,-4.916E-10,0,1.8,0
0.7,1.4194E-05,7.202E-10,0,1.8,0
0.71,1.5408E-05,-1.4239E-08,0,1.8,0
0.72,1.6632E-05,-1.232E-09,0,1.8,0
0.73,1.794E-05,-2.514E-10,0,1.8,0
0.74,1.9242E-05,-1.50146E-08,0,1.8,0
0.75,2.0592E-05,8.058E-10,0,1.8,0
0.76,2.199E-05,-1.7644E-09,0,1.8,0
0.77,2.344E-05,-1.55058E-08,0,1.8,0
0.78,2.4954E-05,-2.2256E-09,0,1.8,0
0.79,2.6424E-05,-5.882E-09,0,1.8,0
0.8,2.7968E-05,-6.6714E-09,0,1.8,0
0.81,2.9504E-05,-7.4922E-09,0,1.8,0
0.82,3.1118E-05,-8.7092E-09,0,1.8,0
0.83,3.2714E-05,-1.00562E-08,0,1.8,0
0.84,3.437E-05,-1.1454E-08,0,1.8,0
0.85,3.6054E-05,-7.7876E-09,0,1.8,0
0.86,3.7732E-05,-1.7356E-08,0,1.8,0
0.87,3.9424E-05,-7.2164E-09,0,1.8,0
0.88,4.1188E-05,-7.597E-09,0,1.8,0
0.89,4.2918E-05,-8.2236E-09,0,1.8,0
0.9,4.4726E-05,-1.30758E-08,0,1.8,0
0.91,4.6532E-05,-1.2198E-08,0,1.8,0
0.92,4.8354E-05,-4.3626E-09,0,1.8,0
0.93,5.0284E-05,-1.85742E-08,0,1.8,0
0.94,5.1972E-05,-1.38386E-08,0,1.8,0
0.95,5.3792E-05,-4.789E-09,0,1.8,0
0.96,5.5784E-05,-5.415E-09,0,1.8,0
0.97,5.7594E-05,-1.93768E-08,0,1.8,0
0.98,5.9434E-05,-1.1556E-08,0,1.8,0
0.99,6.1332E-05,-1.188E-08,0,1.8,0
1,6.3184E-05,-1.19662E-08,0,1.8,0
1.01,6.507E-05,-5.417E-09,0,1.8,0
1.02,6.7006E-05,-1.98862E-08,0,1.8,0
1.03,6.8876E-05,-1.13698E-08,0,1.8,0
1.04,7.0832E-05,-1.76752E-08,0,1.8,0
1.05,7.2742E-05,-1.75518E-08,0,1.8,0
1.06,7.4668E-05,-1.70472E-08,0,1.8,0
1.07,7.6562E-05,-1.86018E-08,0,1.8,0
1.08,7.8458E-05,-7.2546E-09,0,1.8,0
1.09,8.0404E-05,-6.478E-09,0,1.8,0
1.1,8.2316E-05,-2.1267E-08,0,1.8,0
1.11,8.4246E-05,-1.24012E-08,0,1.8,0
1.12,8.62E-05,-1.46624E-08,0,1.8,0
1.13,8.8114E-05,-6.8488E-09,0,1.8,0
1.14,9.0076E-05,-2.14136E-08,0,1.8,0
1.15,9.1968E-05,-1.9757E-08,0,1.8,0
1.16,9.3922E-05,-7.9444E-09,0,1.8,0
1.17,9.5832E-05,-1.98038E-08,0,1.8,0
1.18,9.7772E-05,-8.9186E-09,0,1.8,0
1.19,9.9718E-05,-7.4294E-09,0,1.8,0
1.2,0.000101666,-2.21206E-08,0,1.8,0
1.21,0.000103572,-9.4454E-09,0,1.8,0
1.22,0.000105522,-1.50672E-08,0,1.8,0
1.23,0.000107428,-7.6632E-09,0,1.8,0
1.24,0.000109372,-2.2382E-08,0,1.8,0
1.25,0.000111246,-1.78136E-08,0,1.8,0
1.26,0.000113188,-1.46868E-08,0,1.8,0
1.27,0.0001153,-1.4556E-08,0,1.8,0
1.28,0.00011722,-2.1401E-08,0,1.8,0
1.29,0.00011912,-1.23992E-08,0,1.8,0
