Setup title,"N-18 Id-Vg (fast)"
Classic test name,"I/V Sweep"
Test date,3/22/2017
Test time,15:41:24
Device ID,
Vgate,Idrain,Isubs,Vsource,Vdrain,Vsubs
0,1.3997E-09,-6.6828E-09,0,0.05,0
0.01,-1.3532E-09,-1.2676E-09,0,0.05,0
0.02,-1.3563E-09,-2.7516E-09,0,0.05,0
0.03,-1.3601E-09,-4.7792E-09,0,0.05,0
0.04,-1.3478E-09,-5.9488E-09,0,0.05,0
0.05,-1.35E-09,-3.4234E-09,0,0.05,0
0.06,-1.3648E-09,-8.1732E-09,0,0.05,0
0.07,-1.4003E-09,-8.6646E-09,0,0.05,0
0.08,-1.3597E-09,-1.8794E-09,0,0.05,0
0.09,-1.3695E-09,-4.694E-09,0,0.05,0
0.1,-1.3531E-09,-5.0386E-09,0,0.05,0
0.11,-1.3553E-09,-6.736E-09,0,0.05,0
0.12,-1.3631E-09,-7.8038E-09,0,0.05,0
0.13,-1.3534E-09,-4.7618E-09,0,0.05,0
0.14,-1.3629E-09,-6.583E-09,0,0.05,0
0.15,-1.3691E-09,-7.9352E-09,0,0.05,0
0.16,-1.399E-09,-8.3358E-09,0,0.05,0
0.17,-1.3775E-09,-8.5168E-09,0,0.05,0
0.18,-1.4023E-09,-8.6938E-09,0,0.05,0
0.19,-1.3503E-09,-4.2958E-09,0,0.05,0
0.2,-1.35E-09,-5.7876E-09,0,0.05,0
0.21,-1.3632E-09,-7.7012E-09,0,0.05,0
0.22,-1.3742E-09,-8.8866E-09,0,0.05,0
0.23,-1.3595E-09,-1.8814E-09,0,0.05,0
0.24,-1.3528E-09,-3.2892E-09,0,0.05,0
0.25,-1.3547E-09,-5.7814E-09,0,0.05,0
0.26,-1.3668E-09,-7.0236E-09,0,0.05,0
0.27,-1.3792E-09,-7.6932E-09,0,0.05,0
0.28,-1.3915E-09,-8.9116E-09,0,0.05,0
0.29,-1.3534E-09,-3.4004E-09,0,0.05,0
0.3,-1.3572E-09,-4.9642E-09,0,0.05,0
0.31,-1.305E-09,-6.2378E-09,0,0.05,0
0.32,-1.2762E-09,-8.5894E-09,0,0.05,0
0.33,-1.0449E-09,-2.215E-09,0,0.05,0
0.34,1.9283E-09,-5.0184E-09,0,0.05,0
0.35,2.7141E-09,-7.1548E-09,0,0.05,0
0.36,1.3091E-09,-7.4116E-09,0,0.05,0
0.37,4.3346E-09,-8.7432E-09,0,0.05,0
0.38,8.3584E-09,-1.7194E-09,0,0.05,0
0.39,1.76514E-08,-6.9156E-09,0,0.05,0
0.4,2.66742E-08,-7.2406E-09,0,0.05,0
0.41,4.08006E-08,-1.0266E-09,0,0.05,0
0.42,6.50048E-08,-3.3462E-09,0,0.05,0
0.43,1.01762E-07,-5.7314E-09,0,0.05,0
0.44,1.5078E-07,-2.499E-09,0,0.05,0
0.45,2.1826E-07,-7.3554E-09,0,0.05,0
0.46,3.1048E-07,-2.8412E-09,0,0.05,0
0.47,4.322E-07,-8.922E-09,0,0.05,0
0.48,5.7754E-07,-7.428E-09,0,0.05,0
0.49,7.6578E-07,-4.9866E-09,0,0.05,0
0.5,9.795E-07,-2.5318E-09,0,0.05,0
0.51,1.2263E-06,-1.4396E-09,0,0.05,0
0.52,1.515E-06,-8.969E-09,0,0.05,0
0.53,1.8298E-06,-5.504E-09,0,0.05,0
0.54,2.202E-06,-8.7372E-09,0,0.05,0
0.55,2.59E-06,-3.9316E-09,0,0.05,0
0.56,3.0223E-06,-7.5456E-09,0,0.05,0
0.57,3.4582E-06,-2.7358E-09,0,0.05,0
0.58,3.9311E-06,-6.1498E-09,0,0.05,0
0.59,4.4197E-06,-5.6968E-09,0,0.05,0
0.6,4.9362E-06,-8.508E-10,0,0.05,0
0.61,5.4568E-06,-4.3032E-09,0,0.05,0
0.62,6.0002E-06,-6.4E-09,0,0.05,0
0.63,6.5463E-06,-8.8494E-09,0,0.05,0
0.64,7.109E-06,-5.9156E-09,0,0.05,0
0.65,7.6896E-06,-6.8814E-09,0,0.05,0
0.66,8.2637E-06,-6.3386E-09,0,0.05,0
0.67,8.8373E-06,-8.8382E-09,0,0.05,0
0.68,9.4371E-06,-7.9826E-09,0,0.05,0
0.69,1.00023E-05,-5.6462E-09,0,0.05,0
0.7,1.06554E-05,-8.7378E-09,0,0.05,0
0.71,1.11883E-05,-2.0508E-09,0,0.05,0
0.72,1.1842E-05,-7.1394E-09,0,0.05,0
0.73,1.2402E-05,-9.89E-10,0,0.05,0
0.74,1.3018E-05,-1.9668E-09,0,0.05,0
0.75,1.3654E-05,-3.2296E-09,0,0.05,0
0.76,1.4268E-05,-2.0396E-09,0,0.05,0
0.77,1.4886E-05,-6.016E-10,0,0.05,0
0.78,1.5528E-05,-6.6914E-09,0,0.05,0
0.79,1.6152E-05,-7.8856E-09,0,0.05,0
0.8,1.6802E-05,-8.1918E-09,0,0.05,0
0.81,1.7474E-05,-8.523E-09,0,0.05,0
0.82,1.8102E-05,-8.1154E-09,0,0.05,0
0.83,1.8704E-05,-6.5032E-09,0,0.05,0
0.84,1.9326E-05,-5.232E-09,0,0.05,0
0.85,1.9992E-05,-5.594E-10,0,0.05,0
0.86,2.0728E-05,-6.8998E-09,0,0.05,0
0.87,2.1316E-05,-3.4502E-09,0,0.05,0
0.88,2.1924E-05,-1.3424E-09,0,0.05,0
0.89,2.2528E-05,-2.0364E-09,0,0.05,0
0.9,2.3104E-05,-3.0952E-09,0,0.05,0
0.91,2.3718E-05,-3.848E-09,0,0.05,0
0.92,2.4314E-05,-4.2954E-09,0,0.05,0
0.93,2.5002E-05,-8.3458E-09,0,0.05,0
0.94,2.5534E-05,-6.5376E-09,0,0.05,0
0.95,2.6196E-05,-7.7644E-09,0,0.05,0
0.96,2.6798E-05,-8.4094E-09,0,0.05,0
0.97,2.7342E-05,-1.832E-10,0,0.05,0
0.98,2.7998E-05,3.7056E-09,0,0.05,0
0.99,2.863E-05,-6.141E-09,0,0.05,0
1,2.925E-05,3.9091E-09,0,0.05,0
1.01,2.9818E-05,-8.5164E-09,0,0.05,0
1.02,3.0458E-05,-8.7718E-09,0,0.05,0
1.03,3.097E-05,-2.714E-10,0,0.05,0
1.04,3.1672E-05,-7.3038E-09,0,0.05,0
1.05,3.2304E-05,-1.5388E-09,0,0.05,0
1.06,3.2858E-05,-6.2592E-09,0,0.05,0
1.07,3.3404E-05,-5.9906E-09,0,0.05,0
1.08,3.3942E-05,-4.1786E-09,0,0.05,0
1.09,3.4566E-05,-8.8724E-09,0,0.05,0
1.1,3.5104E-05,-8.5462E-09,0,0.05,0
1.11,3.557E-05,-1.6158E-09,0,0.05,0
1.12,3.6268E-05,-8.2462E-09,0,0.05,0
1.13,3.6594E-05,-6.6128E-09,0,0.05,0
1.14,3.7162E-05,-7.6872E-09,0,0.05,0
1.15,3.7658E-05,-7.8646E-09,0,0.05,0
1.16,3.811E-05,-7.765E-09,0,0.05,0
1.17,3.8708E-05,-8.5036E-09,0,0.05,0
1.18,3.923E-05,-8.7378E-09,0,0.05,0
1.19,3.9618E-05,-8.6356E-09,0,0.05,0
1.2,3.9978E-05,-2.666E-09,0,0.05,0
1.21,4.0532E-05,-5.1832E-09,0,0.05,0
1.22,4.0984E-05,-3.1806E-09,0,0.05,0
1.23,4.142E-05,-6.0654E-09,0,0.05,0
1.24,4.186E-05,-6.292E-09,0,0.05,0
1.25,4.2304E-05,-5.631E-09,0,0.05,0
1.26,4.3024E-05,-8.698E-09,0,0.05,0
1.27,4.326E-05,-6.8856E-09,0,0.05,0
1.28,4.3776E-05,-7.6714E-09,0,0.05,0
1.29,4.422E-05,-7.867E-09,0,0.05,0
1.3,4.4706E-05,-8.2292E-09,0,0.05,0
1.31,4.512E-05,-7.9816E-09,0,0.05,0
1.32,4.5374E-05,-5.9978E-09,0,0.05,0
1.33,4.5852E-05,-4.3582E-09,0,0.05,0
1.34,4.6298E-05,-8.7664E-09,0,0.05,0
1.35,4.6656E-05,-8.6786E-09,0,0.05,0
1.36,4.6922E-05,-2.0986E-09,0,0.05,0
1.37,4.7286E-05,-6.917E-09,0,0.05,0
1.38,4.766E-05,-7.7738E-09,0,0.05,0
1.39,4.8042E-05,-8.1768E-09,0,0.05,0
1.4,4.8378E-05,-8.7484E-09,0,0.05,0
1.41,4.8666E-05,-8.779E-09,0,0.05,0
1.42,4.887E-05,-1.7892E-09,0,0.05,0
1.43,4.9208E-05,-2.8094E-09,0,0.05,0
1.44,4.963E-05,-2.9498E-09,0,0.05,0
1.45,4.974E-05,-3.5394E-09,0,0.05,0
1.46,5.014E-05,-4.577E-09,0,0.05,0
1.47,5.034E-05,-5.3198E-09,0,0.05,0
1.48,5.0598E-05,-8.2798E-09,0,0.05,0
1.49,5.0876E-05,-8.5876E-09,0,0.05,0
1.5,5.1016E-05,-1.9096E-09,0,0.05,0
1.51,5.1436E-05,-8.8976E-09,0,0.05,0
1.52,5.1532E-05,-3.668E-09,0,0.05,0
1.53,5.1792E-05,-4.5836E-09,0,0.05,0
1.54,5.2296E-05,-8.7722E-09,0,0.05,0
1.55,5.2476E-05,-4.2314E-09,0,0.05,0
1.56,5.268E-05,-7.5766E-09,0,0.05,0
1.57,5.283E-05,-5.996E-09,0,0.05,0
1.58,5.3004E-05,-4.3098E-09,0,0.05,0
1.59,5.3366E-05,-8.8132E-09,0,0.05,0
1.6,5.355E-05,-8.4992E-09,0,0.05,0
1.61,5.3578E-05,-1.9258E-09,0,0.05,0
1.62,5.3878E-05,-8.2066E-09,0,0.05,0
1.63,5.388E-05,-5.218E-09,0,0.05,0
1.64,5.4116E-05,-5.9714E-09,0,0.05,0
1.65,5.4262E-05,-6.8392E-09,0,0.05,0
1.66,5.439E-05,-7.6112E-09,0,0.05,0
1.67,5.4612E-05,-8.7956E-09,0,0.05,0
1.68,5.466E-05,-9.664E-10,0,0.05,0
1.69,5.4818E-05,-1.031E-09,0,0.05,0
1.7,5.4954E-05,-7.1326E-09,0,0.05,0
1.71,5.529E-05,-7.9742E-09,0,0.05,0
1.72,5.5312E-05,-8.2774E-09,0,0.05,0
1.73,5.5312E-05,-1.5312E-09,0,0.05,0
1.74,5.531E-05,-5.6848E-09,0,0.05,0
1.75,5.5318E-05,-5.959E-09,0,0.05,0
1.76,5.5478E-05,-8.9996E-09,0,0.05,0
1.77,5.5302E-05,-2.7088E-09,0,0.05,0
1.78,5.5366E-05,-3.6048E-09,0,0.05,0
1.79,5.5552E-05,-4.099E-09,0,0.05,0
1.8,5.5736E-05,-1.2086E-09,0,0.05,0
0,1.871E-10,-3.6484E-09,0,0.05,-0.1
0.01,-1.359E-09,-3.0536E-09,0,0.05,-0.1
0.02,-1.39E-09,-8.886E-09,0,0.05,-0.1
0.03,-1.3748E-09,-8.3554E-09,0,0.05,-0.1
0.04,-1.362E-09,-7.6274E-09,0,0.05,-0.1
0.05,-1.3761E-09,-8.213E-09,0,0.05,-0.1
0.06,-1.3564E-09,-6.0948E-09,0,0.05,-0.1
0.07,-1.3585E-09,-2.3216E-09,0,0.05,-0.1
0.08,-1.3817E-09,-8.4096E-09,0,0.05,-0.1
0.09,-1.357E-09,-1.335E-09,0,0.05,-0.1
0.1,-1.348E-09,-5.2264E-09,0,0.05,-0.1
0.11,-1.3641E-09,-7.5734E-09,0,0.05,-0.1
0.12,-1.3544E-09,-6.1356E-09,0,0.05,-0.1
0.13,-1.3522E-09,-3.9644E-09,0,0.05,-0.1
0.14,-1.3571E-09,-1.1536E-09,0,0.05,-0.1
0.15,-1.3595E-09,-7.1396E-09,0,0.05,-0.1
0.16,-1.3536E-09,-4.6938E-09,0,0.05,-0.1
0.17,-1.3533E-09,-4.916E-09,0,0.05,-0.1
0.18,-1.3516E-09,-3.4644E-09,0,0.05,-0.1
0.19,-1.3595E-09,-1.0142E-09,0,0.05,-0.1
0.2,-1.3708E-09,1.3596E-09,0,0.05,-0.1
0.21,-1.3887E-09,-8.9208E-09,0,0.05,-0.1
0.22,-1.3731E-09,-7.336E-09,0,0.05,-0.1
0.23,-1.353E-09,-3.3754E-09,0,0.05,-0.1
0.24,-1.3957E-09,-8.8424E-09,0,0.05,-0.1
0.25,-1.3637E-09,-7.473E-09,0,0.05,-0.1
0.26,-1.3955E-09,-6.5222E-09,0,0.05,-0.1
0.27,-1.3543E-09,-4.7856E-09,0,0.05,-0.1
0.28,-1.3537E-09,-2.8424E-09,0,0.05,-0.1
0.29,-1.38E-09,-8.9442E-09,0,0.05,-0.1
0.3,-1.3668E-09,-8.602E-09,0,0.05,-0.1
0.31,-1.3482E-09,-7.3474E-09,0,0.05,-0.1
0.32,-1.315E-09,-4.6246E-09,0,0.05,-0.1
0.33,-1.2653E-09,-4.537E-09,0,0.05,-0.1
0.34,-1.103E-09,-4.0496E-09,0,0.05,-0.1
0.35,2.0085E-09,-8.414E-10,0,0.05,-0.1
0.36,2.6149E-09,-7.0794E-09,0,0.05,-0.1
0.37,1.2068E-09,-4.6816E-09,0,0.05,-0.1
0.38,3.5449E-09,-5.0962E-09,0,0.05,-0.1
0.39,7.3232E-09,-1.318E-09,0,0.05,-0.1
0.4,1.59936E-08,-8.6758E-09,0,0.05,-0.1
0.41,2.27542E-08,-2.803E-09,0,0.05,-0.1
0.42,3.63572E-08,-1.664E-09,0,0.05,-0.1
0.43,5.70338E-08,-1.232E-09,0,0.05,-0.1
0.44,8.76854E-08,-8.7622E-09,0,0.05,-0.1
0.45,1.2932E-07,-6.7272E-09,0,0.05,-0.1
0.46,1.8826E-07,-8.6452E-09,0,0.05,-0.1
0.47,2.6678E-07,-2.3166E-09,0,0.05,-0.1
0.48,3.6678E-07,-5.6494E-09,0,0.05,-0.1
0.49,4.9924E-07,-7.2696E-09,0,0.05,-0.1
0.5,6.5592E-07,-6.3374E-09,0,0.05,-0.1
0.51,8.4604E-07,-3.2634E-09,0,0.05,-0.1
0.52,1.05648E-06,-8.692E-10,0,0.05,-0.1
0.53,1.3323E-06,-3.758E-09,0,0.05,-0.1
0.54,1.6285E-06,-1.0034E-09,0,0.05,-0.1
0.55,1.9532E-06,-2.0068E-09,0,0.05,-0.1
0.56,2.3197E-06,-2.154E-09,0,0.05,-0.1
0.57,2.7296E-06,-8.2462E-09,0,0.05,-0.1
0.58,3.1566E-06,-8.4192E-09,0,0.05,-0.1
0.59,3.6055E-06,-6.9846E-09,0,0.05,-0.1
0.6,4.0836E-06,-7.7498E-09,0,0.05,-0.1
0.61,4.5675E-06,-8.6552E-09,0,0.05,-0.1
0.62,5.0487E-06,-6.8386E-09,0,0.05,-0.1
0.63,5.5792E-06,-5.4962E-09,0,0.05,-0.1
0.64,6.0892E-06,-5.9422E-09,0,0.05,-0.1
0.65,6.6479E-06,-6.5602E-09,0,0.05,-0.1
0.66,7.1682E-06,-7.2652E-09,0,0.05,-0.1
0.67,7.7282E-06,-8.1834E-09,0,0.05,-0.1
0.68,8.3005E-06,-8.2536E-09,0,0.05,-0.1
0.69,8.8899E-06,-8.208E-09,0,0.05,-0.1
0.7,9.5212E-06,-7.337E-09,0,0.05,-0.1
0.71,1.01235E-05,-4.7704E-09,0,0.05,-0.1
0.72,1.07195E-05,-8.5886E-09,0,0.05,-0.1
0.73,1.13273E-05,-8.907E-09,0,0.05,-0.1
0.74,1.1914E-05,-8.0028E-09,0,0.05,-0.1
0.75,1.251E-05,-7.5666E-09,0,0.05,-0.1
0.76,1.3102E-05,-5.5072E-09,0,0.05,-0.1
0.77,1.3708E-05,-2.4328E-09,0,0.05,-0.1
0.78,1.4384E-05,-7.5344E-09,0,0.05,-0.1
0.79,1.4978E-05,-3.9368E-09,0,0.05,-0.1
0.8,1.559E-05,-8.5528E-09,0,0.05,-0.1
0.81,1.6168E-05,-5.6452E-09,0,0.05,-0.1
0.82,1.6808E-05,-2.708E-09,0,0.05,-0.1
0.83,1.748E-05,-8.9606E-09,0,0.05,-0.1
0.84,1.8078E-05,-7.1566E-09,0,0.05,-0.1
0.85,1.8698E-05,-4.3772E-09,0,0.05,-0.1
0.86,1.939E-05,-8.9202E-09,0,0.05,-0.1
0.87,2.0034E-05,-6.7514E-09,0,0.05,-0.1
0.88,2.0658E-05,-3.6138E-09,0,0.05,-0.1
0.89,2.13E-05,-8.892E-09,0,0.05,-0.1
0.9,2.1872E-05,-5.559E-09,0,0.05,-0.1
0.91,2.2562E-05,-8.8332E-09,0,0.05,-0.1
0.92,2.3234E-05,-8.8746E-09,0,0.05,-0.1
0.93,2.3786E-05,-4.177E-09,0,0.05,-0.1
0.94,2.4476E-05,-7.3198E-09,0,0.05,-0.1
0.95,2.507E-05,-6.2828E-09,0,0.05,-0.1
0.96,2.5684E-05,-3.6796E-09,0,0.05,-0.1
0.97,2.629E-05,-8.8912E-09,0,0.05,-0.1
0.98,2.6822E-05,-5.6002E-09,0,0.05,-0.1
0.99,2.7338E-05,-3.7164E-09,0,0.05,-0.1
1,2.7874E-05,-7.7466E-09,0,0.05,-0.1
1.01,2.8338E-05,-4.3702E-09,0,0.05,-0.1
1.02,2.898E-05,-8.8962E-09,0,0.05,-0.1
1.03,2.9562E-05,-3.478E-09,0,0.05,-0.1
1.04,3.0104E-05,-1.3448E-09,0,0.05,-0.1
1.05,3.0586E-05,-7.61E-09,0,0.05,-0.1
1.06,3.102E-05,-4.8664E-09,0,0.05,-0.1
1.07,3.147E-05,-1.91E-10,0,0.05,-0.1
1.08,3.2092E-05,-6.1896E-09,0,0.05,-0.1
1.09,3.244E-05,-3.2692E-09,0,0.05,-0.1
1.1,3.2928E-05,-1.92E-10,0,0.05,-0.1
1.11,3.3502E-05,-5.7036E-09,0,0.05,-0.1
1.12,3.423E-05,-1.7576E-09,0,0.05,-0.1
1.13,3.473E-05,-3.8744E-09,0,0.05,-0.1
1.14,3.533E-05,-8.1156E-09,0,0.05,-0.1
1.15,3.5708E-05,-5.2574E-09,0,0.05,-0.1
1.16,3.6126E-05,-3.198E-09,0,0.05,-0.1
1.17,3.6542E-05,-9.293E-09,0,0.05,-0.1
1.18,3.6856E-05,-1.608E-09,0,0.05,-0.1
1.19,3.7302E-05,-8.7722E-09,0,0.05,-0.1
1.2,3.7626E-05,-5.6126E-09,0,0.05,-0.1
1.21,3.8042E-05,-8.878E-10,0,0.05,-0.1
1.22,3.8632E-05,-6.9736E-09,0,0.05,-0.1
1.23,3.907E-05,-5.239E-09,0,0.05,-0.1
1.24,3.9538E-05,-2.4548E-09,0,0.05,-0.1
