Setup title,"P-18 Id-Vg (fast)"
Classic test name,"I/V Sweep"
Test date,3/22/2017
Test time,16:29:27
Device ID,
Vgate,Idrain,Isubs,Vsource,Vdrain,Vsubs
0,1.1067E-09,6.849E-10,0,-0.01,0
-0.01,-1.4142E-09,-8.348E-10,0,-0.01,0
-0.02,1.4767E-09,1.2147E-09,0,-0.01,0
-0.03,-1.4089E-09,-1.1331E-09,0,-0.01,0
-0.04,1.4798E-09,1.2703E-09,0,-0.01,0
-0.05,-1.4011E-09,-1.1693E-09,0,-0.01,0
-0.06,1.4316E-09,1.1159E-09,0,-0.01,0
-0.07,-1.4297E-09,-8.48E-10,0,-0.01,0
-0.08,1.4058E-09,1.2601E-09,0,-0.01,0
-0.09,-1.4497E-09,-1.0075E-09,0,-0.01,0
-0.1,1.476E-09,1.1736E-09,0,-0.01,0
-0.11,-1.4162E-09,-1.093E-09,0,-0.01,0
-0.12,1.4792E-09,1.1772E-09,0,-0.01,0
-0.13,-1.4113E-09,-1.1045E-09,0,-0.01,0
-0.14,1.4692E-09,1.1969E-09,0,-0.01,0
-0.15,-1.4017E-09,-1.1151E-09,0,-0.01,0
-0.16,1.4474E-09,1.2456E-09,0,-0.01,0
-0.17,-1.4425E-09,-1.0286E-09,0,-0.01,0
-0.18,1.4598E-09,1.2273E-09,0,-0.01,0
-0.19,-1.4501E-09,-1.0029E-09,0,-0.01,0
-0.2,1.4735E-09,1.2045E-09,0,-0.01,0
-0.21,-1.4047E-09,-1.111E-09,0,-0.01,0
-0.22,1.4646E-09,1.2226E-09,0,-0.01,0
-0.23,-1.4025E-09,-1.1084E-09,0,-0.01,0
-0.24,1.477E-09,1.2061E-09,0,-0.01,0
-0.25,-1.4082E-09,-1.1078E-09,0,-0.01,0
-0.26,1.4802E-09,1.1597E-09,0,-0.01,0
-0.27,-1.4565E-09,-1.1086E-09,0,-0.01,0
-0.28,1.4804E-09,1.1585E-09,0,-0.01,0
-0.29,-1.4385E-09,-1.0623E-09,0,-0.01,0
-0.3,1.407E-09,1.2204E-09,0,-0.01,0
-0.31,-1.4425E-09,-1.0541E-09,0,-0.01,0
-0.32,1.4796E-09,1.1524E-09,0,-0.01,0
-0.33,-1.4121E-09,-1.1114E-09,0,-0.01,0
-0.34,1.4777E-09,1.204E-09,0,-0.01,0
-0.35,-1.3397E-09,-7.348E-10,0,-0.01,0
-0.36,1.4738E-09,1.2116E-09,0,-0.01,0
-0.37,-1.4296E-09,-1.0787E-09,0,-0.01,0
-0.38,1.4807E-09,1.2317E-09,0,-0.01,0
-0.39,-1.3992E-09,-1.1125E-09,0,-0.01,0
-0.4,1.4808E-09,1.1394E-09,0,-0.01,0
-0.41,-1.4422E-09,-1.108E-09,0,-0.01,0
-0.42,1.3914E-09,1.0108E-09,0,-0.01,0
-0.43,-1.4347E-09,-9.272E-10,0,-0.01,0
-0.44,1.4439E-09,1.2548E-09,0,-0.01,0
-0.45,-1.4306E-09,-9.852E-10,0,-0.01,0
-0.46,1.4955E-09,1.2219E-09,0,-0.01,0
-0.47,-1.4119E-09,-9.161E-10,0,-0.01,0
-0.48,1.4321E-09,1.2592E-09,0,-0.01,0
-0.49,-1.4664E-09,-1.0491E-09,0,-0.01,0
-0.5,1.403E-09,1.2186E-09,0,-0.01,0
-0.51,-1.5581E-09,-1.0582E-09,0,-0.01,0
-0.52,1.2048E-09,1.2321E-09,0,-0.01,0
-0.53,-1.7814E-09,-1.1032E-09,0,-0.01,0
-0.54,-1.6927E-09,1.121E-09,0,-0.01,0
-0.55,-2.2027E-09,-1.4811E-09,0,-0.01,0
-0.56,-2.3723E-09,-1.2892E-09,0,-0.01,0
-0.57,-2.3438E-09,-1.3977E-09,0,-0.01,0
-0.58,-2.7E-09,-1.1586E-09,0,-0.01,0
-0.59,-2.5601E-09,-9.482E-10,0,-0.01,0
-0.6,-3.0245E-09,-8.521E-10,0,-0.01,0
-0.61,-8.665E-10,-1.4459E-09,0,-0.01,0
-0.62,-3.8432E-09,-9.527E-10,0,-0.01,0
-0.63,-1.3555E-09,1.1971E-09,0,-0.01,0
-0.64,-4.6436E-09,-1.0943E-09,0,-0.01,0
-0.65,-2.2314E-09,1.2555E-09,0,-0.01,0
-0.66,-5.3234E-09,-1.1042E-09,0,-0.01,0
-0.67,-2.8458E-09,1.2536E-09,0,-0.01,0
-0.68,-6.0926E-09,-1.0279E-09,0,-0.01,0
-0.69,-3.7568E-09,1.1403E-09,0,-0.01,0
-0.7,-6.8483E-09,-1.0929E-09,0,-0.01,0
-0.71,-4.4301E-09,1.2269E-09,0,-0.01,0
-0.72,-7.6805E-09,-1.0464E-09,0,-0.01,0
-0.73,-5.3784E-09,1.2213E-09,0,-0.01,0
-0.74,-8.4992E-09,-1.0564E-09,0,-0.01,0
-0.75,-6.1017E-09,1.1536E-09,0,-0.01,0
-0.76,-9.3639E-09,-1.1041E-09,0,-0.01,0
-0.77,-6.9253E-09,1.147E-09,0,-0.01,0
-0.78,-1.01624E-08,-1.1059E-09,0,-0.01,0
-0.79,-7.7641E-09,1.2612E-09,0,-0.01,0
-0.8,-1.0975E-08,-1.1026E-09,0,-0.01,0
-0.81,-8.5742E-09,1.2638E-09,0,-0.01,0
-0.82,-1.21188E-08,-7.77E-10,0,-0.01,0
-0.83,-1.24708E-08,-3.931E-10,0,-0.01,0
-0.84,-9.9636E-09,4.27E-11,0,-0.01,0
-0.85,-1.1672E-08,-9.417E-10,0,-0.01,0
-0.86,-1.35836E-08,9.005E-10,0,-0.01,0
-0.87,-1.09208E-08,-8.822E-10,0,-0.01,0
-0.88,-1.34484E-08,-1.0778E-09,0,-0.01,0
-0.89,-1.4466E-08,9.637E-10,0,-0.01,0
-0.9,-1.2177E-08,-1.3773E-09,0,-0.01,0
-0.91,-1.42134E-08,-1.0785E-09,0,-0.01,0
-0.92,-1.57492E-08,9.436E-10,0,-0.01,0
-0.93,-1.34028E-08,-1.371E-09,0,-0.01,0
-0.94,-1.58868E-08,-1.1011E-09,0,-0.01,0
-0.95,-1.70224E-08,9.242E-10,0,-0.01,0
-0.96,-1.45742E-08,-1.3939E-09,0,-0.01,0
-0.97,-1.65542E-08,-9.757E-10,0,-0.01,0
-0.98,-1.83102E-08,9.086E-10,0,-0.01,0
-0.99,-1.57286E-08,-9.931E-10,0,-0.01,0
-1,-1.8234E-08,-1.1025E-09,0,-0.01,0
-1.01,-1.90234E-08,9.896E-10,0,-0.01,0
-1.02,-1.68944E-08,-1.2397E-09,0,-0.01,0
-1.03,-1.84684E-08,-8.201E-10,0,-0.01,0
-1.04,-2.11156E-08,9.018E-10,0,-0.01,0
-1.05,-1.80838E-08,-1.382E-09,0,-0.01,0
-1.06,-2.05756E-08,-1.095E-09,0,-0.01,0
-1.07,-2.10328E-08,1.0672E-09,0,-0.01,0
-1.08,-1.92302E-08,-7.886E-10,0,-0.01,0
-1.09,-2.14978E-08,-1.0647E-09,0,-0.01,0
-1.1,-2.26964E-08,9.604E-10,0,-0.01,0
-1.11,-2.03872E-08,-1.3213E-09,0,-0.01,0
-1.12,-2.23414E-08,-1.0193E-09,0,-0.01,0
-1.13,-2.38366E-08,9.535E-10,0,-0.01,0
-1.14,-2.15074E-08,-1.2325E-09,0,-0.01,0
-1.15,-2.40052E-08,-1.1029E-09,0,-0.01,0
-1.16,-2.4689E-08,1.0118E-09,0,-0.01,0
-1.17,-2.26016E-08,-8.795E-10,0,-0.01,0
-1.18,-2.44228E-08,-1.1114E-09,0,-0.01,0
-1.19,-2.61934E-08,9.36E-10,0,-0.01,0
-1.2,-2.37366E-08,-7.153E-10,0,-0.01,0
-1.21,-2.5839E-08,-1.0477E-09,0,-0.01,0
-1.22,-2.72546E-08,9.368E-10,0,-0.01,0
-1.23,-2.48002E-08,-1.2348E-09,0,-0.01,0
-1.24,-2.6644E-08,-9.551E-10,0,-0.01,0
-1.25,-2.86178E-08,9.078E-10,0,-0.01,0
-1.26,-2.58264E-08,-9.142E-10,0,-0.01,0
-1.27,-2.76588E-08,-9.518E-10,0,-0.01,0
-1.28,-2.92884E-08,9.459E-10,0,-0.01,0
-1.29,-2.68424E-08,-7.139E-10,0,-0.01,0
-1.3,-2.87566E-08,-9.785E-10,0,-0.01,0
-1.31,-3.06822E-08,9.65E-10,0,-0.01,0
-1.32,-2.78278E-08,-1.0395E-09,0,-0.01,0
-1.33,-2.97382E-08,-9.687E-10,0,-0.01,0
-1.34,-3.19118E-08,9.031E-10,0,-0.01,0
-1.35,-2.87574E-08,-1.1925E-09,0,-0.01,0
-1.36,-3.05058E-08,-9.112E-10,0,-0.01,0
-1.37,-3.24762E-08,9.004E-10,0,-0.01,0
-1.38,-2.9667E-08,-7.68E-10,0,-0.01,0
-1.39,-3.19574E-08,-1.0759E-09,0,-0.01,0
-1.4,-3.29022E-08,9.827E-10,0,-0.01,0
-1.41,-3.06114E-08,-1.2493E-09,0,-0.01,0
-1.42,-3.28946E-08,-1.0832E-09,0,-0.01,0
-1.43,-3.37714E-08,9.863E-10,0,-0.01,0
-1.44,-3.15294E-08,-1.357E-10,0,-0.01,0
-1.45,-3.30456E-08,-1.065E-09,0,-0.01,0
-1.46,-3.49724E-08,9.205E-10,0,-0.01,0
