Setup title,N-18-Id-Vd
Application test name,Id-Vd
Test date,3/31/2017
Test time,14:34:15
Device ID,2
Vdrain,Idrain,Vgate,Vsource,Vsubs,IdrainPerWg
0,1.3893E-07,0.6,0,-0.2,3.96942857142857E-09
0.01,2.5995E-06,0.6,0,-0.2,7.42714285714286E-08
0.02,4.4947E-06,0.6,0,-0.2,1.2842E-07
0.03,6.2915E-06,0.6,0,-0.2,1.79757142857143E-07
0.04,7.7212E-06,0.6,0,-0.2,2.20605714285714E-07
0.05,9.0356E-06,0.6,0,-0.2,2.5816E-07
0.06,1.02018E-05,0.6,0,-0.2,2.9148E-07
0.07,1.13429E-05,0.6,0,-0.2,3.24082857142857E-07
0.08,1.2058E-05,0.6,0,-0.2,3.44514285714286E-07
0.09,1.3033E-05,0.6,0,-0.2,3.72371428571429E-07
0.1,1.3786E-05,0.6,0,-0.2,3.93885714285714E-07
0.11,1.4578E-05,0.6,0,-0.2,4.16514285714286E-07
0.12,1.526E-05,0.6,0,-0.2,4.36E-07
0.13,1.5794E-05,0.6,0,-0.2,4.51257142857143E-07
0.14,1.6363E-05,0.6,0,-0.2,4.67514285714286E-07
0.15,1.6947E-05,0.6,0,-0.2,4.842E-07
0.16,1.7383E-05,0.6,0,-0.2,4.96657142857143E-07
0.17,1.766E-05,0.6,0,-0.2,5.04571428571429E-07
0.18,1.8251E-05,0.6,0,-0.2,5.21457142857143E-07
0.19,1.8648E-05,0.6,0,-0.2,5.328E-07
0.2,1.9017E-05,0.6,0,-0.2,5.43342857142857E-07
0.21,1.9339E-05,0.6,0,-0.2,5.52542857142857E-07
0.22,1.9655E-05,0.6,0,-0.2,5.61571428571429E-07
0.23,1.9933E-05,0.6,0,-0.2,5.69514285714286E-07
0.24,2.0381E-05,0.6,0,-0.2,5.82314285714286E-07
0.25,2.0657E-05,0.6,0,-0.2,5.902E-07
0.26,2.0867E-05,0.6,0,-0.2,5.962E-07
0.27,2.1264E-05,0.6,0,-0.2,6.07542857142857E-07
0.28,2.1411E-05,0.6,0,-0.2,6.11742857142857E-07
0.29,2.1841E-05,0.6,0,-0.2,6.24028571428571E-07
0.3,2.2184E-05,0.6,0,-0.2,6.33828571428571E-07
0.31,2.2188E-05,0.6,0,-0.2,6.33942857142857E-07
0.32,2.2716E-05,0.6,0,-0.2,6.49028571428571E-07
0.33,2.2865E-05,0.6,0,-0.2,6.53285714285714E-07
0.34,2.3268E-05,0.6,0,-0.2,6.648E-07
0.35,2.3563E-05,0.6,0,-0.2,6.73228571428571E-07
0.36,2.3629E-05,0.6,0,-0.2,6.75114285714286E-07
0.37,2.409E-05,0.6,0,-0.2,6.88285714285714E-07
0.38,2.4385E-05,0.6,0,-0.2,6.96714285714286E-07
0.39,2.4603E-05,0.6,0,-0.2,7.02942857142857E-07
0.4,2.4767E-05,0.6,0,-0.2,7.07628571428571E-07
0.41,2.5119E-05,0.6,0,-0.2,7.17685714285714E-07
0.42,2.5543E-05,0.6,0,-0.2,7.298E-07
0.43,2.5759E-05,0.6,0,-0.2,7.35971428571428E-07
0.44,2.6222E-05,0.6,0,-0.2,7.492E-07
0.45,2.6214E-05,0.6,0,-0.2,7.48971428571429E-07
0.46,2.6629E-05,0.6,0,-0.2,7.60828571428571E-07
0.47,2.6993E-05,0.6,0,-0.2,7.71228571428571E-07
0.48,2.7385E-05,0.6,0,-0.2,7.82428571428571E-07
0.49,2.751E-05,0.6,0,-0.2,7.86E-07
0.5,2.782E-05,0.6,0,-0.2,7.94857142857143E-07
0.51,2.8177E-05,0.6,0,-0.2,8.05057142857143E-07
0.52,2.8573E-05,0.6,0,-0.2,8.16371428571428E-07
0.53,2.8899E-05,0.6,0,-0.2,8.25685714285714E-07
0.54,2.9015E-05,0.6,0,-0.2,8.29E-07
0.55,2.932E-05,0.6,0,-0.2,8.37714285714286E-07
0.56,2.9873E-05,0.6,0,-0.2,8.53514285714286E-07
0.57,3.0053E-05,0.6,0,-0.2,8.58657142857143E-07
0.58,3.0271E-05,0.6,0,-0.2,8.64885714285714E-07
0.59,3.0695E-05,0.6,0,-0.2,8.77E-07
0.6,3.0851E-05,0.6,0,-0.2,8.81457142857143E-07
0.61,3.1411E-05,0.6,0,-0.2,8.97457142857143E-07
0.62,3.1679E-05,0.6,0,-0.2,9.05114285714286E-07
0.63,3.1808E-05,0.6,0,-0.2,9.088E-07
0.64,3.2313E-05,0.6,0,-0.2,9.23228571428571E-07
0.65,3.2626E-05,0.6,0,-0.2,9.32171428571429E-07
0.66,3.3068E-05,0.6,0,-0.2,9.448E-07
0.67,3.3396E-05,0.6,0,-0.2,9.54171428571429E-07
0.68,3.36E-05,0.6,0,-0.2,9.6E-07
0.69,3.3949E-05,0.6,0,-0.2,9.69971428571428E-07
0.7,3.4434E-05,0.6,0,-0.2,9.83828571428571E-07
0.71,3.4677E-05,0.6,0,-0.2,9.90771428571429E-07
0.72,3.4823E-05,0.6,0,-0.2,9.94942857142857E-07
0.73,3.5362E-05,0.6,0,-0.2,1.01034285714286E-06
0.74,3.5744E-05,0.6,0,-0.2,1.02125714285714E-06
0.75,3.6143E-05,0.6,0,-0.2,1.03265714285714E-06
0.76,3.6581E-05,0.6,0,-0.2,1.04517142857143E-06
0.77,3.6741E-05,0.6,0,-0.2,1.04974285714286E-06
0.78,3.7051E-05,0.6,0,-0.2,1.0586E-06
0.79,3.7702E-05,0.6,0,-0.2,1.0772E-06
0.8,3.8036E-05,0.6,0,-0.2,1.08674285714286E-06
0.81,3.7915E-05,0.6,0,-0.2,1.08328571428571E-06
0.82,3.8538E-05,0.6,0,-0.2,1.10108571428571E-06
0.83,3.9119E-05,0.6,0,-0.2,1.11768571428571E-06
0.84,3.9414E-05,0.6,0,-0.2,1.12611428571429E-06
0.85,3.9831E-05,0.6,0,-0.2,1.13802857142857E-06
0.86,4.0131E-05,0.6,0,-0.2,1.1466E-06
0.87,4.0444E-05,0.6,0,-0.2,1.15554285714286E-06
0.88,4.1007E-05,0.6,0,-0.2,1.17162857142857E-06
0.89,4.1436E-05,0.6,0,-0.2,1.18388571428571E-06
0.9,4.1585E-05,0.6,0,-0.2,1.18814285714286E-06
0.91,4.2081E-05,0.6,0,-0.2,1.20231428571429E-06
0.92,4.2748E-05,0.6,0,-0.2,1.22137142857143E-06
0.93,4.3057E-05,0.6,0,-0.2,1.2302E-06
0.94,4.3326E-05,0.6,0,-0.2,1.23788571428571E-06
0.95,4.3784E-05,0.6,0,-0.2,1.25097142857143E-06
0.96,4.404E-05,0.6,0,-0.2,1.25828571428571E-06
0.97,4.4765E-05,0.6,0,-0.2,1.279E-06
0.98,4.5134E-05,0.6,0,-0.2,1.28954285714286E-06
0.99,4.543E-05,0.6,0,-0.2,1.298E-06
1,4.5852E-05,0.6,0,-0.2,1.31005714285714E-06
1.01,4.6227E-05,0.6,0,-0.2,1.32077142857143E-06
1.02,4.689E-05,0.6,0,-0.2,1.33971428571429E-06
1.03,4.7184E-05,0.6,0,-0.2,1.34811428571429E-06
1.04,4.73E-05,0.6,0,-0.2,1.35142857142857E-06
1.05,4.7802E-05,0.6,0,-0.2,1.36577142857143E-06
1.06,4.8606E-05,0.6,0,-0.2,1.38874285714286E-06
1.07,4.8853E-05,0.6,0,-0.2,1.3958E-06
1.08,4.9119E-05,0.6,0,-0.2,1.4034E-06
1.09,4.9759E-05,0.6,0,-0.2,1.42168571428571E-06
1.1,5.0082E-05,0.6,0,-0.2,1.43091428571429E-06
1.11,5.0668E-05,0.6,0,-0.2,1.44765714285714E-06
1.12,5.1354E-05,0.6,0,-0.2,1.46725714285714E-06
1.13,5.131E-05,0.6,0,-0.2,1.466E-06
1.14,5.1892E-05,0.6,0,-0.2,1.48262857142857E-06
1.15,5.2553E-05,0.6,0,-0.2,1.50151428571429E-06
1.16,5.2968E-05,0.6,0,-0.2,1.51337142857143E-06
1.17,5.3286E-05,0.6,0,-0.2,1.52245714285714E-06
1.18,5.3791E-05,0.6,0,-0.2,1.53688571428571E-06
1.19,5.425E-05,0.6,0,-0.2,1.55E-06
1.2,5.5006E-05,0.6,0,-0.2,1.5716E-06
1.21,5.5636E-05,0.6,0,-0.2,1.5896E-06
1.22,5.5534E-05,0.6,0,-0.2,1.58668571428571E-06
1.23,5.6202E-05,0.6,0,-0.2,1.60577142857143E-06
1.24,5.6953E-05,0.6,0,-0.2,1.62722857142857E-06
1.25,5.7382E-05,0.6,0,-0.2,1.63948571428571E-06
1.26,5.7758E-05,0.6,0,-0.2,1.65022857142857E-06
1.27,5.828E-05,0.6,0,-0.2,1.66514285714286E-06
1.28,5.8668E-05,0.6,0,-0.2,1.67622857142857E-06
1.29,5.9393E-05,0.6,0,-0.2,1.69694285714286E-06
1.3,6.0181E-05,0.6,0,-0.2,1.71945714285714E-06
1.31,6.0264E-05,0.6,0,-0.2,1.72182857142857E-06
1.32,6.0734E-05,0.6,0,-0.2,1.73525714285714E-06
1.33,6.1771E-05,0.6,0,-0.2,1.76488571428571E-06
1.34,6.2128E-05,0.6,0,-0.2,1.77508571428571E-06
1.35,6.255E-05,0.6,0,-0.2,1.78714285714286E-06
1.36,6.3018E-05,0.6,0,-0.2,1.80051428571429E-06
1.37,6.3523E-05,0.6,0,-0.2,1.81494285714286E-06
1.38,6.4249E-05,0.6,0,-0.2,1.83568571428571E-06
1.39,6.4923E-05,0.6,0,-0.2,1.85494285714286E-06
1.4,6.5237E-05,0.6,0,-0.2,1.86391428571429E-06
1.41,6.5769E-05,0.6,0,-0.2,1.87911428571429E-06
1.42,6.6738E-05,0.6,0,-0.2,1.9068E-06
1.43,6.7126E-05,0.6,0,-0.2,1.91788571428571E-06
1.44,6.7644E-05,0.6,0,-0.2,1.93268571428571E-06
1.45,6.7961E-05,0.6,0,-0.2,1.94174285714286E-06
