Setup title,"N-18 Id-Vg (fast)"
Classic test name,"I/V Sweep"
Test date,3/31/2017
Test time,14:36:01
Device ID,2
Vgate,Idrain,Isubs,Vsource,Vdrain,Vsubs
0,1.3619E-09,-6.6516E-09,0,0.01,0
0.01,-1.1651E-09,-7.345E-09,0,0.01,0
0.02,1.1463E-09,3.7286E-09,0,0.01,0
0.03,-1.1597E-09,-6.5188E-09,0,0.01,0
0.04,-1.1389E-09,-6.0136E-09,0,0.01,0
0.05,-1.1467E-09,-6.919E-09,0,0.01,0
0.06,-1.1633E-09,-7.6748E-09,0,0.01,0
0.07,-1.1732E-09,-7.525E-09,0,0.01,0
0.08,-1.1832E-09,-7.319E-09,0,0.01,0
0.09,-1.1401E-09,-5.6798E-09,0,0.01,0
0.1,-1.1549E-09,-6.923E-09,0,0.01,0
0.11,-1.1692E-09,-7.6262E-09,0,0.01,0
0.12,-1.1715E-09,-7.6446E-09,0,0.01,0
0.13,-1.1748E-09,-7.2818E-09,0,0.01,0
0.14,1.1329E-09,3.6948E-09,0,0.01,0
0.15,-1.1352E-09,-5.0444E-09,0,0.01,0
0.16,-1.1451E-09,-6.1222E-09,0,0.01,0
0.17,-1.1474E-09,-6.5776E-09,0,0.01,0
0.18,-1.1481E-09,-6.48E-09,0,0.01,0
0.19,-1.1762E-09,-7.4036E-09,0,0.01,0
0.2,-1.1711E-09,-7.6672E-09,0,0.01,0
0.21,1.1469E-09,3.6612E-09,0,0.01,0
0.22,-1.1639E-09,-7.5122E-09,0,0.01,0
0.23,-1.1727E-09,-7.4338E-09,0,0.01,0
0.24,1.1693E-09,3.7854E-09,0,0.01,0
0.25,-1.1688E-09,-6.6778E-09,0,0.01,0
0.26,-1.1282E-09,-5.412E-09,0,0.01,0
0.27,-1.1295E-09,-6.1672E-09,0,0.01,0
0.28,1.2187E-09,3.9714E-09,0,0.01,0
0.29,-7.884E-10,-6.6372E-09,0,0.01,0
0.3,-9.746E-10,-6.9872E-09,0,0.01,0
0.31,1.5101E-09,-7.4716E-09,0,0.01,0
0.32,2.057E-09,-6.6664E-09,0,0.01,0
0.33,1.9792E-09,-5.9446E-09,0,0.01,0
0.34,2.333E-09,-7.6542E-09,0,0.01,0
0.35,1.18E-09,-6.4526E-09,0,0.01,0
0.36,3.9246E-09,2.5744E-09,0,0.01,0
0.37,4.5224E-09,-7.5834E-09,0,0.01,0
0.38,8.119E-09,-7.4684E-09,0,0.01,0
0.39,1.3344E-08,4.4368E-09,0,0.01,0
0.4,2.19816E-08,1.5427E-09,0,0.01,0
0.41,3.17482E-08,-5.5607E-09,0,0.01,0
0.42,4.44748E-08,2.1192E-09,0,0.01,0
