Setup title,N-18-Id-Vd
Application test name,Id-Vd
Test date,3/31/2017
Test time,14:37:20
Device ID,2
Vdrain,Idrain,Vgate,Vsource,Vsubs,IdrainPerWg
0,1.5565E-09,0.6,0,0,4.44714285714286E-11
0.01,3.8709E-08,0.6,0,0,1.10597142857143E-09
0.02,7.5221E-08,0.6,0,0,2.14917142857143E-09
0.03,1.1094E-07,0.6,0,0,3.16971428571428E-09
0.04,1.4331E-07,0.6,0,0,4.09457142857143E-09
0.05,1.7142E-07,0.6,0,0,4.89771428571429E-09
0.06,1.948E-07,0.6,0,0,5.56571428571428E-09
0.07,2.2097E-07,0.6,0,0,6.31342857142857E-09
0.08,2.4218E-07,0.6,0,0,6.91942857142857E-09
0.09,2.5805E-07,0.6,0,0,7.37285714285714E-09
0.1,2.7552E-07,0.6,0,0,7.872E-09
0.11,2.8974E-07,0.6,0,0,8.27828571428571E-09
0.12,2.9874E-07,0.6,0,0,8.53542857142857E-09
0.13,3.0993E-07,0.6,0,0,8.85514285714285E-09
0.14,3.1971E-07,0.6,0,0,9.13457142857143E-09
0.15,3.2465E-07,0.6,0,0,9.27571428571428E-09
0.16,3.2966E-07,0.6,0,0,9.41885714285714E-09
0.17,3.3771E-07,0.6,0,0,9.64885714285714E-09
0.18,3.3858E-07,0.6,0,0,9.67371428571429E-09
0.19,3.4033E-07,0.6,0,0,9.72371428571428E-09
0.2,3.4507E-07,0.6,0,0,9.85914285714286E-09
0.21,3.4454E-07,0.6,0,0,9.844E-09
0.22,3.4673E-07,0.6,0,0,9.90657142857143E-09
0.23,3.5066E-07,0.6,0,0,1.00188571428571E-08
0.24,3.5095E-07,0.6,0,0,1.00271428571429E-08
0.25,3.5052E-07,0.6,0,0,1.00148571428571E-08
0.26,3.5371E-07,0.6,0,0,1.0106E-08
0.27,3.5502E-07,0.6,0,0,1.01434285714286E-08
0.28,3.5379E-07,0.6,0,0,1.01082857142857E-08
0.29,3.5678E-07,0.6,0,0,1.01937142857143E-08
0.3,3.5627E-07,0.6,0,0,1.01791428571429E-08
0.31,3.5365E-07,0.6,0,0,1.01042857142857E-08
0.32,3.5498E-07,0.6,0,0,1.01422857142857E-08
