Setup title,P-18-Id-Vd
Application test name,Id-Vd
Test date,3/31/2017
Test time,14:50:21
Device ID,
Vdrain,Idrain,Vgate,Vsource,Vsubs,IdrainPerWg
0,-2.6274E-08,-0.6,0,0.2,-7.50685714285714E-10
-0.01,-7.165E-08,-0.6,0,0.2,-2.04714285714286E-09
-0.02,-1.10257E-07,-0.6,0,0.2,-3.1502E-09
-0.03,-1.4452E-07,-0.6,0,0.2,-4.12914285714286E-09
-0.04,-1.5323E-07,-0.6,0,0.2,-4.378E-09
-0.05,-1.7317E-07,-0.6,0,0.2,-4.94771428571429E-09
-0.06,-1.8593E-07,-0.6,0,0.2,-5.31228571428571E-09
-0.07,-1.9815E-07,-0.6,0,0.2,-5.66142857142857E-09
-0.08,-2.2281E-07,-0.6,0,0.2,-6.366E-09
-0.09,-2.4762E-07,-0.6,0,0.2,-7.07485714285714E-09
-0.1,-2.4627E-07,-0.6,0,0.2,-7.03628571428571E-09
-0.11,-2.6371E-07,-0.6,0,0.2,-7.53457142857143E-09
-0.12,-2.5964E-07,-0.6,0,0.2,-7.41828571428571E-09
-0.13,-2.6494E-07,-0.6,0,0.2,-7.56971428571428E-09
-0.14,-2.7635E-07,-0.6,0,0.2,-7.89571428571428E-09
-0.15,-2.7717E-07,-0.6,0,0.2,-7.91914285714285E-09
-0.16,-2.86E-07,-0.6,0,0.2,-8.17142857142857E-09
-0.17,-3.0459E-07,-0.6,0,0.2,-8.70257142857143E-09
-0.18,-3.1542E-07,-0.6,0,0.2,-9.012E-09
-0.19,-3.0993E-07,-0.6,0,0.2,-8.85514285714285E-09
-0.2,-3.1212E-07,-0.6,0,0.2,-8.91771428571429E-09
-0.21,-3.0334E-07,-0.6,0,0.2,-8.66685714285714E-09
-0.22,-2.8523E-07,-0.6,0,0.2,-8.14942857142857E-09
-0.23,-2.9168E-07,-0.6,0,0.2,-8.33371428571428E-09
-0.24,-3.2317E-07,-0.6,0,0.2,-9.23342857142857E-09
-0.25,-3.2957E-07,-0.6,0,0.2,-9.41628571428571E-09
-0.26,-3.2705E-07,-0.6,0,0.2,-9.34428571428571E-09
-0.27,-3.3527E-07,-0.6,0,0.2,-9.57914285714286E-09
-0.28,-3.5491E-07,-0.6,0,0.2,-1.01402857142857E-08
-0.29,-3.5002E-07,-0.6,0,0.2,-1.00005714285714E-08
-0.3,-3.5515E-07,-0.6,0,0.2,-1.01471428571429E-08
-0.31,-3.5554E-07,-0.6,0,0.2,-1.01582857142857E-08
-0.32,-3.6247E-07,-0.6,0,0.2,-1.03562857142857E-08
-0.33,-3.7006E-07,-0.6,0,0.2,-1.05731428571429E-08
-0.34,-3.6506E-07,-0.6,0,0.2,-1.04302857142857E-08
-0.35,-3.6519E-07,-0.6,0,0.2,-1.0434E-08
-0.36,-3.6892E-07,-0.6,0,0.2,-1.05405714285714E-08
-0.37,-3.7136E-07,-0.6,0,0.2,-1.06102857142857E-08
-0.38,-3.7479E-07,-0.6,0,0.2,-1.07082857142857E-08
-0.39,-3.8189E-07,-0.6,0,0.2,-1.09111428571429E-08
-0.4,-3.8405E-07,-0.6,0,0.2,-1.09728571428571E-08
-0.41,-3.722E-07,-0.6,0,0.2,-1.06342857142857E-08
-0.42,-3.7735E-07,-0.6,0,0.2,-1.07814285714286E-08
-0.43,-3.8937E-07,-0.6,0,0.2,-1.11248571428571E-08
-0.44,-3.9601E-07,-0.6,0,0.2,-1.13145714285714E-08
-0.45,-3.9812E-07,-0.6,0,0.2,-1.13748571428571E-08
-0.46,-4.1487E-07,-0.6,0,0.2,-1.18534285714286E-08
-0.47,-4.0935E-07,-0.6,0,0.2,-1.16957142857143E-08
-0.48,-4.1447E-07,-0.6,0,0.2,-1.1842E-08
-0.49,-4.2122E-07,-0.6,0,0.2,-1.20348571428571E-08
-0.5,-4.2363E-07,-0.6,0,0.2,-1.21037142857143E-08
-0.51,-4.1339E-07,-0.6,0,0.2,-1.18111428571429E-08
-0.52,-4.3159E-07,-0.6,0,0.2,-1.23311428571429E-08
-0.53,-4.3164E-07,-0.6,0,0.2,-1.23325714285714E-08
-0.54,-4.3756E-07,-0.6,0,0.2,-1.25017142857143E-08
-0.55,-4.4655E-07,-0.6,0,0.2,-1.27585714285714E-08
-0.56,-4.5334E-07,-0.6,0,0.2,-1.29525714285714E-08
-0.57,-4.7377E-07,-0.6,0,0.2,-1.35362857142857E-08
-0.58,-4.6478E-07,-0.6,0,0.2,-1.32794285714286E-08
-0.59,-4.7122E-07,-0.6,0,0.2,-1.34634285714286E-08
