Setup title,P-18-Id-Vd
Application test name,Id-Vd
Test date,3/31/2017
Test time,14:48:53
Device ID,
Vdrain,Idrain,Vgate,Vsource,Vsubs,IdrainPerWg
0,-9.1503E-08,-0.6,0,0,-2.61437142857143E-09
-0.01,-2.7116E-07,-0.6,0,0,-7.74742857142857E-09
-0.02,-3.7137E-07,-0.6,0,0,-1.06105714285714E-08
-0.03,-5.0883E-07,-0.6,0,0,-1.4538E-08
-0.04,-5.9262E-07,-0.6,0,0,-1.6932E-08
-0.05,-6.6273E-07,-0.6,0,0,-1.89351428571429E-08
-0.06,-7.2783E-07,-0.6,0,0,-2.07951428571429E-08
-0.07,-7.7358E-07,-0.6,0,0,-2.21022857142857E-08
-0.08,-8.4879E-07,-0.6,0,0,-2.42511428571429E-08
-0.09,-9.0411E-07,-0.6,0,0,-2.58317142857143E-08
-0.1,-9.2157E-07,-0.6,0,0,-2.63305714285714E-08
-0.11,-9.749E-07,-0.6,0,0,-2.78542857142857E-08
-0.12,-1.01143E-06,-0.6,0,0,-2.8898E-08
-0.13,-1.01474E-06,-0.6,0,0,-2.89925714285714E-08
-0.14,-1.04398E-06,-0.6,0,0,-2.9828E-08
-0.15,-1.06827E-06,-0.6,0,0,-3.0522E-08
-0.16,-1.09047E-06,-0.6,0,0,-3.11562857142857E-08
-0.17,-1.11986E-06,-0.6,0,0,-3.1996E-08
-0.18,-1.14758E-06,-0.6,0,0,-3.2788E-08
-0.19,-1.1408E-06,-0.6,0,0,-3.25942857142857E-08
-0.2,-1.2008E-06,-0.6,0,0,-3.43085714285714E-08
-0.21,-1.2329E-06,-0.6,0,0,-3.52257142857143E-08
-0.22,-1.2126E-06,-0.6,0,0,-3.46457142857143E-08
-0.23,-1.2262E-06,-0.6,0,0,-3.50342857142857E-08
-0.24,-1.258E-06,-0.6,0,0,-3.59428571428571E-08
-0.25,-1.2525E-06,-0.6,0,0,-3.57857142857143E-08
-0.26,-1.253E-06,-0.6,0,0,-3.58E-08
-0.27,-1.3393E-06,-0.6,0,0,-3.82657142857143E-08
-0.28,-1.3352E-06,-0.6,0,0,-3.81485714285714E-08
-0.29,-1.3462E-06,-0.6,0,0,-3.84628571428571E-08
-0.3,-1.3781E-06,-0.6,0,0,-3.93742857142857E-08
-0.31,-1.3615E-06,-0.6,0,0,-3.89E-08
-0.32,-1.39E-06,-0.6,0,0,-3.97142857142857E-08
-0.33,-1.4602E-06,-0.6,0,0,-4.172E-08
-0.34,-1.434E-06,-0.6,0,0,-4.09714285714286E-08
-0.35,-1.4378E-06,-0.6,0,0,-4.108E-08
-0.36,-1.4404E-06,-0.6,0,0,-4.11542857142857E-08
-0.37,-1.4741E-06,-0.6,0,0,-4.21171428571429E-08
-0.38,-1.4865E-06,-0.6,0,0,-4.24714285714286E-08
-0.39,-1.4965E-06,-0.6,0,0,-4.27571428571429E-08
-0.4,-1.5541E-06,-0.6,0,0,-4.44028571428571E-08
-0.41,-1.5172E-06,-0.6,0,0,-4.33485714285714E-08
-0.42,-1.5447E-06,-0.6,0,0,-4.41342857142857E-08
-0.43,-1.587E-06,-0.6,0,0,-4.53428571428571E-08
-0.44,-1.5135E-06,-0.6,0,0,-4.32428571428571E-08
-0.45,-1.6007E-06,-0.6,0,0,-4.57342857142857E-08
-0.46,-1.6137E-06,-0.6,0,0,-4.61057142857143E-08
-0.47,-1.6395E-06,-0.6,0,0,-4.68428571428571E-08
-0.48,-1.6018E-06,-0.6,0,0,-4.57657142857143E-08
-0.49,-1.6817E-06,-0.6,0,0,-4.80485714285714E-08
-0.5,-1.6757E-06,-0.6,0,0,-4.78771428571429E-08
-0.51,-1.7068E-06,-0.6,0,0,-4.87657142857143E-08
-0.52,-1.7732E-06,-0.6,0,0,-5.06628571428571E-08
-0.53,-1.724E-06,-0.6,0,0,-4.92571428571428E-08
-0.54,-1.7354E-06,-0.6,0,0,-4.95828571428571E-08
-0.55,-1.8097E-06,-0.6,0,0,-5.17057142857143E-08
-0.56,-1.8226E-06,-0.6,0,0,-5.20742857142857E-08
-0.57,-1.8103E-06,-0.6,0,0,-5.17228571428571E-08
-0.58,-1.7984E-06,-0.6,0,0,-5.13828571428571E-08
-0.59,-1.8567E-06,-0.6,0,0,-5.30485714285714E-08
-0.6,-1.9074E-06,-0.6,0,0,-5.44971428571429E-08
-0.61,-1.903E-06,-0.6,0,0,-5.43714285714286E-08
-0.62,-1.8514E-06,-0.6,0,0,-5.28971428571429E-08
-0.63,-1.9271E-06,-0.6,0,0,-5.506E-08
-0.64,-1.9736E-06,-0.6,0,0,-5.63885714285714E-08
-0.65,-2.0092E-06,-0.6,0,0,-5.74057142857143E-08
-0.66,-1.9612E-06,-0.6,0,0,-5.60342857142857E-08
-0.67,-2.0385E-06,-0.6,0,0,-5.82428571428571E-08
-0.68,-2.024E-06,-0.6,0,0,-5.78285714285714E-08
-0.69,-2.0415E-06,-0.6,0,0,-5.83285714285714E-08
-0.7,-2.1156E-06,-0.6,0,0,-6.04457142857143E-08
-0.71,-2.0061E-06,-0.6,0,0,-5.73171428571429E-08
-0.72,-2.0699E-06,-0.6,0,0,-5.914E-08
-0.73,-2.1297E-06,-0.6,0,0,-6.08485714285714E-08
-0.74,-2.1804E-06,-0.6,0,0,-6.22971428571429E-08
-0.75,-2.1646E-06,-0.6,0,0,-6.18457142857143E-08
-0.76,-2.0798E-06,-0.6,0,0,-5.94228571428571E-08
-0.77,-2.2452E-06,-0.6,0,0,-6.41485714285714E-08
